AC ID,Module,FR/BR,Scenario,Priority,Test type,Source,Gherkin
AC-001,ALL,BR-001,Проверить правило: Организация одна; каждая общая запись ограничена organization boundary.,High,Integration/contract,Концепция §3.1; Архитектура A1-11,
AC-002,ALL,BR-002,"Проверить правило: UserAccount отвечает за аутентификацию, EmployeeProfile — за рабочий профиль.",High,Integration/contract,Этап 2.2 C-03,
AC-003,ALL,BR-003,Проверить правило: Сервер является единственным источником истины; локальный cache disposable и read-only при outage.,High,Integration/contract,Архитектура A1-01/A1-03; DEC-006,
AC-004,ALL,BR-004,"Проверить правило: Любое действие разрешается сервером по RBAC/ReBAC/ABAC, explicit deny сильнее allow, default deny.",Critical,Integration/contract,ADR-002; DEC-004,
AC-005,ALL,BR-005,"[STATE-018] Проверить правило: Business status, derived state, archive, trash и UI state не смешиваются.",High,Integration/contract,DEC-005,
AC-006,ALL,BR-006,[STATE-018] Проверить правило: Archived object по умолчанию read-only; Trashed object доступен только для restore/purge.,High,Integration/contract,ADR-011; DEC-023,
AC-007,ALL,BR-007,Проверить правило: Удаление metadata рабочего файла не удаляет физический файл.,Critical,Integration/contract,Концепция §22.2; DEC-018,
AC-008,ALL,BR-008,Проверить правило: Физический доступ к файлу определяется Windows/SMB ACL после metadata permission.,Critical,Integration/contract,Архитектура A1-06; GAP-004,
AC-009,ALL,BR-009,[STATE-014/STATE-025] Проверить правило: Versioned write требует If-Match; stale version не перезаписывается молча.,Critical,Integration/contract,ADR-004; DEC-038,
AC-010,ALL,BR-010,Проверить правило: Safe retry допускается только для safe/idempotent operation с сохранением request hash/key.,High,Integration/contract,Этап 2.2 idempotency,
AC-011,ALL,BR-011,Проверить правило: Audit append-only; secrets и неразрешённые sensitive paths редактируются или не записываются.,High,Integration/contract,ADR-009; архитектура,
AC-012,ALL,BR-012,[STATE-007] Проверить правило: Realtime signal является invalidation; durable recovery выполняется через change feed.,High,Integration/contract,ADR-005,
AC-013,ALL,BR-013,Проверить правило: Search фильтруется по authorization и filters до pagination; client post-filter запрещён.,High,Integration/contract,DEC-040; Search Contract,
AC-014,ALL,BR-014,Проверить правило: UI hidden/disabled state не заменяет server-side permission check.,Critical,Integration/contract,DEC-030,
AC-015,ALL,BR-015,Проверить правило: PATCH omitted означает unchanged; explicit null очищает только nullable field.,High,Integration/contract,DEC-037,
AC-016,MOD-001,BR-016,Проверить бизнес-правило: Каждый сотрудник использует отдельную учётную запись.,High,Integration/domain,"§§3.2, 24, 25, 29; Stage 3.4",
AC-017,MOD-001,BR-017,Проверить бизнес-правило: Refresh token ротируется; повторное использование завершает семейство сессий.,High,Integration/domain,"§§3.2, 24, 25, 29; Stage 3.4",
AC-018,MOD-001,BR-018,Проверить бизнес-правило: Блокировка или деактивация пользователя отзывает активные сессии.,High,Integration/domain,"§§3.2, 24, 25, 29; Stage 3.4",
AC-019,MOD-001,BR-019,"Проверить бизнес-правило: Клиент не раскрывает, логин или пароль были неверны.",High,Integration/domain,"§§3.2, 24, 25, 29; Stage 3.4",
AC-020,MOD-002,BR-020,Проверить бизнес-правило: Маршрут восстанавливается только после повторной авторизации.,High,Integration/domain,"§8, §17.2, §23.5, §29; Stage 3.4",
AC-021,MOD-002,BR-021,"Проверить бизнес-правило: Command bar, context menu и palette используют единый command registry.",High,Integration/domain,"§8, §17.2, §23.5, §29; Stage 3.4",
AC-022,MOD-002,BR-022,Проверить бизнес-правило: Скрытая кнопка не является проверкой permission.,High,Integration/domain,"§8, §17.2, §23.5, §29; Stage 3.4",
AC-023,MOD-002,BR-023,Проверить бизнес-правило: Deep link не раскрывает данные скрытого объекта.,High,Integration/domain,"§8, §17.2, §23.5, §29; Stage 3.4",
AC-024,MOD-003,BR-024,"Проверить бизнес-правило: Просрочка вычисляется, а не хранится как статус.",High,Integration/domain,"§9, §27.1.17, §29; Stage 3.4",
AC-025,MOD-003,BR-025,Проверить бизнес-правило: Ошибка одной секции не заменяет весь экран ошибкой.,High,Integration/domain,"§9, §27.1.17, §29; Stage 3.4",
AC-026,MOD-003,BR-026,Проверить бизнес-правило: В offline показывается только кэш с timestamp.,High,Integration/domain,"§9, §27.1.17, §29; Stage 3.4",
AC-027,MOD-003,BR-027,Проверить бизнес-правило: Scope-фильтр отправляется только контрактно поддерживаемыми параметрами.,High,Integration/domain,"§9, §27.1.17, §29; Stage 3.4",
AC-028,MOD-004,BR-028,Проверить бизнес-правило: InboxItem принадлежит создателю до явного преобразования.,High,Integration/domain,"§10, §27.1, §33; Stage 3.4",
AC-029,MOD-004,BR-029,Проверить бизнес-правило: Преобразование создаёт целевой объект и помечает source как converted в одной транзакции.,High,Integration/domain,"§10, §27.1, §33; Stage 3.4",
AC-030,MOD-004,BR-030,Проверить бизнес-правило: При отказе целевого permission исходный InboxItem остаётся неизменён.,High,Integration/domain,"§10, §27.1, §33; Stage 3.4",
AC-031,MOD-005,BR-031,"Проверить бизнес-правило: Статусы: new, in_progress, review, completed, cancelled; overdue вычисляется.",High,Integration/domain,"§11, §27.1.5–16, §29, §33; Stage 3.4",
AC-032,MOD-005,BR-032,Проверить бизнес-правило: Business completion не архивирует задачу автоматически.,High,Integration/domain,"§11, §27.1.5–16, §29, §33; Stage 3.4",
AC-033,MOD-005,BR-033,Проверить бизнес-правило: Полный editor сохраняется явно; узкие команды отправляются отдельно.,High,Integration/domain,"§11, §27.1.5–16, §29, §33; Stage 3.4",
AC-034,MOD-005,BR-034,Проверить бизнес-правило: Переходы определяет сервер; клиент не формирует их из названия роли.,High,Integration/domain,"§11, §27.1.5–16, §29, §33; Stage 3.4",
