"Component","Surface count","Sample SCR","Modules","Priority","Status","Dependency"
"SurfaceTitle","128","SCR-001; SCR-002; SCR-006; SCR-003; SCR-160; SCR-206; SCR-004; SCR-005; SCR-007; SCR-008","Auth; Sync; Shell; Today; Inbox; Tasks; Calendar; Projects; Files; CRM; Notifications; Search; Lifecycle; Settings; Admin; Shared","P0","Ready for architecture","VIS-001 for visual styling"
"PermissionState","76","SCR-005; SCR-008; SCR-212; SCR-010; SCR-011; SCR-012; SCR-013; SCR-014; SCR-020; SCR-021","Shell; Today; Inbox; Tasks; Calendar; Projects; Files; CRM; Notifications; Search; Lifecycle; Settings; Admin; Shared","P0","Requires design","VIS-001 for visual styling"
"ConnectivityBanner","52","SCR-001; SCR-002; SCR-003; SCR-160; SCR-004; SCR-005; SCR-007; SCR-008; SCR-211; SCR-010","Auth; Sync; Shell; Today; Inbox; Tasks; Calendar; Projects; Files; CRM; Notifications; Search; Lifecycle; Settings; Admin; Shared","P0","Requires design","VIS-001 for visual styling"
"FieldLabel","52","SCR-002; SCR-004; SCR-005; SCR-008; SCR-011; SCR-020; SCR-021; SCR-022; SCR-023; SCR-026","Auth; Shell; Today; Tasks; Calendar; Projects; Files; CRM; Search; Settings; Admin","P0","Requires design","VIS-001 for visual styling"
"FormLayout","52","SCR-002; SCR-004; SCR-005; SCR-008; SCR-011; SCR-020; SCR-021; SCR-022; SCR-023; SCR-026","Auth; Shell; Today; Tasks; Calendar; Projects; Files; CRM; Search; Settings; Admin","P0","Requires design","VIS-001 for visual styling"
"ReadOnlyBanner","52","SCR-001; SCR-002; SCR-003; SCR-160; SCR-004; SCR-005; SCR-007; SCR-008; SCR-211; SCR-010","Auth; Sync; Shell; Today; Inbox; Tasks; Calendar; Projects; Files; CRM; Notifications; Search; Lifecycle; Settings; Admin; Shared","P0","Requires design","VIS-001 for visual styling"
"RetryAction","52","SCR-001; SCR-002; SCR-003; SCR-160; SCR-004; SCR-005; SCR-007; SCR-008; SCR-211; SCR-010","Auth; Sync; Shell; Today; Inbox; Tasks; Calendar; Projects; Files; CRM; Notifications; Search; Lifecycle; Settings; Admin; Shared","P0","Requires design","VIS-001 for visual styling"
"ValidationMessage","52","SCR-002; SCR-004; SCR-005; SCR-008; SCR-011; SCR-020; SCR-021; SCR-022; SCR-023; SCR-026","Auth; Shell; Today; Tasks; Calendar; Projects; Files; CRM; Search; Settings; Admin","P0","Requires design","VIS-001 for visual styling"
"PageLayout","47","SCR-001; SCR-002; SCR-006; SCR-003; SCR-007; SCR-010; SCR-012; SCR-020; SCR-023; SCR-024","Auth; Sync; Shell; Today; Inbox; Tasks; Calendar; Projects; Files; CRM; Notifications; Search; Lifecycle; Admin; Shared","P0","Ready for architecture","VIS-001 for visual styling"
"ConflictNotice","45","SCR-010; SCR-012; SCR-013; SCR-023; SCR-024; SCR-025; SCR-026; SCR-027; SCR-029; SCR-030","Today; Inbox; Tasks; Calendar; Projects; Files; CRM; Notifications; Lifecycle; Settings; Admin; Shared","P0","Requires design","VIS-001 for visual styling"
"DialogShell","40","SCR-002; SCR-006; SCR-007; SCR-013; SCR-022; SCR-023; SCR-026; SCR-027; SCR-028; SCR-029","Auth; Shell; Inbox; Tasks; Calendar; Projects; Files; CRM; Lifecycle; Settings; Admin; Shared","P0","Requires design","VIS-001 for visual styling"
"FocusTrap","40","SCR-002; SCR-006; SCR-007; SCR-013; SCR-022; SCR-023; SCR-026; SCR-027; SCR-028; SCR-029","Auth; Shell; Inbox; Tasks; Calendar; Projects; Files; CRM; Lifecycle; Settings; Admin; Shared","P0","Requires design","VIS-001 for visual styling"
