Original AC,Owner,Atomic,Testable,Mapping complete,Coverage preserved,Valid references,Result,Evidence
AC-1825,DATA-002,PASS,PASS,PASS,PASS,PASS,PASS,9 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1826,DATA-003,PASS,PASS,PASS,PASS,PASS,PASS,2 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1827,DATA-016,PASS,PASS,PASS,PASS,PASS,PASS,3 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1828,PERM-001,PASS,PASS,PASS,PASS,PASS,PASS,11 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1829,PERM-002,PASS,PASS,PASS,PASS,PASS,PASS,9 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1830,PERM-003,PASS,PASS,PASS,PASS,PASS,PASS,2 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1831,PERM-004,PASS,PASS,PASS,PASS,PASS,PASS,9 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1832,PERM-005,PASS,PASS,PASS,PASS,PASS,PASS,18 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1833,PERM-006,PASS,PASS,PASS,PASS,PASS,PASS,12 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1834,PERM-007,PASS,PASS,PASS,PASS,PASS,PASS,11 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1835,PERM-008,PASS,PASS,PASS,PASS,PASS,PASS,10 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1836,PERM-009,PASS,PASS,PASS,PASS,PASS,PASS,13 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1837,PERM-010,PASS,PASS,PASS,PASS,PASS,PASS,15 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1838,PERM-011,PASS,PASS,PASS,PASS,PASS,PASS,18 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1839,PERM-012,PASS,PASS,PASS,PASS,PASS,PASS,23 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1840,PERM-013,PASS,PASS,PASS,PASS,PASS,PASS,25 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1841,PERM-014,PASS,PASS,PASS,PASS,PASS,PASS,7 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1842,PERM-015,PASS,PASS,PASS,PASS,PASS,PASS,7 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1843,PERM-016,PASS,PASS,PASS,PASS,PASS,PASS,3 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1844,PERM-017,PASS,PASS,PASS,PASS,PASS,PASS,4 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1845,PERM-018,PASS,PASS,PASS,PASS,PASS,PASS,12 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1846,PERM-019,PASS,PASS,PASS,PASS,PASS,PASS,55 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1847,PERM-020,PASS,PASS,PASS,PASS,PASS,PASS,7 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1848,PERM-021,PASS,PASS,PASS,PASS,PASS,PASS,8 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1849,ERR-001,PASS,PASS,PASS,PASS,PASS,PASS,11 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1850,ERR-002,PASS,PASS,PASS,PASS,PASS,PASS,9 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1851,ERR-003,PASS,PASS,PASS,PASS,PASS,PASS,2 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1852,ERR-004,PASS,PASS,PASS,PASS,PASS,PASS,9 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1853,ERR-005,PASS,PASS,PASS,PASS,PASS,PASS,18 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1854,ERR-006,PASS,PASS,PASS,PASS,PASS,PASS,12 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1855,ERR-007,PASS,PASS,PASS,PASS,PASS,PASS,11 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1856,ERR-008,PASS,PASS,PASS,PASS,PASS,PASS,10 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1857,ERR-009,PASS,PASS,PASS,PASS,PASS,PASS,13 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1858,ERR-010,PASS,PASS,PASS,PASS,PASS,PASS,15 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1859,ERR-011,PASS,PASS,PASS,PASS,PASS,PASS,18 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1860,ERR-012,PASS,PASS,PASS,PASS,PASS,PASS,23 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1861,ERR-013,PASS,PASS,PASS,PASS,PASS,PASS,25 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1862,ERR-014,PASS,PASS,PASS,PASS,PASS,PASS,7 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1863,ERR-015,PASS,PASS,PASS,PASS,PASS,PASS,7 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1864,ERR-016,PASS,PASS,PASS,PASS,PASS,PASS,3 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1865,ERR-017,PASS,PASS,PASS,PASS,PASS,PASS,4 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1866,ERR-018,PASS,PASS,PASS,PASS,PASS,PASS,12 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1867,ERR-019,PASS,PASS,PASS,PASS,PASS,PASS,55 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1868,ERR-020,PASS,PASS,PASS,PASS,PASS,PASS,7 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1869,ERR-021,PASS,PASS,PASS,PASS,PASS,PASS,8 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1870,SYNC-001,PASS,PASS,PASS,PASS,PASS,PASS,11 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1871,SYNC-002,PASS,PASS,PASS,PASS,PASS,PASS,9 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1872,SYNC-003,PASS,PASS,PASS,PASS,PASS,PASS,2 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1873,SYNC-004,PASS,PASS,PASS,PASS,PASS,PASS,9 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1874,SYNC-005,PASS,PASS,PASS,PASS,PASS,PASS,18 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1875,SYNC-006,PASS,PASS,PASS,PASS,PASS,PASS,12 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1876,SYNC-007,PASS,PASS,PASS,PASS,PASS,PASS,11 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1877,SYNC-008,PASS,PASS,PASS,PASS,PASS,PASS,10 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1878,SYNC-009,PASS,PASS,PASS,PASS,PASS,PASS,13 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1879,SYNC-010,PASS,PASS,PASS,PASS,PASS,PASS,15 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1880,SYNC-011,PASS,PASS,PASS,PASS,PASS,PASS,18 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1881,SYNC-012,PASS,PASS,PASS,PASS,PASS,PASS,23 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1882,SYNC-013,PASS,PASS,PASS,PASS,PASS,PASS,25 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1883,SYNC-014,PASS,PASS,PASS,PASS,PASS,PASS,7 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1884,SYNC-015,PASS,PASS,PASS,PASS,PASS,PASS,7 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1885,SYNC-016,PASS,PASS,PASS,PASS,PASS,PASS,3 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1886,SYNC-017,PASS,PASS,PASS,PASS,PASS,PASS,4 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1887,SYNC-018,PASS,PASS,PASS,PASS,PASS,PASS,12 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1888,SYNC-019,PASS,PASS,PASS,PASS,PASS,PASS,55 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1889,SYNC-020,PASS,PASS,PASS,PASS,PASS,PASS,7 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1890,SYNC-021,PASS,PASS,PASS,PASS,PASS,PASS,8 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1891,AUDIT-001,PASS,PASS,PASS,PASS,PASS,PASS,11 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1892,AUDIT-002,PASS,PASS,PASS,PASS,PASS,PASS,9 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1893,AUDIT-003,PASS,PASS,PASS,PASS,PASS,PASS,2 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1894,AUDIT-004,PASS,PASS,PASS,PASS,PASS,PASS,9 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1895,AUDIT-005,PASS,PASS,PASS,PASS,PASS,PASS,18 mapped AC; retained=True; owner/reference/GWT recalculated
AC-1896,AUDIT-006,PASS,PASS,PASS,PASS,PASS,PASS,12 mapped AC; retained=True; owner/reference/GWT recalculated
