ru_name,technical_name,purpose,owner_boundary,required,optional,relations,invariants_lifecycle,history_lock,sensitivity_volume
Адрес,Address,Структурированный адрес,CRM,"owner_object,country,locality","postal,street,building,raw",Contact/Company,At least raw or structured minimum; no geocoding in MVP,History yes; lock yes,PII; ≤10m
Архив,ArchiveEntry,Скрытие завершённых/неактуальных объектов,Governance,"object_id,archived_by,archived_at",reason,core.objects,One active entry/object; archived object read-only by default,Audit yes; lock yes,Internal; ≤5m
Технический аудит,AuditEntry,Неизменяемый security/operation журнал,Governance,"actor,action,object,occurred_at,outcome","before/after redacted,trace,ip hash",All modules,Append-only; partitioned; no secrets,Append-only,Sensitive; high volume
Фоновая задача,BackgroundJob,Определение расписания worker,Operations,"code,schedule,status","lease,settings",Runs,Unique code; only one active lease,Audit admin; lock yes,Internal; ≤100
Запуск фоновой задачи,BackgroundJobRun,Результат конкретного запуска,Operations,"job_id,started_at,status","finished,error,metrics",Job,Append-only; bounded logs,Technical audit,Internal; high volume
Резервная копия,BackupRun,Метаданные backup/restore verification,Operations,"type,status,started_at","location_ref,checksum,restore_test",Admin,No backup bytes/secrets in DB; immutable result,Append-only/audit,Highly sensitive; ≤100k
Календарное событие,CalendarEvent,Встреча/событие без task workflow,Calendar module,"title,start_at,end_at,timezone","description,location,project","Attendees, reminders, files",end>start; all-day uses local dates; overlap allowed,History yes; lock yes,Internal; ≤2m
Элемент каталога,CatalogItem,Логический файл/папка/URL/заметка,File Catalog,"type,name,parent_id","description,url,note,mime,size","Locations,tags,object links",Virtual tree acyclic; type-specific fields; no file bytes,History yes; lock yes,Internal; ≤5m
Change feed item,ChangeFeed,Инкрементальная синхронизация,Sync,"sequence,object,operation,version,occurred_at",scope_version,Clients,Monotonic sequence; minimal payload; filtered at read,Append-only/compacted,Sensitive metadata; very high
Чек-лист,Checklist,Группа простых пунктов,Task aggregate,"task_id,title,position",—,ChecklistItem,Position unique per task after normalization,History yes; lock via Task,Internal; ≤3m
Пункт чек-листа,ChecklistItem,Малое действие без самостоятельных прав,Task aggregate,"checklist_id,text,position,is_completed","completed_by,completed_at",Checklist,completed fields consistent; stable order key,History yes; lock via Task,Internal; ≤30m
Состояние sync-клиента,ClientSyncState,Cursor устройства/пользователя,Sync,"user_id,device_id,last_sequence",last_full_sync_at,Device,One row per pair; cursor only advances after local transaction,Audit no; lock yes,Sensitive metadata; ≤2k
Комментарий,Comment,Пользовательское обсуждение объекта,Collaboration,"object_id,author,body","edited_at,reply_to",Any commentable object,No hard edit history loss; delete = tombstone; max depth 1,Version history; lock yes,May contain PII; ≤50m
Версия комментария,CommentVersion,Предыдущий текст комментария,Collaboration,"comment_id,version,body,changed_at",change_reason,Comment,"Append-only, unique comment/version",Append-only; no lock,May contain PII; ≤100m
Средство связи,CommunicationChannel,Телефон/email/messenger/site,CRM,"owner_object,type,value_normalized","label,is_primary,visibility",Contact or Company,Type-specific validation; normalized uniqueness scoped to owner,History yes; lock yes,PII; ≤20m
Компания-контрагент,Company,Юридическое/деловое лицо,CRM,"name,status","industry,website,notes","Contacts,channels,addresses,projects,tasks",Name not globally unique; archive not delete if linked,History yes; lock yes,PII/business confidential; ≤1m
Контакт,Contact,Физическое лицо вне штата,CRM,"first_name,last_name,status","position,notes","Companies,channels,addresses,interactions",May exist without company; merge via explicit operation,History yes; lock yes,PII; ≤5m
Роль контакта в компании,ContactCompanyRole,M:N employment/relationship,CRM,"contact_id,company_id","title,is_primary,dates","Contact,Company",One active primary role per contact optional,History yes; lock yes,PII; ≤10m
Отдел,Department,Оргструктура и scope прав,Organization directory,"name,status","parent_id,manager relations","Employees, managers",No cycles; cannot archive with active children unless reassigned,History yes; lock yes,Internal; ≤100
Устройство,Device,Привязка сессии и device-scoped paths,Identity; user/device fingerprint,"name,platform,device_key,status","last_seen_at,app_version","Sessions, file locations, sync state",Device key unique per org; revoked blocks refresh,Audit yes; lock yes,Sensitive metadata; ≤2k
Доменное событие,DomainEvent,Факт домена после commit,Governance,"event_id,type,aggregate,payload,occurred_at",schema_version,Outbox/consumers,"Immutable, versioned payload, idempotent consumers",Append-only,Internal; high volume
Профиль сотрудника,EmployeeProfile,ФИО и рабочие данные,Organization directory,"first_name,last_name,department_id","position,email,phone,avatar","UserAccount, Department",Может существовать до account; архивируется при увольнении,History yes; lock yes,PII; ≤500
Участник события,EventAttendee,Связь event-user/contact,Calendar aggregate,"event_id,subject,status",response_at,"Event, User/Contact",One attendee per subject; response transition controlled,History yes; lock via Event,PII; ≤10m
Явное правило доступа,ExplicitAccessRule,Object-specific allow/deny,Authorization,"subject,object,permission,effect","expires_at,reason",core.objects,deny wins; unique active rule,Audit yes; lock yes,Sensitive; ≤100k
Feature flag,FeatureFlag,Серверная возможность/rollout,Operations,"key,enabled","min_client,config",Capabilities,Stable key; changes audited,Audit/history; lock yes,Internal; ≤1k
