module,method,path,purpose,permission,request,response,codes,idempotency,transaction,locking,effects,events
admin,GET,/api/v1/admin/backups,Результаты резервного копирования,Backup.Read,"query:type,status,from,to,page",Page<BackupRun>,"200,401,403",Safe,Read-only,—,—,—
admin,POST,/api/v1/admin/backups,Запустить backup,Backup.Execute,BackupRequest,BackupRun,"202,400,401,403,409,429",Idempotency-Key,Backup job tx,—,external agent command allowlist,BackupRequested
admin,POST,/api/v1/admin/backups/{id}/restore,Запросить controlled restore,Backup.Restore,RestoreBackupRequest,RestorePlan,"202,400,401,403,404,409,422",Idempotency-Key,Maintenance plan tx,—,requires two-person approval outside MVP API execution,RestoreRequested
admin,POST,/api/v1/admin/backups/{id}/verify,Запустить restore verification,Backup.RestoreTest,BackupVerifyRequest,BackupRun,"202,400,401,403,404,409",Idempotency-Key,Verification job tx,—,isolated restore,BackupVerificationRequested
admin,POST,/api/v1/admin/change-feed/compact,Запустить compaction change feed,System.Configure,CompactionRequest,BackgroundJobRun,"202,400,401,403,409",Idempotency-Key,Job tx,—,respect client watermark,ChangeFeedCompactionRequested
admin,PUT,/api/v1/admin/feature-flags/{key},Изменить feature flag,System.Configure,FeatureFlagPatch,FeatureFlag,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Flag tx,If-Match,realtime capability invalidate,FeatureFlagChanged
admin,GET,/api/v1/admin/jobs,Фоновые задания,System.HealthRead,"query:status,page",Page<BackgroundJob>,"200,401,403",Safe,Read-only,—,—,—
admin,POST,/api/v1/admin/jobs/{code}/run,Запустить разрешённый job,System.Configure,JobRunRequest,BackgroundJobRun,"202,400,401,403,409,429",Idempotency-Key,Lease/job tx,—,no shell,BackgroundJobRequested
admin,GET,/api/v1/admin/jobs/{code}/runs,История job,System.HealthRead,"query:from,to,status,page",Page<BackgroundJobRun>,"200,401,403,404",Safe,Read-only,—,—,—
admin,POST,/api/v1/admin/maintenance-mode,Включить/выключить maintenance mode,System.Configure,MaintenanceModeRequest,MaintenanceMode,"200,400,401,403,409,412,428",Idempotency-Key,Settings tx,If-Match,reject writes except admins,MaintenanceModeChanged
admin,POST,/api/v1/admin/search/reindex,Запустить переиндексацию,System.Configure,ReindexRequest,BackgroundJobRun,"202,400,401,403,409",Idempotency-Key,Job tx,—,outbox-backed,SearchReindexRequested
admin,GET,/api/v1/admin/server-capabilities,Административные capabilities,System.Configure,—,ServerCapabilities,"200,401,403",Safe,Read-only,—,—,—
admin,GET,/api/v1/admin/storage,Использование диска БД/backup/log,System.HealthRead,—,StorageStatus,"200,401,403,503",Safe,Read-only probe,—,—,—
archive,GET,/api/v1/archive,Архив,History.Read,"query:type,projectId,page",Page<ArchiveEntry>,"200,400,401,403",Safe,Read-only,—,—,—
archive,POST,/api/v1/archive/{objectId}/restore,Вернуть из архива,Archive.Restore,—,ObjectReference,"200,401,403,404,409,412,422,428",Idempotent,Object+archive tx,If-Match,reindex,ObjectUnarchived
audit,GET,/api/v1/audit,Технический аудит,Audit.ReadAll,"query:actor,action,object,outcome,from,to,cursor",Page<AuditEntry>,"200,400,401,403",Safe,Read-only,—,—,—
audit,GET,/api/v1/audit/export,Экспорт ограниченного журнала,Audit.ReadAll,"query:filters,format",ExportJob,"202,400,401,403,429",Idempotency-Key,Job create tx,—,async secure export,AuditExportRequested
auth,POST,/api/v1/auth/admin-reset-password,Администратор задаёт временный пароль,User.ResetPassword,AdminResetPasswordRequest,TemporaryCredentialReceipt,"200,400,401,403,404,409",Idempotency-Key,Identity tx,target version,revoke all sessions,PasswordResetByAdmin
auth,POST,/api/v1/auth/change-password,Смена собственного пароля,Authenticated,ChangePasswordRequest,204,"204,400,401,409,422",Idempotency-Key,Identity tx + row lock,security stamp,revoke other sessions,PasswordChanged
auth,POST,/api/v1/auth/login,Вход по логину/паролю,Anonymous,LoginRequest,SessionTokens,"200,400,401,423,429",Idempotency-Key optional,Identity tx,—,"session+refresh token, login audit",UserLoggedIn
auth,GET,/api/v1/auth/login-attempts,Журнал входов,SecurityAudit.Read,"query:userId,result,from,to,page",Page<LoginAttempt>,"200,400,401,403",Safe,Read-only,—,—,—
auth,POST,/api/v1/auth/logout,Завершить текущую сессию,Authenticated,—,204,"204,401",Idempotent,Identity tx,—,revoke refresh family,UserLoggedOut
auth,POST,/api/v1/auth/logout-all,Отозвать все сессии пользователя,Authenticated,LogoutAllRequest,RevocationSummary,"200,401,403",Idempotency-Key,Identity tx,user security version,revoke sessions/cache,AllSessionsRevoked
auth,POST,/api/v1/auth/refresh,Ротация refresh token,Anonymous.SessionRefresh,RefreshRequest,SessionTokens,"200,400,401,409",Single-use token,Identity tx + row lock,token family version,rotate secret,SessionRefreshed
auth,GET,/api/v1/auth/session,Текущая сессия и capabilities,Authenticated,—,CurrentSession,"200,401",Safe,Read-only,—,—,—
auth,GET,/api/v1/auth/sessions,Список собственных/разрешённых сессий,Session.ReadOwnOrAll,"query:userId,page",Page<Session>,"200,401,403",Safe,Read-only,—,—,—
auth,POST,/api/v1/auth/sessions/{sessionId}/revoke,Отозвать сессию,Session.RevokeOwnOrAll,path:sessionId,204,"204,401,403,404",Idempotent,Identity tx,—,revoke token family,SessionRevoked
calendar,GET,/api/v1/calendar,Объединённая проекция Task + Event,Calendar.Read,"query:from,to,users,departments,projects,status,timezone,cursor",SchedulePage,"200,400,401,403,422",Safe,Read-only,—,—,—
calendar,GET,/api/v1/calendar-events,Список календарное событие,Calendar.Read,"query: filter,sort,page,cursor",Page<CalendarEvent>,"200,400,401,403",Safe,Read-only,—,—,—
calendar,POST,/api/v1/calendar-events,Создать календарное событие,CalendarEvent.Create,CalendarEventCreate,CalendarEvent,"201,400,401,403,409,422",Idempotency-Key,Single aggregate tx,—,"audit,domain-event,outbox",CalendarEventCreated
calendar,DELETE,/api/v1/calendar-events/{id},Переместить календарное событие в корзину,CalendarEvent.Delete,path:id,DeletionReceipt,"202,401,403,404,409,412,428",Idempotent,Object + trash tx,If-Match required,hide from active/search,CalendarEventDeleted
calendar,GET,/api/v1/calendar-events/{id},Получить календарное событие,Calendar.Read,path:id,CalendarEvent,"200,401,403,404",Safe,Read-only,—,—,—
calendar,PATCH,/api/v1/calendar-events/{id},Изменить календарное событие,CalendarEvent.Update,CalendarEventPatch,CalendarEvent,"200,400,401,403,404,409,412,422,428",Conditional,Single aggregate tx,If-Match required,"audit,domain-event,outbox",CalendarEventUpdated
calendar,POST,/api/v1/calendar-events/{id}/archive,Архивировать календарное событие,CalendarEvent.Update,ArchiveRequest,CalendarEvent,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + archive tx,If-Match required,hide from active,CalendarEventArchived
calendar,PUT,/api/v1/calendar-events/{id}/attendees,Заменить участников события,CalendarEvent.Update,AttendeesReplace,CalendarEvent,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Event aggregate tx,If-Match event,notify attendees,CalendarAttendeesChanged
calendar,POST,/api/v1/calendar-events/{id}/respond,Ответить на приглашение,CalendarEvent.Respond,AttendeeResponse,EventAttendee,"200,400,401,403,404,409,412,422,428",Idempotency-Key,Attendee tx,If-Match attendee,notify organizer,CalendarInvitationResponded
calendar,POST,/api/v1/calendar-events/{id}/restore,Восстановить календарное событие,CalendarEvent.Delete,RestoreRequest,CalendarEvent,"200,401,403,404,409,412,422,428",Idempotency-Key,Object + trash tx,If-Match/trashed version,"reindex,invalidate",CalendarEventRestored
calendar,POST,/api/v1/calendar-events/{id}/unarchive,Вернуть календарное событие из архива,CalendarEvent.Update,—,CalendarEvent,"200,401,403,404,409,412,428",Idempotent,Object + archive tx,If-Match required,reindex,CalendarEventUnarchived
calendar,GET,/api/v1/calendar/conflicts,Пересечения расписания,Calendar.Read,"query:from,to,userIds,excludeObjectId",ScheduleConflict[],"200,400,401,403,422",Safe,Read-only,—,—,—
settings,GET,/api/v1/capabilities,Возможности сервера и min client,Authenticated,—,ServerCapabilities,"200,401",Safe,Read-only,—,—,—
