Role contract ID,Screen/action,Admin,Manager,Employee,Observer,Permission/capability,UI/server policy,Required presentation states,Required components,Design evidence,Accessibility evidence,Canonical source,Contract status,Visual status,Stage 5.4 audit result,Stage 5.4 evidence,Native Windows evidence
ROLE-001,Open own Today,Available,Available,Available,Available/read-only commands,Calendar.Read,Primary nav shown by capability,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; DateTimePicker; DataList,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-today-calendar.png; qa/role-calendar-responsive.png,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-002,Switch Today to employee/department,Global/scoped capability,Own scope,Usually hidden,Hidden,Calendar.Read + directory scope,Hide if no alternative scope,CapabilityFiltered; Hidden; ServerRecheck,PermissionState; SemanticStatus; SearchBox; DataList; RedactionMarker; DateTimePicker; PageLayout; FormLayout,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-today-calendar.png; qa/role-calendar-responsive.png,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-003,Create InboxItem,Own,Own,Own,Hidden without manage,Inbox.ManageOwn,Hide section without read/manage,CapabilityFiltered; Hidden; ServerRecheck,PermissionState; SemanticStatus; PageLayout; DataList,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-today-calendar.png; evidence/design-qa-stage5-p0.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-004,Create Task,Allowed scope,Project/department scope,Allowed project/own scope,Hidden,Task.Create,Picker returns only allowed targets,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; TaskRow; TaskStatusControl; InspectorPanel; FormLayout,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-task-scheduling.png; qa/role-calendar-responsive.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-005,Edit Task core fields,Audited policy,Scoped,Field-level own/assigned/project,Read-only,Task.Update,Disabled with reason when field relevant,CapabilityFiltered; DisabledWithReason; ServerRecheck,PermissionState; SemanticStatus; TaskRow; TaskStatusControl; InspectorPanel; FormLayout,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-task-scheduling.png; qa/role-calendar-responsive.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-006,Change Task status,Capability,Capability,Allowed transitions for own/assigned,Hidden/read-only,Task.ChangeStatus,Show applicable transitions only,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; TaskRow; TaskStatusControl; InspectorPanel; FormLayout,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-task-scheduling.png; qa/role-calendar-responsive.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-007,Assign assignee,Capability,Usually scoped,Only explicit capability,Hidden,Task.Assign,Hide if irrelevant; disable archived/offline,CapabilityFiltered; Hidden; DisabledWithReason; ServerRecheck,PermissionState; SemanticStatus; TaskRow; TaskStatusControl; InspectorPanel; FormLayout,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-task-scheduling.png; qa/role-calendar-responsive.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-008,Manage watchers,Capability,Scoped,Capability,Hidden,Task.Watch,Authorization-aware people picker,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; TaskRow; TaskStatusControl; InspectorPanel; FormLayout,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-task-scheduling.png; qa/role-calendar-responsive.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-009,Subtask/checklist,Capability,Scoped,Capability,Hidden,Task.Create/Update/ChangeStatus,Disabled archived/trashed/offline,CapabilityFiltered; DisabledWithReason; ServerRecheck,PermissionState; SemanticStatus; TaskRow; TaskStatusControl; InspectorPanel; FormLayout,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-task-scheduling.png; qa/role-calendar-responsive.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-010,Recurrence,Capability,Scoped,Capability,Hidden,Task.ManageRecurrence,Scope dialog mandatory,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; PageLayout; DataList,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-task-scheduling.png; qa/role-calendar-responsive.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR
ROLE-011,Bulk transition,Capability,Scoped,Common allowed selection,Hidden,Task.ChangeStatus,Capability intersection,CapabilityFiltered; ServerRecheck,PermissionState; SemanticStatus; PageLayout; DataList,Role comparison frame or component variant + capability/forbidden keyboard walkthrough,Disabled reason announced; hidden controls absent from UIA tree; read-only state exposed; no hidden counts,Stage 3 Role Interface Matrix — baseline,Role contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/role-task-scheduling.png; qa/role-calendar-responsive.png; evidence/design-qa-stage5-component-gaps.md,PENDING_EXTERNAL_UIA_NARRATOR
