BR ID,Module,Rule,Source,Related FR,Verification
BR-001,ALL,Организация одна; каждая общая запись ограничена organization boundary.,Концепция §3.1; Архитектура A1-11,,AC-001
BR-002,ALL,"UserAccount отвечает за аутентификацию, EmployeeProfile — за рабочий профиль.",Этап 2.2 C-03,,AC-002
BR-003,ALL,Сервер является единственным источником истины; локальный cache disposable и read-only при outage.,Архитектура A1-01/A1-03; DEC-006,,AC-003
BR-004,ALL,"Любое действие разрешается сервером по RBAC/ReBAC/ABAC, explicit deny сильнее allow, default deny.",ADR-002; DEC-004,,AC-004
BR-005,ALL,"Business status, derived state, archive, trash и UI state не смешиваются.",DEC-005,,AC-005
BR-006,ALL,Archived object по умолчанию read-only; Trashed object доступен только для restore/purge.,ADR-011; DEC-023,,AC-006
BR-007,ALL,Удаление metadata рабочего файла не удаляет физический файл.,Концепция §22.2; DEC-018,,AC-007
BR-008,ALL,Физический доступ к файлу определяется Windows/SMB ACL после metadata permission.,Архитектура A1-06; GAP-004,,AC-008
BR-009,ALL,Versioned write требует If-Match; stale version не перезаписывается молча.,ADR-004; DEC-038,,AC-009
BR-010,ALL,Safe retry допускается только для safe/idempotent operation с сохранением request hash/key.,Этап 2.2 idempotency,,AC-010
BR-011,ALL,Audit append-only; secrets и неразрешённые sensitive paths редактируются или не записываются.,ADR-009; архитектура,,AC-011
BR-012,ALL,Realtime signal является invalidation; durable recovery выполняется через change feed.,ADR-005,,AC-012
BR-013,ALL,Search фильтруется по authorization и filters до pagination; client post-filter запрещён.,DEC-040; Search Contract,,AC-013
BR-014,ALL,UI hidden/disabled state не заменяет server-side permission check.,DEC-030,,AC-014
BR-015,ALL,PATCH omitted означает unchanged; explicit null очищает только nullable field.,DEC-037,,AC-015
BR-016,MOD-001,Каждый сотрудник использует отдельную учётную запись.,"§§3.2, 24, 25, 29; Stage 3.4",,AC-016
BR-017,MOD-001,Refresh token ротируется; повторное использование завершает семейство сессий.,"§§3.2, 24, 25, 29; Stage 3.4",,AC-017
BR-018,MOD-001,Блокировка или деактивация пользователя отзывает активные сессии.,"§§3.2, 24, 25, 29; Stage 3.4",,AC-018
BR-019,MOD-001,"Клиент не раскрывает, логин или пароль были неверны.","§§3.2, 24, 25, 29; Stage 3.4",,AC-019
BR-020,MOD-002,Маршрут восстанавливается только после повторной авторизации.,"§8, §17.2, §23.5, §29; Stage 3.4",,AC-020
BR-021,MOD-002,"Command bar, context menu и palette используют единый command registry.","§8, §17.2, §23.5, §29; Stage 3.4",,AC-021
BR-022,MOD-002,Скрытая кнопка не является проверкой permission.,"§8, §17.2, §23.5, §29; Stage 3.4",,AC-022
BR-023,MOD-002,Deep link не раскрывает данные скрытого объекта.,"§8, §17.2, §23.5, §29; Stage 3.4",,AC-023
BR-024,MOD-003,"Просрочка вычисляется, а не хранится как статус.","§9, §27.1.17, §29; Stage 3.4",,AC-024
BR-025,MOD-003,Ошибка одной секции не заменяет весь экран ошибкой.,"§9, §27.1.17, §29; Stage 3.4",,AC-025
BR-026,MOD-003,В offline показывается только кэш с timestamp.,"§9, §27.1.17, §29; Stage 3.4",,AC-026
BR-027,MOD-003,Scope-фильтр отправляется только контрактно поддерживаемыми параметрами.,"§9, §27.1.17, §29; Stage 3.4",,AC-027
BR-028,MOD-004,InboxItem принадлежит создателю до явного преобразования.,"§10, §27.1, §33; Stage 3.4",,AC-028
BR-029,MOD-004,Преобразование создаёт целевой объект и помечает source как converted в одной транзакции.,"§10, §27.1, §33; Stage 3.4",,AC-029
BR-030,MOD-004,При отказе целевого permission исходный InboxItem остаётся неизменён.,"§10, §27.1, §33; Stage 3.4",,AC-030
BR-031,MOD-005,"Статусы: new, in_progress, review, completed, cancelled; overdue вычисляется.","§11, §27.1.5–16, §29, §33; Stage 3.4",,AC-031
BR-032,MOD-005,Business completion не архивирует задачу автоматически.,"§11, §27.1.5–16, §29, §33; Stage 3.4",,AC-032
BR-033,MOD-005,Полный editor сохраняется явно; узкие команды отправляются отдельно.,"§11, §27.1.5–16, §29, §33; Stage 3.4",,AC-033
BR-034,MOD-005,Переходы определяет сервер; клиент не формирует их из названия роли.,"§11, §27.1.5–16, §29, §33; Stage 3.4",,AC-034
BR-035,MOD-005,Review → completed и review → in_progress выполняются только разрешёнными transition.,"§11, §27.1.5–16, §29, §33; Stage 3.4",,AC-035
BR-036,MOD-006,Подзадача является Task с parentTaskId.,"§11.4–11.5, §27.1.9–10; Stage 3.4",,AC-036
BR-037,MOD-006,Глубина вложенности ограничена одним уровнем.,"§11.4–11.5, §27.1.9–10; Stage 3.4",,AC-037
BR-038,MOD-006,Checklist item не имеет самостоятельного lifecycle вне родительского Task.,"§11.4–11.5, §27.1.9–10; Stage 3.4",,AC-038
BR-039,MOD-006,Reorder сохраняет стабильный порядок без дубликатов.,"§11.4–11.5, §27.1.9–10; Stage 3.4",,AC-039
BR-040,MOD-007,"Series имеет timezone и ровно один termination mode, если завершение задано.","§11.6, §27.1.16; Stage 3.4",,AC-040
BR-041,MOD-007,Occurrence key уникален; повторная генерация идемпотентна.,"§11.6, §27.1.16; Stage 3.4",,AC-041
BR-042,MOD-007,Изменение scope выбирается явно.,"§11.6, §27.1.16; Stage 3.4",,AC-042
BR-043,MOD-007,Отмена серии не помещает её в универсальную корзину.,"§11.6, §27.1.16; Stage 3.4",,AC-043
BR-044,MOD-008,Напоминание имеет ровно один trigger mode.,"§17, §27.1.19–21; Stage 3.4",,AC-044
BR-045,MOD-008,"Snooze меняет время reminder, но не расписание Task/Event.","§17, §27.1.19–21; Stage 3.4",,AC-045
