AC ID,Categories,Module,One scenario,One expected result,Correct owner,Unambiguous test,No hidden tests,No FR/BR conflict,No duplicate,No MVP expansion,Known entities,Result,Evidence
AC-1917,stratified 10% remainder,MOD-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-243;DATA-002; scenario=Contract projection for FR-243
AC-1923,permissions/partial access; security audit,MOD-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-002;PERM-001; scenario=Permission denial for FR-002
AC-1924,permissions/partial access; security audit,MOD-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-003;PERM-001; scenario=Permission denial for FR-003
AC-1925,permissions/partial access; security audit,MOD-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-004;PERM-001; scenario=Permission denial for FR-004
AC-1926,permissions/partial access; security audit,MOD-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-005;PERM-001; scenario=Permission denial for FR-005
AC-1927,permissions/partial access; security audit,MOD-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-006;PERM-001; scenario=Permission denial for FR-006
AC-1928,permissions/partial access; security audit,MOD-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-007;PERM-001; scenario=Permission denial for FR-007
AC-1929,permissions/partial access; security audit,MOD-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-008;PERM-001; scenario=Permission denial for FR-008
AC-1930,permissions/partial access; security audit,MOD-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-009;PERM-001; scenario=Permission denial for FR-009
AC-1931,permissions/partial access; security audit,MOD-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-010;PERM-001; scenario=Permission denial for FR-010
AC-1932,permissions/partial access; security audit,MOD-001,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-242;PERM-001; scenario=Permission denial for FR-242
AC-1933,permissions/partial access; security audit,MOD-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-012;PERM-002; scenario=Permission denial for FR-012
AC-1934,permissions/partial access; security audit,MOD-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-013;PERM-002; scenario=Permission denial for FR-013
AC-1935,permissions/partial access; security audit,MOD-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-014;PERM-002; scenario=Permission denial for FR-014
AC-1936,permissions/partial access; security audit,MOD-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-015;PERM-002; scenario=Permission denial for FR-015
AC-1937,permissions/partial access; security audit,MOD-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-016;PERM-002; scenario=Permission denial for FR-016
AC-1938,permissions/partial access; security audit,MOD-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-243;PERM-002; scenario=Permission denial for FR-243
AC-1939,permissions/partial access; security audit,MOD-002,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,Full row semantic/rule review; refs=FR-244;PERM-002; scenario=Permission denial for FR-244
