"Component ID","Component","Library path","Library tier","Priority","Surface count","SCR IDs","FLOW count","FLOW IDs","Modules","Surface types","Required variants","Related canonical STATE","Related NFR","Accessibility contract","Behavior contract","Failure rule","Implementation readiness","Evidence","Remaining verification","Spec version","Freeze status"
"CMP-001","SurfaceTitle","Task/Core/SurfaceTitle","03 Core Components","P0","128","SCR-001; SCR-002; SCR-003; SCR-004; SCR-005; SCR-006; SCR-007; SCR-008; SCR-010; SCR-011; SCR-012; SCR-013; SCR-014; SCR-020; SCR-021; SCR-022; SCR-023; SCR-024; SCR-025; SCR-026; SCR-027; SCR-028; SCR-029; SCR-030; SCR-031; SCR-032; SCR-033; SCR-034; SCR-035; SCR-036; SCR-040; SCR-041; SCR-042; SCR-043; SCR-044; SCR-045; SCR-046; SCR-047; SCR-060; SCR-061; SCR-062; SCR-063; SCR-064; SCR-065; SCR-066; SCR-067; SCR-068; SCR-069; SCR-070; SCR-071; SCR-072; SCR-080; SCR-081; SCR-082; SCR-083; SCR-084; SCR-085; SCR-086; SCR-087; SCR-088; SCR-089; SCR-090; SCR-110; SCR-111; SCR-112; SCR-113; SCR-114; SCR-115; SCR-116; SCR-117; SCR-118; SCR-119; SCR-130; SCR-131; SCR-132; SCR-133; SCR-134; SCR-135; SCR-136; SCR-140; SCR-141; SCR-142; SCR-143; SCR-150; SCR-151; SCR-152; SCR-153; SCR-154; SCR-155; SCR-156; SCR-157; SCR-158; SCR-159; SCR-160; SCR-161; SCR-170; SCR-171; SCR-172; SCR-173; SCR-174; SCR-175; SCR-176; SCR-177; SCR-178; SCR-179; SCR-180; SCR-181; SCR-182; SCR-183; SCR-184; SCR-185; SCR-186; SCR-187; SCR-188; SCR-200; SCR-201; SCR-202; SCR-203; SCR-204; SCR-205; SCR-206; SCR-207; SCR-208; SCR-209; SCR-210; SCR-211; SCR-212; SCR-213","37","FLOW-001; FLOW-002; FLOW-003; FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-014; FLOW-015; FLOW-016; FLOW-017; FLOW-018; FLOW-019; FLOW-020; FLOW-021; FLOW-022; FLOW-023; FLOW-024; FLOW-025; FLOW-026; FLOW-027; FLOW-028; FLOW-029; FLOW-030; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-035; FLOW-036; FLOW-037","Admin; Auth; Calendar; CRM; Files; Inbox; Lifecycle; Notifications; Projects; Search; Settings; Shared; Shell; Sync; Tasks; Today","action bar; admin page; admin page/dialog; admin panel; admin shell; banner/empty; blocking dialog/page; blocking page; context menu; critical admin page/dialog; critical dialog; dialog; dialog/context menu; dialog/flow; dialog/page; dialog/panel; drawer/dialog; inline/dialog; native dialog; overlay; overlay/page; page; page/dialog; page/panel; page/side panel; panel; panel/dialog; panel/page; persistent banner/status; popover; popover/dialog; popover/panel; recovery dialog; settings section; settings shell; settings/dialog; shell; side panel; status popover; system integration; system notification; tab; tab/dialog; tab/page; tab/panel; tab/timeline; tab/view; toast/inline; tray surface","page | panel | dialog","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Names the current surface and optional context without duplicating the window title.","Preserve accessible name, focus context and user input when the operation cannot complete.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-002","PermissionState","Task/State/PermissionState","04 State Components","P0","76","SCR-005; SCR-008; SCR-010; SCR-011; SCR-012; SCR-013; SCR-014; SCR-020; SCR-021; SCR-022; SCR-023; SCR-024; SCR-028; SCR-029; SCR-030; SCR-034; SCR-035; SCR-036; SCR-041; SCR-045; SCR-060; SCR-061; SCR-062; SCR-063; SCR-064; SCR-065; SCR-066; SCR-067; SCR-068; SCR-069; SCR-071; SCR-080; SCR-083; SCR-086; SCR-088; SCR-089; SCR-110; SCR-111; SCR-113; SCR-115; SCR-116; SCR-117; SCR-118; SCR-119; SCR-130; SCR-131; SCR-132; SCR-133; SCR-140; SCR-141; SCR-142; SCR-143; SCR-150; SCR-151; SCR-153; SCR-155; SCR-159; SCR-170; SCR-171; SCR-172; SCR-174; SCR-176; SCR-177; SCR-178; SCR-179; SCR-180; SCR-181; SCR-186; SCR-200; SCR-201; SCR-202; SCR-203; SCR-204; SCR-207; SCR-212; SCR-213","29","FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-014; FLOW-015; FLOW-017; FLOW-018; FLOW-019; FLOW-020; FLOW-021; FLOW-025; FLOW-026; FLOW-027; FLOW-028; FLOW-029; FLOW-030; FLOW-032; FLOW-033; FLOW-034; FLOW-035; FLOW-036; FLOW-037","Admin; Calendar; CRM; Files; Inbox; Lifecycle; Notifications; Projects; Search; Settings; Shared; Shell; Tasks; Today","action bar; admin page; admin page/dialog; admin panel; admin shell; context menu; critical dialog; dialog; dialog/panel; drawer/dialog; overlay; overlay/page; page; page/dialog; page/panel; panel; panel/dialog; panel/page; popover; popover/dialog; settings section; settings shell; settings/dialog; side panel; system integration; system notification; tab; tab/dialog; tab/page; tab/panel; tab/timeline; tab/view; toast/inline","available | disabled-with-reason | forbidden-result | unavailable","Forbidden; ObjectUnavailable; PartialAccess","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Translates current server capability into available, disabled-with-reason or non-disclosing unavailable presentation.","Server authorization is authoritative; hidden targets must not be disclosed.","Prototype-verified","work/stage_5_prototype/src/App.jsx#TasksSurface/ProjectsSurface/FileLocationView; work/stage_5_prototype/design-qa-stage5-component-gaps.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-003","ConnectivityBanner","Task/State/ConnectivityBanner","04 State Components","P0","52","SCR-001; SCR-002; SCR-003; SCR-004; SCR-005; SCR-007; SCR-008; SCR-010; SCR-012; SCR-020; SCR-022; SCR-024; SCR-025; SCR-028; SCR-033; SCR-035; SCR-040; SCR-041; SCR-043; SCR-060; SCR-063; SCR-065; SCR-067; SCR-080; SCR-081; SCR-082; SCR-084; SCR-085; SCR-087; SCR-090; SCR-110; SCR-116; SCR-118; SCR-130; SCR-131; SCR-132; SCR-136; SCR-140; SCR-150; SCR-156; SCR-157; SCR-159; SCR-160; SCR-182; SCR-183; SCR-184; SCR-185; SCR-188; SCR-202; SCR-205; SCR-209; SCR-211","32","FLOW-001; FLOW-002; FLOW-003; FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-015; FLOW-016; FLOW-017; FLOW-018; FLOW-019; FLOW-020; FLOW-021; FLOW-022; FLOW-023; FLOW-024; FLOW-025; FLOW-026; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-035; FLOW-036; FLOW-037","Admin; Auth; Calendar; CRM; Files; Inbox; Lifecycle; Notifications; Projects; Search; Settings; Shared; Shell; Sync; Tasks; Today","admin page; banner/empty; blocking page; critical admin page/dialog; dialog; dialog/flow; dialog/panel; overlay; page; page/dialog; page/panel; page/side panel; panel; panel/dialog; persistent banner/status; popover; popover/dialog; popover/panel; recovery dialog; settings section; settings shell; settings/dialog; shell; side panel; system notification; tab; tab/panel; tab/timeline; tab/view; toast/inline; tray surface","offline | reconnecting | maintenance | unavailable","ServerUnavailable; Reconnecting","NFR-002; NFR-003; NFR-004; NFR-005; NFR-009; NFR-010; NFR-024","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Explains connectivity, cache freshness and the next safe recovery action.","Retry is bounded and idempotent; writes remain disabled until authoritative readiness.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-004","FieldLabel","Task/Core/FieldLabel","03 Core Components","P0","52","SCR-002; SCR-004; SCR-005; SCR-008; SCR-011; SCR-020; SCR-021; SCR-022; SCR-023; SCR-026; SCR-027; SCR-029; SCR-030; SCR-032; SCR-033; SCR-040; SCR-041; SCR-044; SCR-045; SCR-047; SCR-060; SCR-062; SCR-063; SCR-065; SCR-069; SCR-070; SCR-071; SCR-080; SCR-082; SCR-086; SCR-087; SCR-110; SCR-112; SCR-114; SCR-116; SCR-117; SCR-134; SCR-135; SCR-150; SCR-151; SCR-153; SCR-154; SCR-155; SCR-171; SCR-172; SCR-173; SCR-175; SCR-176; SCR-177; SCR-178; SCR-182; SCR-187","30","FLOW-001; FLOW-002; FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-014; FLOW-015; FLOW-017; FLOW-018; FLOW-019; FLOW-022; FLOW-023; FLOW-024; FLOW-025; FLOW-029; FLOW-030; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-035; FLOW-036; FLOW-037","Admin; Auth; Calendar; CRM; Files; Projects; Search; Settings; Shell; Tasks; Today","admin page; admin page/dialog; dialog; dialog/page; overlay; page; page/dialog; panel; panel/dialog; popover; popover/dialog; settings section; settings shell; shell; tab; tab/page; tab/panel; tab/timeline; tab/view","normal | required | disabled | error","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Binds visible label, required/optional meaning, hint and validation to one control.","Preserve accessible name, focus context and user input when the operation cannot complete.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-005","FormLayout","Task/Pattern/FormLayout","06 Patterns","P0","52","SCR-002; SCR-004; SCR-005; SCR-008; SCR-011; SCR-020; SCR-021; SCR-022; SCR-023; SCR-026; SCR-027; SCR-029; SCR-030; SCR-032; SCR-033; SCR-040; SCR-041; SCR-044; SCR-045; SCR-047; SCR-060; SCR-062; SCR-063; SCR-065; SCR-069; SCR-070; SCR-071; SCR-080; SCR-082; SCR-086; SCR-087; SCR-110; SCR-112; SCR-114; SCR-116; SCR-117; SCR-134; SCR-135; SCR-150; SCR-151; SCR-153; SCR-154; SCR-155; SCR-171; SCR-172; SCR-173; SCR-175; SCR-176; SCR-177; SCR-178; SCR-182; SCR-187","30","FLOW-001; FLOW-002; FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-014; FLOW-015; FLOW-017; FLOW-018; FLOW-019; FLOW-022; FLOW-023; FLOW-024; FLOW-025; FLOW-029; FLOW-030; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-035; FLOW-036; FLOW-037","Admin; Auth; Calendar; CRM; Files; Projects; Search; Settings; Shell; Tasks; Today","admin page; admin page/dialog; dialog; dialog/page; overlay; page; page/dialog; panel; panel/dialog; popover; popover/dialog; settings section; settings shell; shell; tab; tab/page; tab/panel; tab/timeline; tab/view","simple | sectioned | dirty | read-only","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Orders fields, section boundaries, dirty state and explicit save/cancel actions.","Preserve accessible name, focus context and user input when the operation cannot complete.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-006","ReadOnlyBanner","Task/State/ReadOnlyBanner","04 State Components","P0","52","SCR-001; SCR-002; SCR-003; SCR-004; SCR-005; SCR-007; SCR-008; SCR-010; SCR-012; SCR-020; SCR-022; SCR-024; SCR-025; SCR-028; SCR-033; SCR-035; SCR-040; SCR-041; SCR-043; SCR-060; SCR-063; SCR-065; SCR-067; SCR-080; SCR-081; SCR-082; SCR-084; SCR-085; SCR-087; SCR-090; SCR-110; SCR-116; SCR-118; SCR-130; SCR-131; SCR-132; SCR-136; SCR-140; SCR-150; SCR-156; SCR-157; SCR-159; SCR-160; SCR-182; SCR-183; SCR-184; SCR-185; SCR-188; SCR-202; SCR-205; SCR-209; SCR-211","32","FLOW-001; FLOW-002; FLOW-003; FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-015; FLOW-016; FLOW-017; FLOW-018; FLOW-019; FLOW-020; FLOW-021; FLOW-022; FLOW-023; FLOW-024; FLOW-025; FLOW-026; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-035; FLOW-036; FLOW-037","Admin; Auth; Calendar; CRM; Files; Inbox; Lifecycle; Notifications; Projects; Search; Settings; Shared; Shell; Sync; Tasks; Today","admin page; banner/empty; blocking page; critical admin page/dialog; dialog; dialog/flow; dialog/panel; overlay; page; page/dialog; page/panel; page/side panel; panel; panel/dialog; persistent banner/status; popover; popover/dialog; popover/panel; recovery dialog; settings section; settings shell; settings/dialog; shell; side panel; system notification; tab; tab/panel; tab/timeline; tab/view; toast/inline; tray surface","offline | archived | trashed | permission","ServerUnavailable (cached read-only presentation); Archived; Trashed","NFR-002; NFR-003; NFR-004; NFR-005; NFR-009; NFR-010","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Explains why content is read-only, its freshness and which actions remain safe.","Never rely on color alone; state text and a safe recovery consequence are required.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-007","RetryAction","Task/State/RetryAction","04 State Components","P0","52","SCR-001; SCR-002; SCR-003; SCR-004; SCR-005; SCR-007; SCR-008; SCR-010; SCR-012; SCR-020; SCR-022; SCR-024; SCR-025; SCR-028; SCR-033; SCR-035; SCR-040; SCR-041; SCR-043; SCR-060; SCR-063; SCR-065; SCR-067; SCR-080; SCR-081; SCR-082; SCR-084; SCR-085; SCR-087; SCR-090; SCR-110; SCR-116; SCR-118; SCR-130; SCR-131; SCR-132; SCR-136; SCR-140; SCR-150; SCR-156; SCR-157; SCR-159; SCR-160; SCR-182; SCR-183; SCR-184; SCR-185; SCR-188; SCR-202; SCR-205; SCR-209; SCR-211","32","FLOW-001; FLOW-002; FLOW-003; FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-015; FLOW-016; FLOW-017; FLOW-018; FLOW-019; FLOW-020; FLOW-021; FLOW-022; FLOW-023; FLOW-024; FLOW-025; FLOW-026; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-035; FLOW-036; FLOW-037","Admin; Auth; Calendar; CRM; Files; Inbox; Lifecycle; Notifications; Projects; Search; Settings; Shared; Shell; Sync; Tasks; Today","admin page; banner/empty; blocking page; critical admin page/dialog; dialog; dialog/flow; dialog/panel; overlay; page; page/dialog; page/panel; page/side panel; panel; panel/dialog; persistent banner/status; popover; popover/dialog; popover/panel; recovery dialog; settings section; settings shell; settings/dialog; shell; side panel; system notification; tab; tab/panel; tab/timeline; tab/view; toast/inline; tray surface","safe-read retry | diagnostics","","NFR-002; NFR-003; NFR-004; NFR-005; NFR-012; NFR-017","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Starts only an idempotent recovery check and never implies success before authoritative readiness.","Retry is bounded and idempotent; writes remain disabled until authoritative readiness.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-008","ValidationMessage","Task/State/ValidationMessage","04 State Components","P0","52","SCR-002; SCR-004; SCR-005; SCR-008; SCR-011; SCR-020; SCR-021; SCR-022; SCR-023; SCR-026; SCR-027; SCR-029; SCR-030; SCR-032; SCR-033; SCR-040; SCR-041; SCR-044; SCR-045; SCR-047; SCR-060; SCR-062; SCR-063; SCR-065; SCR-069; SCR-070; SCR-071; SCR-080; SCR-082; SCR-086; SCR-087; SCR-110; SCR-112; SCR-114; SCR-116; SCR-117; SCR-134; SCR-135; SCR-150; SCR-151; SCR-153; SCR-154; SCR-155; SCR-171; SCR-172; SCR-173; SCR-175; SCR-176; SCR-177; SCR-178; SCR-182; SCR-187","30","FLOW-001; FLOW-002; FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-014; FLOW-015; FLOW-017; FLOW-018; FLOW-019; FLOW-022; FLOW-023; FLOW-024; FLOW-025; FLOW-029; FLOW-030; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-035; FLOW-036; FLOW-037","Admin; Auth; Calendar; CRM; Files; Projects; Search; Settings; Shell; Tasks; Today","admin page; admin page/dialog; dialog; dialog/page; overlay; page; page/dialog; panel; panel/dialog; popover; popover/dialog; settings section; settings shell; shell; tab; tab/page; tab/panel; tab/timeline; tab/view","inline | summary-linked","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Associates a concise error with its field and optionally links from a summary.","Never rely on color alone; state text and a safe recovery consequence are required.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-009","PageLayout","Task/Pattern/PageLayout","06 Patterns","P0","47","SCR-001; SCR-002; SCR-003; SCR-006; SCR-007; SCR-010; SCR-012; SCR-020; SCR-023; SCR-024; SCR-032; SCR-040; SCR-044; SCR-060; SCR-061; SCR-064; SCR-069; SCR-070; SCR-080; SCR-081; SCR-110; SCR-111; SCR-112; SCR-113; SCR-114; SCR-130; SCR-133; SCR-134; SCR-140; SCR-141; SCR-171; SCR-172; SCR-173; SCR-175; SCR-176; SCR-177; SCR-178; SCR-180; SCR-181; SCR-182; SCR-183; SCR-184; SCR-185; SCR-186; SCR-187; SCR-188; SCR-201","35","FLOW-001; FLOW-002; FLOW-003; FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-014; FLOW-015; FLOW-016; FLOW-017; FLOW-018; FLOW-019; FLOW-020; FLOW-021; FLOW-024; FLOW-025; FLOW-026; FLOW-027; FLOW-028; FLOW-029; FLOW-030; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-035; FLOW-036; FLOW-037","Admin; Auth; Calendar; CRM; Files; Inbox; Lifecycle; Notifications; Projects; Search; Shared; Shell; Sync; Tasks; Today","admin page; admin page/dialog; blocking dialog/page; blocking page; critical admin page/dialog; dialog/page; overlay/page; page; page/dialog; page/panel; page/side panel; panel/page; tab/page","list | list-detail | editor | settings","","NFR-002; NFR-003; NFR-004; NFR-005","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Composes title, commands, content, state messaging and optional inspector within the desktop shell.","Preserve accessible name, focus context and user input when the operation cannot complete.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
"CMP-010","ConflictNotice","Task/State/ConflictNotice","04 State Components","P0","45","SCR-010; SCR-012; SCR-013; SCR-023; SCR-024; SCR-025; SCR-026; SCR-027; SCR-029; SCR-030; SCR-031; SCR-032; SCR-033; SCR-035; SCR-041; SCR-044; SCR-046; SCR-047; SCR-064; SCR-069; SCR-070; SCR-071; SCR-072; SCR-083; SCR-086; SCR-112; SCR-114; SCR-117; SCR-131; SCR-132; SCR-141; SCR-143; SCR-150; SCR-171; SCR-172; SCR-174; SCR-175; SCR-176; SCR-177; SCR-178; SCR-182; SCR-184; SCR-187; SCR-188; SCR-208","28","FLOW-004; FLOW-005; FLOW-006; FLOW-007; FLOW-008; FLOW-009; FLOW-010; FLOW-011; FLOW-012; FLOW-013; FLOW-014; FLOW-017; FLOW-018; FLOW-020; FLOW-021; FLOW-025; FLOW-026; FLOW-027; FLOW-028; FLOW-029; FLOW-030; FLOW-031; FLOW-032; FLOW-033; FLOW-034; FLOW-035; FLOW-036; FLOW-037","Admin; Calendar; CRM; Files; Inbox; Lifecycle; Notifications; Projects; Settings; Shared; Tasks; Today","action bar; admin page; admin page/dialog; critical admin page/dialog; critical dialog; dialog; dialog/context menu; dialog/page; drawer/dialog; inline/dialog; page; page/dialog; panel/dialog; settings shell; side panel; system notification; tab/dialog; tab/page; tab/panel; tab/view; toast/inline","stale | precondition | compare | reapply","","NFR-002; NFR-003; NFR-004; NFR-005; NFR-011; NFR-012; NFR-017","Visible focus; keyboard path; UIA name/role/state/value; non-color semantics; 200% scaling; long RU text","Preserves the local draft and offers explicit compare, reload, reapply or discard paths.","Preserve the local/current value; never overwrite or report success after conflict.","Prototype-verified","work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md","Formal library frame, Windows runtime measurements and remaining module variants","0.9","Frozen for Gate 5.2 candidate"
