State contract ID,STATE references,Surface,State,Trigger,UI behavior,Allowed actions,Message,Recovery,API/error,Required components,Required design evidence,Accessibility evidence,Canonical source,Contract status,Visual status,Stage 5.4 audit result,Stage 5.4 evidence,Native Windows evidence
STC-001,STATE-001,Global shell,Initial,Route not initialized,"Shell chrome only, no fake empty data",Login/diagnostics,Подготовка приложения…,Start auth/bootstrap,—,LoadingState; ProgressIndicator,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-002,STATE-002,Any surface,Loading,No usable data; request pending,Skeleton matching final layout,Cancel navigation; retry after timeout,Загрузка…,Server response/retry,—,LoadingState; ProgressIndicator,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-003,STATE-003,Any surface,Refreshing,Usable data + background read,Keep data/selection; subtle progress,Continue read,Обновляем данные…,Atomic apply,—,LoadingState; ProgressIndicator,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-004,STATE-005,Any list,Empty,Authorized unfiltered result = 0,Purpose-specific empty + permitted create,Create; adjust scope,Здесь пока нет элементов.,Create/navigate,200 empty,EmptyState; DataList,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-005,STATE-006,Any list,FilteredEmpty,Filters yield 0,Keep filters visible,Reset/modify,По выбранным условиям ничего не найдено.,Reset filters,200 empty,EmptyState; DataList,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-006,,Any editor,ValidationError,422 fieldErrors,Keep draft; inline errors; focus first,Correct; cancel,Проверьте отмеченные поля.,Resubmit,VALIDATION_FAILED,ValidationMessage; FormLayout,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-007,STATE-008,Any command,Forbidden,403 policy deny,Undo optimistic preview; refresh capability,Close; external access request,Действие недоступно для этого объекта.,Reload capabilities,FORBIDDEN,PermissionState; RedactionMarker; InspectorPanel,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-008,STATE-009,Deep link/card,ObjectUnavailable,404 hidden/not found/access revoked,Neutral unavailable; remove sensitive detail,Back; search,Объект недоступен или больше не существует.,Navigate away,OBJECT_NOT_VISIBLE,PermissionState; RedactionMarker; InspectorPanel,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-009,,Versioned editor,Conflict,If-Match stale,Keep local draft; open compare,Reload; compare; reapply; discard,Объект изменён после открытия.,Fetch current + new If-Match,VERSION_CONFLICT,ConflictNotice; DialogShell,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
STC-010,,Write surface,PreconditionRequired,Missing If-Match,Block repeat; refresh object,Refresh,Нужно обновить данные перед сохранением.,GET current version,PRECONDITION_REQUIRED,ConflictNotice; DialogShell,State frame/component variant + trigger/action/recovery walkthrough + long RU message + 200% scaling,UIA name/role/state; live announcement where appropriate; deterministic focus; non-color semantics,Stage 3 State Matrix Final 3.5,State contract ready,Pending VIS-001,PROTOTYPE_EVIDENCE_MAPPED,qa/state-edge-shell.png; evidence/design-qa-stage5-edge-states.md,PENDING_EXTERNAL_UIA_NARRATOR_DPI
