Entity ID,Type,Module,Parent IDs,Direct FR,Parent exists,Source present,Given,When,Then,Vague terms,Status,Notes
FR-001,FR,MOD-001,,FR-001,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-002,FR,MOD-001,,FR-002,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-003,FR,MOD-001,,FR-003,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-004,FR,MOD-001,,FR-004,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-005,FR,MOD-001,,FR-005,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-006,FR,MOD-001,,FR-006,True,True,N/A,N/A,N/A,,Pass,Linked AC: 5
FR-007,FR,MOD-001,,FR-007,True,True,N/A,N/A,N/A,,Pass,Linked AC: 4
FR-008,FR,MOD-001,,FR-008,True,True,N/A,N/A,N/A,,Pass,Linked AC: 2
FR-009,FR,MOD-001,,FR-009,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-010,FR,MOD-001,,FR-010,True,True,N/A,N/A,N/A,,Pass,Linked AC: 4
FR-011,FR,MOD-002,,FR-011,True,True,N/A,N/A,N/A,,Pass,Linked AC: 2
FR-012,FR,MOD-002,,FR-012,True,True,N/A,N/A,N/A,,Pass,Linked AC: 2
FR-013,FR,MOD-002,,FR-013,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-014,FR,MOD-002,,FR-014,True,True,N/A,N/A,N/A,,Pass,Linked AC: 1
FR-015,FR,MOD-002,,FR-015,True,True,N/A,N/A,N/A,,Pass,Linked AC: 2
FR-016,FR,MOD-002,,FR-016,True,True,N/A,N/A,N/A,,Pass,Linked AC: 2
FR-017,FR,MOD-003,,FR-017,True,True,N/A,N/A,N/A,,Pass,Linked AC: 4
FR-018,FR,MOD-004,,FR-018,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-019,FR,MOD-004,,FR-019,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-020,FR,MOD-004,,FR-020,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-021,FR,MOD-004,,FR-021,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-022,FR,MOD-004,,FR-022,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-023,FR,MOD-004,,FR-023,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-024,FR,MOD-004,,FR-024,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-025,FR,MOD-004,,FR-025,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-026,FR,MOD-005,,FR-026,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-027,FR,MOD-005,,FR-027,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-028,FR,MOD-005,,FR-028,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-029,FR,MOD-005,,FR-029,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-030,FR,MOD-005,,FR-030,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-031,FR,MOD-005,,FR-031,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-032,FR,MOD-005,,FR-032,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-033,FR,MOD-005,,FR-033,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-034,FR,MOD-005,,FR-034,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-035,FR,MOD-005,,FR-035,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-036,FR,MOD-005,,FR-036,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-037,FR,MOD-005,,FR-037,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-038,FR,MOD-005,,FR-038,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-039,FR,MOD-005,,FR-039,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-040,FR,MOD-005,,FR-040,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
FR-041,FR,MOD-006,,FR-041,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-042,FR,MOD-006,,FR-042,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-043,FR,MOD-006,,FR-043,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-044,FR,MOD-006,,FR-044,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-045,FR,MOD-006,,FR-045,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-046,FR,MOD-006,,FR-046,True,True,N/A,N/A,N/A,,Pass,Linked AC: 8
FR-047,FR,MOD-006,,FR-047,True,True,N/A,N/A,N/A,,Pass,Linked AC: 6
FR-048,FR,MOD-006,,FR-048,True,True,N/A,N/A,N/A,,Pass,Linked AC: 3
FR-049,FR,MOD-006,,FR-049,True,True,N/A,N/A,N/A,,Pass,Linked AC: 7
