"FLOW ID","Flow","Scenario group","Modules","SCR references","Priority","Required design evidence","Evidence status","Evidence source","Evidence scope","Remaining acceptance","Gate 5.3"
"FLOW-001","Первый вход","Auth & bootstrap","Auth; Shell; Sync","SCR-001; SCR-002; SCR-003; SCR-004; SCR-007","P0","Interactive prototype + keyboard walkthrough","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-002","Обычный вход","Auth & bootstrap","Auth; Shell; Sync","SCR-001; SCR-003; SCR-004","P0","Interactive prototype + keyboard walkthrough","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-003","Истечение сессии","Auth & bootstrap","Auth","SCR-001; SCR-006","P1","Annotated storyboard or module prototype","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-004","Создание задачи","Task management","Tasks","SCR-023; SCR-024; SCR-028; SCR-029","P0","Interactive prototype + keyboard walkthrough","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-005","Быстрое создание задачи","Task management","Shell; Tasks","SCR-008; SCR-022; SCR-024","P0","Interactive prototype + keyboard walkthrough","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-006","Назначение исполнителя","Task management","Tasks","SCR-024; SCR-025; SCR-029","P1","Annotated storyboard or module prototype","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-007","Завершение задачи","Task management","Tasks; Today","SCR-010; SCR-020; SCR-024; SCR-025; SCR-034","P1","Annotated storyboard or module prototype","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-008","Изменение статуса","Task management","Tasks","SCR-020; SCR-024; SCR-025; SCR-034","P1","Annotated storyboard or module prototype","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-009","Создание подзадачи","Task management","Tasks","SCR-023; SCR-024; SCR-033","P1","Annotated storyboard or module prototype","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
"FLOW-010","Повторяющаяся задача","Task management","Tasks","SCR-023; SCR-024; SCR-026","P1","Annotated storyboard or module prototype","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype provides representative interactive, keyboard, semantic and resilience evidence.","Flow-specific annotated acceptance, Windows runtime and formal approval remain open.","OPEN"
