Alias,Canonical STATE,Rationale,Source
STATE-001,Initial,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-002,Loading,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-003,Refreshing,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-004,Not a STATE: Authorized loaded UI condition,"Loaded is a normal UI condition, not a published durable state.",Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-005,Empty,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-006,FilteredEmpty,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-008,Forbidden,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-009,ObjectUnavailable,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-010,ServerUnavailable,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-011,ServerUnavailable (cached read-only presentation),Read-only cache is a presentation of the published outage behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-012,Reconnecting,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-013,SyncPending,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-015,Not a STATE: Freshness indication UI condition,Stale data is a UI condition; Stage 3.5 does not publish it as a State ID.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-016,PartialAccess,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-017,Archived,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-018,Trashed,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-019,BackgroundOperation,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-020,Not a STATE: Stable-error-specific recovery,"RecoverableFailure conflated RateLimited, Timeout and IdempotencyKeyReused; active PRD now references the stable error.",Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-021,Not a STATE: Stable-error-specific recovery,UnrecoverableFailure conflated malformed input and internal failures; active PRD now references the stable error.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-022,Maintenance,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-023,ClientUnsupported,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-024,AccessScopeChanged,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-032,Not a STATE: Authentication/session error handling,"Session expiry is a stable-error recovery path, not a published Stage 3.5 State ID.",Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-033,Not a STATE: Authentication/session error handling,"Session revocation is a stable-error recovery path, not a published Stage 3.5 State ID.",Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-034,Not a STATE: Device-revocation error handling,"Device revocation is an error-handling path, not a published Stage 3.5 State ID.",Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-035,StorageFull,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-036,CursorExpired,Published State Matrix behavior.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-037,Not a STATE: Account-blocked error handling,Account blocked is handled by its stable error and is not a published State ID.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-038,Not a STATE: Account-lock error handling,Temporary account lock is handled by its stable error and is not a published State ID.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
STATE-039,Not a STATE: Authentication-failed error handling,Authentication failure is handled by INVALID_CREDENTIALS and is not a published State ID.,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row)
