Audit ID,Severity,Category,Artifact,Location,Related IDs,Source of truth,Expected,Actual,Defect,Consequence,Recommended fix,Verification,Confidence,Status
AUDIT-4.2-001,High,Other,Stage_4_Product_PRD_4.1.2.md; Stage_4_Dependency_Risk_Register_4.1.2.md,Product PRD §9 line 186 and §14.4 line 229; Risk Register §3 line 63; Open Questions OQ-001/OQ-003,OQ-001; OQ-003; FR-159; FR-264; FR-270–279; BR-098–112; AC-1790–1824; CMP-001; CMP-002,Stage 2.3.1 OpenAPI urgency GET/PUT/reset and employee search schemas; Stage 3.5 SCR-153 and SCR-133/134/135; candidate DEC-053–059,Current PRD and risk register use one current OQ status. Superseded gap text is explicitly historical.,§9 and the current risk section say OQ-001/OQ-003 remain High and block Stage 4.2; §14.4 and Open Questions say Fixed.,The package simultaneously opens and closes both product-blocking OQ.,Approvers and implementation teams receive mutually exclusive normative instructions; the audit gate and feature scope are indeterminate.,Replace current blocking wording with explicit resolved history and one Fixed status linked to Stage 2.3.1/3.5 evidence.,No current occurrence says remain High/block Stage 4.2/contract absent; every current status resolves to Fixed and the resolved-history chain remains.,High,Open
AUDIT-4.2-002,High,FR,Stage_4_Module_PRDs_4.1.2.md; Stage_4_Requirements_Traceability_4.1.2.csv; Stage_4_Acceptance_Criteria_Catalog_4.1.2.csv,"Appendix P.2 lines 6792–6801; FR-159, FR-160, FR-243, FR-244, FR-260, FR-261, FR-265, FR-266, FR-269 and their mapped AC",FR-159; FR-160; FR-243; FR-244; FR-260; FR-261; FR-265; FR-266; FR-269; AC-1002–1008; AC-1404; AC-1405; AC-1425; AC-1426; AC-1430; AC-1431; AC-1435,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 delta/flows; candidate Appendix P.2,Each updated FR has AC that directly verifies its current formulation.,Nine of ten updated FR retain legacy AC mappings. Examples: FR-243 employee group → AC-1404 safe route; FR-261 urgency projection → AC-1426 toast text alternative; FR-269 scale audit event → AC-1435 generic history.,Formal FR→AC links exist but do not test the effective normative FR text.,The candidate can pass its AC suite while omitting updated OQ-001/OQ-003 behavior.,Consolidate each changed FR into its primary module row and remap/add atomic Gherkin AC for every new outcome.,A semantic FR→AC review confirms that every mandatory outcome in each changed FR appears in observable Then/And steps.,High,Open
AUDIT-4.2-003,High,UX,Stage_4_Module_PRDs_4.1.2.md,MOD-014 field table line 4446 and embedded AC-070 line 4508; conflicting addendum lines 6814–6817 and 6862–6873,MOD-014; OQ-003; FR-159; FR-275–278; BR-070; BR-105–112; AC-070; AC-1804–1820; CMP-002,Stage 2.3.1 OpenAPI query.types includes employee with maxItems=10; SearchSuggestion/EmployeeSearchResult; Stage 3.5 SCR-133/134/135 and FLOW-019,The main module table contains employee/maxItems=10 and embedded AC-070 tests only BR-070 deprecation/replacement.,MOD-014 still lists nine types without employee and maxItems=9; embedded AC-070 says employee is unsupported and remains an OQ. The later addendum says the opposite.,One module contains two incompatible current search contracts.,Desktop and QA may legally implement and accept search without employees; OQ-003 is reopened.,Update the main MOD-014 field table and embedded AC-070 to match OpenAPI and the canonical AC catalog; mark old text historical.,"employee is present, maxItems=10, embedded/catalog AC-070 agree, and no current statement says employee is unsupported.",High,Open
AUDIT-4.2-004,High,AC,Stage_4_Acceptance_Criteria_Catalog_4.1.2.csv; module sections K,"211 rows with empty Gherkin: 96 BR-oriented and 115 FR-oriented; examples AC-001–069, AC-113, AC-128, AC-130, AC-1403–1435",96 BR; 115 FR; 211 AC,Stage 4.2 audit charter Part 7; linked FR/BR; Product PRD §10 test coverage gate,"Every AC contains Given, When and an observable, unambiguous Then.",211/1824 AC contain only a short Scenario title and a blank Gherkin field.,"The criteria repeat a rule or happy-path label without executable preconditions, action and result.",QA cannot derive deterministic tests; incompatible implementations can pass the same criterion.,"Add atomic Gherkin for all 211, including role/capability, state/error, exact response/UI outcome and boundaries where applicable.",1824/1824 Gherkin cells are non-empty and contain Given/When/Then; manual spot-check confirms observable outcomes.,High,Open
AUDIT-4.2-005,Medium,Traceability,Stage_4_Acceptance_Criteria_Catalog_4.1.2.csv,466 AC without a direct FR reference: 112 BR-only and 354 DATA-only,AC-001–097 with exceptions; AC-1436–1789; BR-*; DATA-001–021,Stage 4.2 audit charter Part 7 requires each AC to link to an existing FR; catalog column is named FR/BR,"Every AC resolves to an effective FR, directly or through an explicit normalized relation.",466 AC have no FR token. DATA-only rows also violate the declared FR/BR column domain.,The verification graph cannot mechanically demonstrate FR coverage for these AC.,AC counts overstate effective FR verification and make impact analysis unreliable.,Add direct FR links or a normalized AC↔requirement↔FR relation with validated transitive resolution.,AC without resolvable FR=0; all intermediate requirement links exist and resolve deterministically.,High,Open
AUDIT-4.2-006,Medium,Traceability,Stage_4_Requirements_Traceability_4.1.2.csv,87 rows with empty AC: DATA-002/003/016; PERM-001–021; ERR-001–021; SYNC-001–021; AUDIT-001–021,87 cross-cutting requirement IDs,OpenAPI; permissions.csv; errors.csv; Stage 1 server-authoritative/sync/audit rules; Stage 3.5 state matrix,Every row presented as a requirement has explicit verification criteria.,87 requirements have no AC link; related prose elsewhere does not provide requirement-level traceability.,Cross-cutting requirements are orphaned from the verification ledger.,"Permission, error, sync and audit regressions can escape module DoD.",Link each row to concrete AC or fold it into an FR/BR/NFR with explicit verification.,Requirement rows with blank AC=0 and every link resolves to an AC that tests the stated behavior.,High,Open
AUDIT-4.2-007,Medium,BR,Stage_4_Business_Rules_Catalog_4.1.2.csv; module sections E,96/113 BR have an empty Related FR field,BR-001–097 except the explicitly related/deprecated subset,Concept and current contract/UX sources for each module; Stage 4.2 audit charter Part 6,"Each BR identifies the FR scope to which it applies, including exceptions and priority.","Module and Verification are present, but Related FR is blank for 96 BR.",The BR↔FR applicability graph is missing.,A changed FR can silently violate a rule and one BR-level AC cannot prove application to all affected functions.,Populate a many-to-many BR↔FR mapping; formalize scope/exceptions for global rules.,No unexplained empty Related FR; all links exist and rule priority is unambiguous.,High,Open
AUDIT-4.2-008,Medium,Traceability,Stage_4_Requirements_Traceability_4.1.2.csv; Stage_4_Acceptance_Criteria_Catalog_4.1.2.csv,260 trace rows and 1305 AC source cells reference Stage_3_Field_Traceability.csv,1 missing target; 1565 reference occurrences,Actual Stage 3.5 file Stage_3_Field_Traceability_Final_3.5.csv and Stage 3.5 manifest,Every source reference resolves to the exact canonical local file or to a declared manifest alias.,The referenced filename does not exist and no alias is declared.,Mass broken reference contradicts lost references=0.,Automated evidence resolution and manual review cannot open the claimed source.,Replace the old filename with the exact 3.5 filename or define and validate a formal alias.,Old-name occurrences=0; link checker resolves every source path.,High,Open
AUDIT-4.2-009,Medium,Traceability,"Stage 3.5 User Flows; candidate Decision Log, Traceability CSV and validation",Stage 3.5 User Flows has FLOW-035 at lines 537 and 879 and no FLOW-038; candidate has 17 trace rows with FLOW-038,FLOW-035; FLOW-038; FR-264; FR-266; FR-269–274; FR-279; CMP-001; AC-1824,Stage 3.5 User Flows; audit rule forbidding PRD flow without an addressable UX flow,FLOW-035 resolves only to project completion; FLOW-038 has an addressable downstream definition for urgency management.,"DEC-060 explains the alias, but the normative UX package still has two FLOW-035 definitions and no FLOW-038 definition.",The semantic correction is not a resolvable cross-artifact trace target.,Automated trace treats FLOW-038 as unknown and designers must infer which FLOW-035 section is intended.,"Add a downstream errata/alias artifact with a full FLOW-038 definition, without changing the Stage 3.5 source ZIP.",Unique flow registry; all FLOW-035 references are project-only and FLOW-038 references urgency-only.,High,Open
AUDIT-4.2-010,Medium,Traceability,"Requirements, BR, AC and NFR catalogs; Readiness artifact","Active sources: 20 FR, 81 BR trace rows, 81 BR catalog rows, 108 AC rows use Stage 3.4; NFR-012 uses Stage 2.2",FR-242…269 subset; BR-016…097 subset; related AC; NFR-012,Candidate Product PRD line 204 and CANONICAL_BASELINE.md: Stage 2.3.1/3.5 current; 2.2/3.4 historical only,Active source fields cite current baselines; historical versions are explicitly qualified and secondary.,Hundreds of active rows cite 3.4 or 2.2 as their operative source without historical qualification.,The declared source hierarchy is not consistently applied.,Regeneration or design review can use stale 1040-row UX/241-operation contract semantics.,Revalidate and relink active rows to 3.5/2.3.1; retain old versions only as marked provenance.,No active source cell uses 2.2/3.4 without explicit historical/superseded qualification and current replacement.,High,Open
