Audit ID,Original severity,Original defect,Claimed fix,Verified files,Verified IDs,Normative source,Verification method,Independent result,Residual risk,Evidence
AUDIT-4.2-001,High,The package simultaneously opens and closes both product-blocking OQ.,See candidate 4.3 remediation registry; not accepted as evidence without this audit.,Candidate 4.3 CSV/Markdown and applicable Stage 2.3.1/3.5 source,OQ-001; OQ-003; FR-159; FR-264; FR-270–279; BR-098–112; AC-1790–1824; CMP-001; CMP-002,Stage 2.3.1 OpenAPI urgency GET/PUT/reset and employee search schemas; Stage 3.5 SCR-153 and SCR-133/134/135; candidate DEC-053–059,"Independent ZIP validation, structural recount, cross-artifact and normative-source scan.",Confirmed Fixed,Independent Stage 4.4 review completed.,Independent cross-artifact check passed.
AUDIT-4.2-002,High,Formal FR→AC links exist but do not test the effective normative FR text.,See candidate 4.3 remediation registry; not accepted as evidence without this audit.,Candidate 4.3 CSV/Markdown and applicable Stage 2.3.1/3.5 source,FR-159; FR-160; FR-243; FR-244; FR-260; FR-261; FR-265; FR-266; FR-269; AC-1002–1008; AC-1404; AC-1405; AC-1425; AC-1426; AC-1430; AC-1431; AC-1435,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 delta/flows; candidate Appendix P.2,"Independent ZIP validation, structural recount, cross-artifact and normative-source scan.",Confirmed Fixed,Independent Stage 4.4 review completed.,Independent cross-artifact check passed.
AUDIT-4.2-003,High,One module contains two incompatible current search contracts.,See candidate 4.3 remediation registry; not accepted as evidence without this audit.,Candidate 4.3 CSV/Markdown and applicable Stage 2.3.1/3.5 source,MOD-014; OQ-003; FR-159; FR-275–278; BR-070; BR-105–112; AC-070; AC-1804–1820; CMP-002,Stage 2.3.1 OpenAPI query.types includes employee with maxItems=10; SearchSuggestion/EmployeeSearchResult; Stage 3.5 SCR-133/134/135 and FLOW-019,"Independent ZIP validation, structural recount, cross-artifact and normative-source scan.",Confirmed Fixed,Independent Stage 4.4 review completed.,Independent cross-artifact check passed.
AUDIT-4.2-004,High,"The criteria repeat a rule or happy-path label without executable preconditions, action and result.",See candidate 4.3 remediation registry; not accepted as evidence without this audit.,Candidate 4.3 CSV/Markdown and applicable Stage 2.3.1/3.5 source,96 BR; 115 FR; 211 AC,Stage 4.2 audit charter Part 7; linked FR/BR; Product PRD §10 test coverage gate,"Independent ZIP validation, structural recount, cross-artifact and normative-source scan.",Partially Fixed,New AC remain insufficiently atomic for deterministic requirement-level QA evidence.,"The original blank/non-executable AC problem was addressed structurally, but 87/87 added AC combine multiple FRs, conditions and outcomes in one criterion."
AUDIT-4.2-005,Medium,The verification graph cannot mechanically demonstrate FR coverage for these AC.,See candidate 4.3 remediation registry; not accepted as evidence without this audit.,Candidate 4.3 CSV/Markdown and applicable Stage 2.3.1/3.5 source,AC-001–097 with exceptions; AC-1436–1789; BR-*; DATA-001–021,Stage 4.2 audit charter Part 7 requires each AC to link to an existing FR; catalog column is named FR/BR,"Independent ZIP validation, structural recount, cross-artifact and normative-source scan.",Confirmed Fixed,Independent Stage 4.4 review completed.,All 1911 AC primary owners resolve to an FR or an existing traceability requirement; unresolved owners=0.
AUDIT-4.2-006,Medium,Cross-cutting requirements are orphaned from the verification ledger.,See candidate 4.3 remediation registry; not accepted as evidence without this audit.,Candidate 4.3 CSV/Markdown and applicable Stage 2.3.1/3.5 source,87 cross-cutting requirement IDs,OpenAPI; permissions.csv; errors.csv; Stage 1 server-authoritative/sync/audit rules; Stage 3.5 state matrix,"Independent ZIP validation, structural recount, cross-artifact and normative-source scan.",Partially Fixed,Orphan counter is zero mechanically; semantic verification remains incomplete.,"All trace rows have an AC link, but 87/87 added requirement-level AC are broad generated module templates rather than atomic verification of one requirement."
AUDIT-4.2-007,Medium,The BR↔FR applicability graph is missing.,See candidate 4.3 remediation registry; not accepted as evidence without this audit.,Candidate 4.3 CSV/Markdown and applicable Stage 2.3.1/3.5 source,BR-001–097 except the explicitly related/deprecated subset,Concept and current contract/UX sources for each module; Stage 4.2 audit charter Part 6,"Independent ZIP validation, structural recount, cross-artifact and normative-source scan.",Confirmed Fixed,Independent Stage 4.4 review completed.,"All 113 BR have at least one existing Related FR; blank=0, invalid=0."
AUDIT-4.2-008,Medium,Mass broken reference contradicts lost references=0.,See candidate 4.3 remediation registry; not accepted as evidence without this audit.,Candidate 4.3 CSV/Markdown and applicable Stage 2.3.1/3.5 source,1 missing target; 1565 reference occurrences,Actual Stage 3.5 file Stage_3_Field_Traceability_Final_3.5.csv and Stage 3.5 manifest,"Independent ZIP validation, structural recount, cross-artifact and normative-source scan.",Confirmed Fixed,Independent Stage 4.4 review completed.,Independent cross-artifact check passed.
AUDIT-4.2-009,Medium,The semantic correction is not a resolvable cross-artifact trace target.,See candidate 4.3 remediation registry; not accepted as evidence without this audit.,Candidate 4.3 CSV/Markdown and applicable Stage 2.3.1/3.5 source,FLOW-035; FLOW-038; FR-264; FR-266; FR-269–274; FR-279; CMP-001; AC-1824,Stage 3.5 User Flows; audit rule forbidding PRD flow without an addressable UX flow,"Independent ZIP validation, structural recount, cross-artifact and normative-source scan.",Confirmed Fixed,Independent Stage 4.4 review completed.,FLOW-038 downstream definition present=True; urgency misuse of FLOW-035 occurrences=9.
AUDIT-4.2-010,Medium,The declared source hierarchy is not consistently applied.,See candidate 4.3 remediation registry; not accepted as evidence without this audit.,Candidate 4.3 CSV/Markdown and applicable Stage 2.3.1/3.5 source,FR-242…269 subset; BR-016…097 subset; related AC; NFR-012,Candidate Product PRD line 204 and CANONICAL_BASELINE.md: Stage 2.3.1/3.5 current; 2.2/3.4 historical only,"Independent ZIP validation, structural recount, cross-artifact and normative-source scan.",Confirmed Fixed,Independent Stage 4.4 review completed.,Unqualified current-source references to Stage 2.2/3.4 found=6.
