Checkpoint ID,Surface/flow,Role lens,Input path,Acceptance criterion,Result,Evidence path,Finding IDs
WIN-A11Y-01,Shell navigation,Employee,"Tab/Shift+Tab, arrows where applicable",Stable accessible names; current item exposed; no focus loss,PENDING,,
WIN-A11Y-02,First connection and sign-in,Admin,Keyboard only,"Endpoint, validation, progress and successful landing announced",PENDING,,
WIN-A11Y-03,New Task editor,Manager,Alt+N then keyboard completion,"Dialog name, required fields, validation and deterministic return focus",PENDING,,
WIN-A11Y-04,CalendarEvent editor,Manager,Keyboard create/edit,"Date/time/timezone, recurrence, attendees, validation and mutation guards exposed",PENDING,,
WIN-A11Y-05,Search redaction,Observer,Ctrl+K/Ctrl+F and result navigation,Unavailable result is explained without protected identity or count,PENDING,,
WIN-A11Y-06,Offline read-only,Employee,Connection loss and browse,Connection/staleness announced; prohibited writes disabled with reason,PENDING,,
WIN-A11Y-07,Reconnect,Manager,Restore connection,Readiness announced without stealing focus; writes restore only after sync,PENDING,,
WIN-A11Y-08,Optimistic conflict,Manager,"Edit, conflict, return to draft",Conflict choices reachable; local draft restored unchanged,PENDING,,
WIN-A11Y-09,Admin restricted role,Observer,Navigate Admin/Operations,Unavailable capabilities and hidden objects are not exposed,PENDING,,
WIN-A11Y-10,Dangerous Operations action,Admin,Backup restore guard,"Approval, exact phrase, maintenance and consequence announced before action",PENDING,,
WIN-A11Y-11,Archive/Trash retention,Admin,Restore/purge/legal hold,"Blocked destructive action, legal hold and metadata-only deletion copy exposed",PENDING,,
WIN-A11Y-12,"Menus, tabs, tables, trees and progress",All roles,Keyboard navigation,"Correct UIA control types, selection/expanded/current/value states",PENDING,,
