AC ID,Related FR,Unified integration scenario,Same behavior / parameterization,Primary owner,Explicit rationale,Result,Evidence
AC-001,FR-008;FR-233;FR-234,PASS,PASS,BR-001,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-001.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-002,FR-003;FR-221;FR-222;FR-223;FR-224;FR-275;FR-277,PASS,PASS,BR-002,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-002.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-003,FR-231;FR-232;FR-233;FR-234;FR-260;FR-266;FR-267,PASS,PASS,BR-003,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-003.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-004,FR-210;FR-228,PASS,PASS,BR-004,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-004.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-005,FR-029;FR-032;FR-038;FR-166;FR-168,PASS,PASS,BR-005,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-005.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-006,FR-166;FR-167;FR-168;FR-169;FR-170;FR-262,PASS,PASS,BR-006,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-006.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-007,FR-099;FR-169;FR-263,PASS,PASS,BR-007,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-007.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-008,FR-103;FR-108;FR-112;FR-256;FR-257,PASS,PASS,BR-008,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-008.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-009,FR-031;FR-087;FR-172;FR-174;FR-176;FR-271,PASS,PASS,BR-009,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-009.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-010,FR-019;FR-027;FR-084;FR-232;FR-271,PASS,PASS,BR-010,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-010.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-011,FR-235;FR-236;FR-237;FR-238;FR-239;FR-240;FR-241;FR-269,PASS,PASS,BR-011,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-011.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-012,FR-231;FR-232;FR-233;FR-234;FR-268,PASS,PASS,BR-012,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-012.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-013,FR-159;FR-275;FR-277;FR-278,PASS,PASS,BR-013,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-013.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-014,FR-210;FR-228;FR-244;FR-276,PASS,PASS,BR-014,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-014.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-015,FR-031;FR-087;FR-101;FR-117;FR-141;FR-172;FR-174;FR-176,PASS,PASS,BR-015,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-015.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-016,FR-003;FR-221;FR-222,PASS,PASS,BR-016,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-016.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-018,FR-006;FR-226;FR-227,PASS,PASS,BR-018,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-018.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-020,FR-008;FR-244;FR-245,PASS,PASS,BR-020,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-020.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-022,FR-015;FR-016;FR-244,PASS,PASS,BR-022,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-022.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-023,FR-244;FR-245,PASS,PASS,BR-023,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-023.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-024,FR-017;FR-249,PASS,PASS,BR-024,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-024.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-028,FR-018;FR-019;FR-021;FR-022,PASS,PASS,BR-028,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-028.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-029,FR-023;FR-024,PASS,PASS,BR-029,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-029.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-030,FR-023;FR-024;FR-247,PASS,PASS,BR-030,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-030.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-031,FR-028;FR-038;FR-250,PASS,PASS,BR-031,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-031.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-032,FR-032;FR-038,PASS,PASS,BR-032,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-032.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-033,FR-031;FR-033;FR-036;FR-038;FR-040;FR-248,PASS,PASS,BR-033,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-033.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-034,FR-028;FR-038;FR-250,PASS,PASS,BR-034,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-034.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-035,FR-038;FR-250,PASS,PASS,BR-035,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-035.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-036,FR-050;FR-051,PASS,PASS,BR-036,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-036.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-037,FR-051;FR-251,PASS,PASS,BR-037,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-037.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-038,FR-041;FR-042;FR-043;FR-044;FR-045;FR-046;FR-047;FR-048;FR-049,PASS,PASS,BR-038,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-038.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
AC-040,FR-053;FR-056,PASS,PASS,BR-040,PASS,PASS,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-040.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.
