method,path,canonical_traceability_source,catalog_present,openapi_present,operation_id,openapi_permission,catalog_permission,request_contract,response_contract,status,difference
GET,/api/v1/admin/backups,catalogs/api_catalog.csv,True,True,GET_api_v1_admin_backups,Backup.Read,Backup.Read,"query:type,status,from,to,page",Page<BackupRun>,match,
POST,/api/v1/admin/backups,catalogs/api_catalog.csv,True,True,POST_api_v1_admin_backups,Backup.Execute,Backup.Execute,BackupRequest,BackupRun,match,
POST,/api/v1/admin/backups/{id}/restore,catalogs/api_catalog.csv,True,True,POST_api_v1_admin_backups_id_restore,Backup.Restore,Backup.Restore,RestoreBackupRequest,RestorePlan,match,
POST,/api/v1/admin/backups/{id}/verify,catalogs/api_catalog.csv,True,True,POST_api_v1_admin_backups_id_verify,Backup.RestoreTest,Backup.RestoreTest,BackupVerifyRequest,BackupRun,match,
POST,/api/v1/admin/change-feed/compact,catalogs/api_catalog.csv,True,True,POST_api_v1_admin_change_feed_compact,System.Configure,System.Configure,CompactionRequest,BackgroundJobRun,match,
PUT,/api/v1/admin/feature-flags/{key},catalogs/api_catalog.csv,True,True,PUT_api_v1_admin_feature_flags_key,System.Configure,System.Configure,FeatureFlagPatch,FeatureFlag,match,
GET,/api/v1/admin/jobs,catalogs/api_catalog.csv,True,True,GET_api_v1_admin_jobs,System.HealthRead,System.HealthRead,"query:status,page",Page<BackgroundJob>,match,
POST,/api/v1/admin/jobs/{code}/run,catalogs/api_catalog.csv,True,True,POST_api_v1_admin_jobs_code_run,System.Configure,System.Configure,JobRunRequest,BackgroundJobRun,match,
GET,/api/v1/admin/jobs/{code}/runs,catalogs/api_catalog.csv,True,True,GET_api_v1_admin_jobs_code_runs,System.HealthRead,System.HealthRead,"query:from,to,status,page",Page<BackgroundJobRun>,match,
POST,/api/v1/admin/maintenance-mode,catalogs/api_catalog.csv,True,True,POST_api_v1_admin_maintenance_mode,System.Configure,System.Configure,MaintenanceModeRequest,MaintenanceMode,match,
POST,/api/v1/admin/search/reindex,catalogs/api_catalog.csv,True,True,POST_api_v1_admin_search_reindex,System.Configure,System.Configure,ReindexRequest,BackgroundJobRun,match,
GET,/api/v1/admin/server-capabilities,catalogs/api_catalog.csv,True,True,GET_api_v1_admin_server_capabilities,System.Configure,System.Configure,—,ServerCapabilities,match,
GET,/api/v1/admin/storage,catalogs/api_catalog.csv,True,True,GET_api_v1_admin_storage,System.HealthRead,System.HealthRead,—,StorageStatus,match,
GET,/api/v1/archive,catalogs/api_catalog.csv,True,True,GET_api_v1_archive,History.Read,History.Read,"query:type,projectId,page",Page<ArchiveEntry>,match,
POST,/api/v1/archive/{objectId}/restore,catalogs/api_catalog.csv,True,True,POST_api_v1_archive_objectId_restore,Archive.Restore,Archive.Restore,—,ObjectReference,match,
GET,/api/v1/audit,catalogs/api_catalog.csv,True,True,GET_api_v1_audit,Audit.ReadAll,Audit.ReadAll,"query:actor,action,object,outcome,from,to,cursor",Page<AuditEntry>,match,
GET,/api/v1/audit/export,catalogs/api_catalog.csv,True,True,GET_api_v1_audit_export,Audit.ReadAll,Audit.ReadAll,"query:filters,format",ExportJob,match,
POST,/api/v1/auth/admin-reset-password,catalogs/api_catalog.csv,True,True,POST_api_v1_auth_admin_reset_password,User.ResetPassword,User.ResetPassword,AdminResetPasswordRequest,TemporaryCredentialReceipt,match,
POST,/api/v1/auth/change-password,catalogs/api_catalog.csv,True,True,POST_api_v1_auth_change_password,Authenticated,Authenticated,ChangePasswordRequest,204,match,
POST,/api/v1/auth/login,catalogs/api_catalog.csv,True,True,POST_api_v1_auth_login,Anonymous,Anonymous,LoginRequest,SessionTokens,match,
GET,/api/v1/auth/login-attempts,catalogs/api_catalog.csv,True,True,GET_api_v1_auth_login_attempts,SecurityAudit.Read,SecurityAudit.Read,"query:userId,result,from,to,page",Page<LoginAttempt>,match,
POST,/api/v1/auth/logout,catalogs/api_catalog.csv,True,True,POST_api_v1_auth_logout,Authenticated,Authenticated,—,204,match,
POST,/api/v1/auth/logout-all,catalogs/api_catalog.csv,True,True,POST_api_v1_auth_logout_all,Authenticated,Authenticated,LogoutAllRequest,RevocationSummary,match,
POST,/api/v1/auth/refresh,catalogs/api_catalog.csv,True,True,POST_api_v1_auth_refresh,Anonymous.SessionRefresh,Anonymous.SessionRefresh,RefreshRequest,SessionTokens,match,
GET,/api/v1/auth/session,catalogs/api_catalog.csv,True,True,GET_api_v1_auth_session,Authenticated,Authenticated,—,CurrentSession,match,
GET,/api/v1/auth/sessions,catalogs/api_catalog.csv,True,True,GET_api_v1_auth_sessions,Session.ReadOwnOrAll,Session.ReadOwnOrAll,"query:userId,page",Page<Session>,match,
POST,/api/v1/auth/sessions/{sessionId}/revoke,catalogs/api_catalog.csv,True,True,POST_api_v1_auth_sessions_sessionId_revoke,Session.RevokeOwnOrAll,Session.RevokeOwnOrAll,path:sessionId,204,match,
GET,/api/v1/calendar,catalogs/api_catalog.csv,True,True,GET_api_v1_calendar,Calendar.Read,Calendar.Read,"query:from,to,users,departments,projects,status,timezone,cursor",SchedulePage,match,
