"Record type","Record ID","Module","Surface / representative frame","Required actions","Permission / redaction","Offline / error / destructive variant","Reusable component evidence","Prototype implementation backlog","Evidence status"
"SCR","SCR-060","Projects","Projects list: active filtered list","open; create; filter; lifecycle","Project.Read; hide unavailable projects","offline read-only; filtered empty; OBJECT_NOT_VISIBLE","DataList; FilterBar; ProjectPicker; PermissionState","WB-PROJ-01 list/filter/empty/read-only","Storyboard"
"SCR","SCR-061","Projects","Project overview: active summary and tabs","edit; status; add member; open tabs","Project.Read; capability-filtered tabs","loading; partial tabs; archived/trashed","PageLayout; LifecycleBanner; PermissionState","WB-PROJ-02 overview/tab routing","Storyboard"
"SCR","SCR-062","Projects","Project Tasks tab","open; create; bulk transition","Project.Read + Task.Read","empty; partial; archived read-only","TaskRow; TaskStatusControl; BulkResultSummary","WB-PROJ-03 scoped task tab","Component reference"
"SCR","SCR-063","Projects","Project Calendar tab","open; create/move when allowed","Calendar.Read; target capability","offline; partial; FORBIDDEN","DateTimePicker; ReadOnlyBanner; PermissionState","WB-PROJ-04 calendar placeholder/read-only","Component reference"
"SCR","SCR-064","Projects","Members tab: owner and member list","add; role; remove; transfer ownership","Project.ManageMembers; no raw policy engine","duplicate; scope changed; conflict; owner invariant","PeoplePicker; PermissionState; ConflictNotice","WB-PROJ-05 member table/actions","Storyboard"
"SCR","SCR-065","Projects","Files tab","open; link/unlink; create item","Project.Read + FileCatalog.Read","partial path; unavailable; FORBIDDEN","FileLocationView; ReadOnlyBanner","WB-PROJ-06 linked files","Component reference"
"SCR","SCR-066","Projects","Contacts tab","open; link/unlink","Project.Read + Contact.Read; redact unavailable relation","partial access; OBJECT_NOT_VISIBLE","PeoplePicker; RedactionMarker","WB-PROJ-07 linked CRM","Component reference"
"SCR","SCR-067","Projects","Comments tab","add; edit/delete permitted comment","Comment.Read/Create; target recheck","offline; permission change; FORBIDDEN","CommentThread; ReadOnlyBanner; RetryAction","WB-COM-01 project comment thread","Storyboard"
"SCR","SCR-068","Projects","History tab","inspect project/member changes","History.Read; redact entries by current access","access revoked; OBJECT_NOT_VISIBLE","TimelineHistory; RedactionMarker","WB-HIST-01 project history","Storyboard"
"SCR","SCR-069","Projects","Settings tab","save; pause; complete; lifecycle","Project.Update; field-level forbidden","conflict; active-task warning; INVALID_STATE_TRANSITION","FormLayout; ConflictNotice; ValidationMessage","WB-PROJ-08 settings validation","Storyboard"
"SCR","SCR-070","Projects","Create/edit project dialog","save; cancel","Project.Create/Update","validation; duplicate; VERSION_CONFLICT","DialogShell; FormLayout; ConflictNotice","WB-PROJ-09 editor","Storyboard"
"SCR","SCR-071","Projects","Role/overrides dialog","apply; reset overrides","Project.ManageMembers; owner restriction","scope changed; forbidden; conflict","DialogShell; PeoplePicker; PermissionState","WB-PROJ-10 role dialog","Storyboard"
"SCR","SCR-072","Projects","Project lifecycle menu/dialog","complete; pause; archive; trash; restore","Project.Update/Archive/Delete/Restore","invalid transition; active links; confirm destructive action","LifecycleBanner; ContextMenu; DialogShell; ConflictNotice","WB-LIFE-01 project lifecycle","Storyboard"
"SCR","SCR-080","Files","Catalog tree/list","navigate; create; rename; move; open","FileCatalog.Read distinct from Open","node loading; empty; offline/stale; OBJECT_NOT_VISIBLE","TreeView; DataList; FileLocationView","WB-FILE-01 catalog navigation","Storyboard"
"SCR","SCR-081","Files","CatalogItem inspector","open; edit; locations; links; lifecycle","FileCatalog.Read; partially visible path redacted","no location; archived/trashed; unavailable","FileLocationView; InspectorPanel; TimelineHistory","WB-FILE-02 item detail","Storyboard"
"SCR","SCR-082","Files","Add CatalogItem dialog","save; native picker; link target","FileCatalog.Create","unsafe path/type; duplicate; offline","DialogShell; FileLocationView; ValidationMessage","WB-FILE-03 item creation","Component reference"
"SCR","SCR-083","Files","Manage locations dialog","add; relink; remove; priority; check","FileReference.Open / FileLocation.Update; redact foreign local path","partial visibility; conflict; unsafe path","FileLocationView; PermissionState; ConflictNotice","WB-FILE-04 location management","Storyboard"
"SCR","SCR-084","Files","Resolve/open path dialog","open; choose alternative; folder; retry","FileReference.Open; OS ACL remains authoritative","no location/not found/denied/network","FileLocationView; DialogShell; RetryAction","WB-FILE-05 open resolution","Storyboard"
"SCR","SCR-085","Files","File unavailable recovery dialog","retry; alternative; relink; contact owner","Open; optional FileLocation.Update only if allowed","not found/denied/network/unsafe/other-device; no destructive change","ErrorMessage; FileLocationView; RetryAction","WB-FILE-06 recovery diagnosis","Storyboard"
"SCR","SCR-086","Files","Relink location dialog","replace; add alternative; cancel","FileLocation.Update","unsafe path; wrong scope; conflict","FormLayout; FileLocationView; ConflictNotice","WB-FILE-07 relink","Storyboard"
"SCR","SCR-087","Files","Add alternative path dialog","add; test; set priority","FileLocation.Update","duplicate/unsafe/inaccessible; preserves existing location","FormLayout; FileLocationView; ValidationMessage","WB-FILE-08 add alternative","Storyboard"
"SCR","SCR-088","Files","CatalogItem links panel","add/remove/open link","ObjectLink.Read/Create/Delete; hidden target omitted","duplicate; hidden target; FORBIDDEN","InspectorPanel; ProjectPicker; TaskRow","WB-FILE-09 typed links","Component reference"
"SCR","SCR-089","Files","Catalog context menu","open; rename; move; location; archive; trash; copy link","capability-dependent; disabled reason","mixed selection; archived; confirm lifecycle action","ContextMenu; PermissionState; LifecycleBanner","WB-FILE-10 context actions","Component reference"
"SCR","SCR-090","Files","Availability diagnostics panel","recheck; copy safe report; admin resource","Open / NetworkResource.Manage; redact error/path","stale check; device/resource unavailable; access denied","ErrorMessage; RedactionMarker; RetryAction","WB-FILE-11 SMB diagnostics","Storyboard"
"SCR","SCR-210","Files","Native Windows picker handoff","choose; cancel","FileCatalog.Create/FileLocation.Update","local access denied; server UNSAFE_PATH","DialogShell; FileLocationView","WB-FILE-12 native handoff state","Component reference"
"SCR","SCR-110","CRM","Contacts/companies list","open; create; filter; lifecycle","Contact.Read; server-filtered scope","empty; partial; offline; OBJECT_NOT_VISIBLE","DataList; FilterBar; ReadOnlyBanner","WB-CRM-01 list/filter","Storyboard"
"SCR","SCR-111","CRM","Contact card","edit; channel; interaction; link; lifecycle","Contact.Read; partial PII fields redacted","archived/trashed; OBJECT_NOT_VISIBLE","PageLayout; LifecycleBanner; PermissionState","WB-CRM-02 contact detail","Storyboard"
"SCR","SCR-112","CRM","Contact editor","save; cancel","Contact.Create/Update","validation; duplicate warning; conflict","DialogShell; FormLayout; ConflictNotice","WB-CRM-03 contact editor","Storyboard"
"SCR","SCR-113","CRM","Company card","edit; link contact; interaction; lifecycle","Contact.Read; partial PII scope","archived/trashed; OBJECT_NOT_VISIBLE","PageLayout; LifecycleBanner; PermissionState","WB-CRM-04 company detail","Storyboard"
"SCR","SCR-114","CRM","Company editor","save; cancel","Contact.Create/Update","validation; duplicate; conflict","DialogShell; FormLayout; ConflictNotice","WB-CRM-05 company editor","Storyboard"
"SCR","SCR-115","CRM","Channels and addresses panel","add/edit/delete/copy/open external handler","Contact.Read/Update; partial field read-only/redaction","validation; partial redaction; FORBIDDEN","InspectorPanel; RedactionMarker; ErrorMessage","WB-CRM-06 channels","Component reference"
"SCR","SCR-116","CRM","Interaction timeline","open; filter; create","Contact.Read; scoped interaction visibility","empty; partial; offline; OBJECT_NOT_VISIBLE","DataList; FilterBar; ReadOnlyBanner","WB-CRM-07 timeline","Storyboard"
"SCR","SCR-117","CRM","Interaction editor","save; delete/restore when allowed","Interaction.Create/Update; hidden participant omitted","validation; conflict; hidden participant","DialogShell; FormLayout; PermissionState","WB-CRM-08 interaction editor","Storyboard"
"SCR","SCR-118","CRM","Related Task/Project/File panel","open; link; unlink","ObjectLink.Read; create/delete by capability; redact target","partial target; unavailable; FORBIDDEN","FileLocationView; ProjectPicker; RedactionMarker","WB-CRM-09 cross-links","Component reference"
"SCR","SCR-119","CRM","CRM context menu","open; edit; interaction; archive; trash; copy channel","capability-dependent; disabled reasons","archived; forbidden; confirm destructive action","ContextMenu; LifecycleBanner; PermissionState","WB-CRM-10 context actions","Component reference"
"SCR","SCR-035","Shared comments","Object comments panel","add; edit own; delete; restore moderate","Comment.Read/Create/UpdateOwnOrModerate; server recheck","loading; tombstone; revoked; offline; conflict","CommentThread; ConflictNotice; ReadOnlyBanner","WB-COM-02 generic comment variants","Storyboard"
"SCR","SCR-036","Shared history","Object history panel","inspect version; copy timestamp","History.Read; redact by current rights","access revoked; OBJECT_NOT_VISIBLE","TimelineHistory; RedactionMarker","WB-HIST-02 generic history","Storyboard"
"SCR","SCR-201","Shared history","Reusable history panel/page","inspect; copy safe data","History.Read; no sensitive pre-redaction data","redacted; access revoked","TimelineHistory; RedactionMarker; InspectorPanel","WB-HIST-03 reusable history","Component reference"
"SCR","SCR-202","Shared comments","Reusable comments panel","add/edit/delete/restore","target Comment permissions; server recheck","offline; tombstone; partial; forbidden","CommentThread; RetryAction; PermissionState","WB-COM-03 reusable thread","Component reference"
"SCR","SCR-204","Shared permissions","Why unavailable popover","close; relevant settings/admin","no raw RBAC/ReBAC/ABAC; stale reason recheck","FORBIDDEN; SYNC_SCOPE_CHANGED","PermissionState; PopoverSurface","WB-PERM-01 disabled reason","Component reference"
"SCR","SCR-207","Shared commands","Generic context menu","open; copy link; permitted actions","capability-dependent; keyboard equivalent","mixed selection; forbidden","ContextMenu; PermissionState","WB-CMD-01 menu variants","Component reference"
"SCR","SCR-208","Shared destructive","Generic confirmation dialog","confirm; cancel","target permission rechecked","state changed; VERSION_CONFLICT; INVALID_STATE_TRANSITION","DialogShell; ConflictNotice; SemanticStatus","WB-LIFE-02 confirmation","Storyboard"
"SCR","SCR-209","Shared recovery","Error/background-operation details","retry safe; copy traceId; diagnostics","authenticated; extended admin details only","recoverable/unrecoverable/running; timeout/dependency","ErrorMessage; ProgressIndicator; RetryAction","WB-ERR-01 operation recovery","Component reference"
"SCR","SCR-140","Lifecycle","Archive page","open; unarchive; filter","History.Read; Archive.Restore","empty; partial; offline; unavailable","LifecycleBanner; DataList; ReadOnlyBanner","WB-LIFE-03 archive","Storyboard"
