Wave,Source row,Requirement,Type,Module,Module name,Requirement title,API status,API operationId,API path (method),Permission,Server handler (planned),Screen (Stage 3.5),FLOW (Stage 3.5),Acceptance criteria (AC),Test type,Priority,Source,Disposition reason,Gap reference
ALL,wave-a.csv:2 | wave-b.csv:2 | wave-c.csv:2,BR-001,BR,ALL,Все модули (Wave A/B/C),Организация одна; каждая общая запись ограничена organization boundary.,no_api,,,—,,—,—,AC-001,Integration/contract,High,Концепция §3.1; Архитектура A1-11,Source row does not associate this requirement with an API operation.,
ALL,wave-a.csv:3 | wave-b.csv:3 | wave-c.csv:3,BR-002,BR,ALL,Все модули (Wave A/B/C),"UserAccount отвечает за аутентификацию, EmployeeProfile — за рабочий профиль.",no_api,,,—,,—,—,AC-002,Integration/contract,High,Stage 2.3.1 C-03,Source row does not associate this requirement with an API operation.,
ALL,wave-a.csv:4 | wave-b.csv:4 | wave-c.csv:4,BR-003,BR,ALL,Все модули (Wave A/B/C),Сервер является единственным источником истины; локальный cache disposable и read-only при outage.,no_api,,,—,,—,—,AC-003,Integration/contract,High,Архитектура A1-01/A1-03; DEC-006,Source row does not associate this requirement with an API operation.,
ALL,wave-a.csv:5 | wave-b.csv:5 | wave-c.csv:5,BR-004,BR,ALL,Все модули (Wave A/B/C),"Любое действие разрешается сервером по RBAC/ReBAC/ABAC, explicit deny сильнее allow, default deny.",no_api,,,—,,—,—,AC-004,Integration/contract,Critical,ADR-002; DEC-004,Source row does not associate this requirement with an API operation.,
ALL,wave-a.csv:6 | wave-b.csv:6 | wave-c.csv:6,BR-005,BR,ALL,Все модули (Wave A/B/C),"Business status, derived state, archive, trash и UI state не смешиваются.",no_api,,,—,,—,—,AC-005,Integration/contract,High,DEC-005,Source row does not associate this requirement with an API operation.,
ALL,wave-a.csv:7 | wave-b.csv:7 | wave-c.csv:7,BR-006,BR,ALL,Все модули (Wave A/B/C),Archived object по умолчанию read-only; Trashed object доступен только для restore/purge.,no_api,,,—,,—,—,AC-006,Integration/contract,High,ADR-011; DEC-023,Source row does not associate this requirement with an API operation.,
ALL,wave-a.csv:8 | wave-b.csv:8 | wave-c.csv:8,BR-007,BR,ALL,Все модули (Wave A/B/C),Удаление metadata рабочего файла не удаляет физический файл.,no_api,,,—,,—,—,AC-007,Integration/contract,Critical,Концепция §22.2; DEC-018,Source row does not associate this requirement with an API operation.,
ALL,wave-a.csv:9 | wave-b.csv:9 | wave-c.csv:9,BR-008,BR,ALL,Все модули (Wave A/B/C),Физический доступ к файлу определяется Windows/SMB ACL после metadata permission.,no_api,,,—,,—,—,AC-008,Integration/contract,Critical,Архитектура A1-06; GAP-004,Source row does not associate this requirement with an API operation.,
ALL,wave-a.csv:10 | wave-b.csv:10 | wave-c.csv:10,BR-009,BR,ALL,Все модули (Wave A/B/C),Versioned write требует If-Match; stale version не перезаписывается молча.,no_api,,,—,,—,—,AC-009,Integration/contract,Critical,ADR-004; DEC-038,Source row does not associate this requirement with an API operation.,
ALL,wave-a.csv:11 | wave-b.csv:11 | wave-c.csv:11,BR-010,BR,ALL,Все модули (Wave A/B/C),Safe retry допускается только для safe/idempotent operation с сохранением request hash/key.,no_api,,,—,,—,—,AC-010,Integration/contract,High,Stage 2.3.1 idempotency,Source row does not associate this requirement with an API operation.,
ALL,wave-a.csv:12 | wave-b.csv:12 | wave-c.csv:12,BR-011,BR,ALL,Все модули (Wave A/B/C),Audit append-only; secrets и неразрешённые sensitive paths редактируются или не записываются.,no_api,,,—,,—,—,AC-011,Integration/contract,High,ADR-009; архитектура,Source row does not associate this requirement with an API operation.,
ALL,wave-a.csv:13 | wave-b.csv:13 | wave-c.csv:13,BR-012,BR,ALL,Все модули (Wave A/B/C),Realtime signal является invalidation; durable recovery выполняется через change feed.,no_api,,,—,,—,—,AC-012,Integration/contract,High,ADR-005,Source row does not associate this requirement with an API operation.,
ALL,wave-a.csv:14 | wave-b.csv:14 | wave-c.csv:14,BR-013,BR,ALL,Все модули (Wave A/B/C),Search фильтруется по authorization и filters до pagination; client post-filter запрещён.,no_api,,,—,,—,—,AC-013,Integration/contract,High,DEC-040; Search Contract,Source row does not associate this requirement with an API operation.,
ALL,wave-a.csv:15 | wave-b.csv:15 | wave-c.csv:15,BR-014,BR,ALL,Все модули (Wave A/B/C),UI hidden/disabled state не заменяет server-side permission check.,no_api,,,—,,—,—,AC-014,Integration/contract,Critical,DEC-030,Source row does not associate this requirement with an API operation.,
ALL,wave-a.csv:16 | wave-b.csv:16 | wave-c.csv:16,BR-015,BR,ALL,Все модули (Wave A/B/C),PATCH omitted означает unchanged; explicit null очищает только nullable field.,no_api,,,—,,—,—,AC-015,Integration/contract,High,DEC-037,Source row does not associate this requirement with an API operation.,
ALL,wave-a.csv:17 | wave-b.csv:17 | wave-c.csv:17,BR-113,BR,ALL,Все модули (Wave A/B/C),"Analytics не хранит полный query, PII, paths, secrets или notification contents; product/diagnostic/audit разделены.",no_api,,,—,,SCR-133 Глобальный поиск; SCR-153 Notifications и DND,"FLOW-019 Глобальный поиск; FLOW-038 Управление организационной шкалой срочности (Stage 4.5, DEC-060)",AC-1823,Privacy,Critical,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,Source row does not associate this requirement with an API operation.,
