BR ID,Module,Rule,Source,Related FR,Verification
BR-001,ALL,Организация одна; каждая общая запись ограничена organization boundary.,Концепция §3.1; Архитектура A1-11,FR-008;FR-233;FR-234,AC-001 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-001.
BR-002,ALL,"UserAccount отвечает за аутентификацию, EmployeeProfile — за рабочий профиль.",Stage 2.3.1 C-03,FR-003;FR-221;FR-222;FR-223;FR-224;FR-275;FR-277,AC-002 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-002.
BR-003,ALL,Сервер является единственным источником истины; локальный cache disposable и read-only при outage.,Архитектура A1-01/A1-03; DEC-006,FR-231;FR-232;FR-233;FR-234;FR-260;FR-266;FR-267,AC-003 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-003.
BR-004,ALL,"Любое действие разрешается сервером по RBAC/ReBAC/ABAC, explicit deny сильнее allow, default deny.",ADR-002; DEC-004,FR-210;FR-228,AC-004 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-004.
BR-005,ALL,"Business status, derived state, archive, trash и UI state не смешиваются.",DEC-005,FR-029;FR-032;FR-038;FR-166;FR-168,AC-005 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-005.
BR-006,ALL,Archived object по умолчанию read-only; Trashed object доступен только для restore/purge.,ADR-011; DEC-023,FR-166;FR-167;FR-168;FR-169;FR-170;FR-262,AC-006 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-006.
BR-007,ALL,Удаление metadata рабочего файла не удаляет физический файл.,Концепция §22.2; DEC-018,FR-099;FR-169;FR-263,AC-007 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-007.
BR-008,ALL,Физический доступ к файлу определяется Windows/SMB ACL после metadata permission.,Архитектура A1-06; GAP-004,FR-103;FR-108;FR-112;FR-256;FR-257,AC-008 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-008.
BR-009,ALL,Versioned write требует If-Match; stale version не перезаписывается молча.,ADR-004; DEC-038,FR-031;FR-087;FR-172;FR-174;FR-176;FR-271,AC-009 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-009.
BR-010,ALL,Safe retry допускается только для safe/idempotent operation с сохранением request hash/key.,Stage 2.3.1 idempotency,FR-019;FR-027;FR-084;FR-232;FR-271,AC-010 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-010.
BR-011,ALL,Audit append-only; secrets и неразрешённые sensitive paths редактируются или не записываются.,ADR-009; архитектура,FR-235;FR-236;FR-237;FR-238;FR-239;FR-240;FR-241;FR-269,AC-011 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-011.
BR-012,ALL,Realtime signal является invalidation; durable recovery выполняется через change feed.,ADR-005,FR-231;FR-232;FR-233;FR-234;FR-268,AC-012 Related FR evidence: curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-012.
