NFR ID,Area,Requirement,Target,Measurement,Source/Assumption,Modules
NFR-001,Platform,Desktop client supports corporate Windows 10/11 editions approved by the company.,"Every company-approved Windows 10/11 image installs, launches, signs in and exits without unsupported runtime or privilege requirement.",Versioned install/launch/sign-in/logout smoke matrix on each approved corporate image; 0 failed required step.,Architecture §0.5/technology profile,ALL
NFR-002,Desktop,"All primary/destructive actions, CMP-001 and CMP-002 have keyboard-only paths.","100% primary/destructive flows and CMP-001/CMP-002 complete with Tab/Shift+Tab, Up/Down, Enter and Esc without pointer input.",Automated UIA plus manual keyboard matrix; exact focus-return and disabled-reason assertions for every listed flow.,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,MOD-002;MOD-014;MOD-015;MOD-018
NFR-003,Accessibility,Focus is visible/deterministic; urgency levels/bounds and employee group/status/redaction have accessible names and states.,"0 missing accessible name/role/state, active-descendant, group announcement or deterministic focus-return assertion in CMP-001/CMP-002 critical paths.","UIA tree snapshot + Narrator/NVDA script for loading, result-group, redaction, validation, conflict, unavailable and close/Esc states.",Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,MOD-002;MOD-014;MOD-015;MOD-018
NFR-004,High DPI,Layouts remain usable at 100–200% Windows scaling and multiple monitors.,"At 100%, 150% and 200% scaling and below 1100 logical px, no critical control is clipped; reading/tab order remains logical and horizontal scroll is not required for the primary action.",Window-size × scaling × high-contrast visual/keyboard matrix on approved Windows images.,Architecture/Stage 3,ALL
NFR-005,Color,Status/urgency/error/redaction is never communicated by color alone; semantic text and icon/shape alternatives are present.,Text/icon/state alternative for every colored signal,Accessibility review,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 UX baseline; Stage 4.3 remediation,MOD-002;MOD-014;MOD-015;MOD-018
NFR-006,Performance,Large lists use server pagination and client virtualization.,0 full-dataset list requests; client retains only contract page payloads plus realized viewport and does not grow with total dataset size during bounded scroll test.,"Production-scale fixture profile: request log, page/cursor assertions, realized-item count and memory trend.",Architecture scale; DEC-034,ALL
NFR-007,Calendar,Calendar reads are range-bounded and virtualized.,100% calendar reads include bounded from/to; 0 unbounded multi-year request; out-of-contract range returns CALENDAR_RANGE_TOO_LARGE with preserved filter state.,"Generated contract/UI tests for minimum/maximum supported ranges, DST boundaries and one over-limit range.",Architecture §3.12,ALL
NFR-008,Search,Filtering and cursor pagination execute server-side before result delivery.,No client post-filter of paged results,Contract tests with filter-bound cursor,Search Contract; DEC-040,ALL
NFR-009,Resilience,Server outage changes application to honest read-only cache mode.,0 accepted business writes while API unavailable,Fault injection desktop tests,ADR-015; DEC-006,ALL
NFR-010,Recovery,"After reconnect client authenticates, applies change feed, and bootstraps when cursor/scope is invalid.",No stale unauthorized projection after recovery,Fault injection/integration,ADR-005; DEC-032,ALL
