Requirement,Type,Module,Module name,Requirement title,API operationId,API path (method),Permission,Server handler (planned),Screen (Stage 3.5),FLOW (Stage 3.5),Acceptance criteria (AC),Test type,Priority,Source
BR-001,BR,ALL,Все модули (Wave A: 9 модулей),Организация одна; каждая общая запись ограничена organization boundary.,—,—,—,—,—,—,AC-001,Integration/contract,High,Концепция §3.1; Архитектура A1-11
BR-002,BR,ALL,Все модули (Wave A: 9 модулей),"UserAccount отвечает за аутентификацию, EmployeeProfile — за рабочий профиль.",—,—,—,—,—,—,AC-002,Integration/contract,High,Stage 2.3.1 C-03
BR-003,BR,ALL,Все модули (Wave A: 9 модулей),Сервер является единственным источником истины; локальный cache disposable и read-only при outage.,—,—,—,—,—,—,AC-003,Integration/contract,High,Архитектура A1-01/A1-03; DEC-006
BR-004,BR,ALL,Все модули (Wave A: 9 модулей),"Любое действие разрешается сервером по RBAC/ReBAC/ABAC, explicit deny сильнее allow, default deny.",—,—,—,—,—,—,AC-004,Integration/contract,Critical,ADR-002; DEC-004
BR-005,BR,ALL,Все модули (Wave A: 9 модулей),"Business status, derived state, archive, trash и UI state не смешиваются.",—,—,—,—,—,—,AC-005,Integration/contract,High,DEC-005
BR-006,BR,ALL,Все модули (Wave A: 9 модулей),Archived object по умолчанию read-only; Trashed object доступен только для restore/purge.,—,—,—,—,—,—,AC-006,Integration/contract,High,ADR-011; DEC-023
BR-007,BR,ALL,Все модули (Wave A: 9 модулей),Удаление metadata рабочего файла не удаляет физический файл.,—,—,—,—,—,—,AC-007,Integration/contract,Critical,Концепция §22.2; DEC-018
BR-008,BR,ALL,Все модули (Wave A: 9 модулей),Физический доступ к файлу определяется Windows/SMB ACL после metadata permission.,—,—,—,—,—,—,AC-008,Integration/contract,Critical,Архитектура A1-06; GAP-004
BR-009,BR,ALL,Все модули (Wave A: 9 модулей),Versioned write требует If-Match; stale version не перезаписывается молча.,—,—,—,—,—,—,AC-009,Integration/contract,Critical,ADR-004; DEC-038
BR-010,BR,ALL,Все модули (Wave A: 9 модулей),Safe retry допускается только для safe/idempotent operation с сохранением request hash/key.,—,—,—,—,—,—,AC-010,Integration/contract,High,Stage 2.3.1 idempotency
