"SCR ID","Module","Surface name","Surface type","Primary pattern","Shared components","Roles","Permission","Purpose","Entry points","Actions","States","Errors","Related SCR","Dependencies","Priority","Style dependency","Inventory status","Source line"
"SCR-001","Auth","Вход","page","Page","ConnectivityBanner; ErrorMessage; LoadingState; PageLayout; ProgressIndicator; ReadOnlyBanner; RetryAction; SurfaceTitle","Все/по состоянию session","Anonymous","Аутентификация по логину/паролю","Запуск; refresh failed","Войти; параметры сервера","loading; invalid; locked; blocked; unavailable","INVALID_CREDENTIALS; ACCOUNT_LOCKED_TEMPORARILY; ACCOUNT_BLOCKED","SCR-002; SCR-003; SCR-007","Credential Manager, TLS, auth pipeline","P0","VIS-001","Mapped","27"
"SCR-002","Auth","Подключение к серверу","page/dialog","Modal dialog","ConnectivityBanner; DialogShell; ErrorMessage; FieldLabel; FocusTrap; FormLayout; LoadingState; PageLayout; ProgressIndicator; ReadOnlyBanner; RetryAction; SurfaceTitle; ValidationMessage","Все/по состоянию session","Anonymous/Network allowlist","Настроить и проверить локальный сервер","Первый запуск; connection error; Settings","Проверить; сохранить endpoint","checking; TLS error; unavailable; incompatible","TIMEOUT; DEPENDENCY_UNAVAILABLE; CLIENT_VERSION_UNSUPPORTED","SCR-001; SCR-003; SCR-157","Credential Manager, TLS, auth pipeline","P0","VIS-001","Mapped","28"
"SCR-006","Auth","Сессия прервана","blocking dialog/page","Blocking state","DialogShell; FocusTrap; PageLayout; RecurrenceEditor; SurfaceTitle","Все/по состоянию session","Authenticated","Обработать expiry/revoke/device revoke","401/403 или security event","Повторный вход; закрыть; diagnostics","expired; revoked; compromised; device revoked","SESSION_EXPIRED; SESSION_REVOKED; REFRESH_TOKEN_REUSE; DEVICE_REVOKED","SCR-001","Credential Manager, TLS, auth pipeline","P0","VIS-001","Mapped","29"
"SCR-003","Sync","Bootstrap и запуск","page","Page","ConnectivityBanner; LoadingState; PageLayout; Pagination; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; RetryAction; SemanticStatus; SurfaceTitle","Все аутентифицированные","Sync.Read","Подготовить разрешённый cache","После login; cursor expired; cache reset","Повторить; diagnostics; logout","dataset progress; reconnecting; scope changed","SYNC_SCOPE_CHANGED; SYNC_CURSOR_EXPIRED; DATABASE_UNAVAILABLE","SCR-004; SCR-001; SCR-160","Encrypted SQLite, realtime/polling","P0","VIS-001","Mapped","35"
"SCR-160","Sync","Sync status","popover/panel","Popover","ConnectivityBanner; DateTimePicker; InspectorPanel; LoadingState; Pagination; PopoverSurface; ProgressIndicator; ReadOnlyBanner; RetryAction; SemanticStatus; SurfaceTitle","Все аутентифицированные","Sync.Read","Online/realtime/polling/cursor/last sync","Status bar click","Sync now; diagnostics","reconnecting; pending; scope changed","SYNC_CURSOR_EXPIRED; SYNC_SCOPE_CHANGED","SCR-156; SCR-003","Encrypted SQLite, realtime/polling","P0","VIS-001","Mapped","36"
"SCR-206","Sync","Sync status popover","status popover","Status popover","DateTimePicker; ErrorMessage; LoadingState; Pagination; PopoverSurface; ProgressIndicator; SemanticStatus; SurfaceTitle","Все аутентифицированные","Sync.Read","Last sync, pending invalidations, realtime/polling","Global status click","Sync now; diagnostics","pending; cursor expired; scope changed","SYNC_CURSOR_EXPIRED; SYNC_SCOPE_CHANGED","SCR-003; SCR-156","Encrypted SQLite, realtime/polling","P0","VIS-001","Mapped","37"
"SCR-004","Shell","Главное окно","shell","Application shell","CommandBar; ConnectionStatus; ConnectivityBanner; FieldLabel; FileLocationView; FormLayout; NavigationRail; ProfileMenu; ReadOnlyBanner; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; ValidationMessage","Все аутентифицированные","Authenticated","Постоянная навигация и рабочая область","После bootstrap; deep link; tray","Навигация; search; quick create; profile","online; offline; syncing; maintenance; storage full","SESSION_REVOKED; MAINTENANCE_MODE; STORAGE_FULL","Все primary sections","Navigation, realtime, local cache","P0","VIS-001","Mapped","43"
"SCR-005","Shell","Command palette","overlay","Overlay / command surface","ConnectivityBanner; DateTimePicker; EmptyState; FieldLabel; FilterBar; FormLayout; PermissionState; PopoverSurface; ReadOnlyBanner; RetryAction; SemanticStatus; SurfaceTitle; ValidationMessage","Все аутентифицированные","Local + target capability","Клавиатурная навигация и команды","Ctrl+K","Перейти; создать; выполнить разрешённое","empty; filtered; offline limited","FORBIDDEN after server recheck","Target route/deep link","Navigation, realtime, local cache","P0","VIS-001","Mapped","44"
"SCR-007","Shell","Требуется обновление","blocking page","Blocking state","ConnectivityBanner; DialogShell; FocusTrap; PageLayout; ReadOnlyBanner; RetryAction; SemanticStatus; SurfaceTitle","Все аутентифицированные","Authenticated","Заблокировать несовместимый клиент","426; capability check","Обновить; закрыть","required; download/signature failure","CLIENT_VERSION_UNSUPPORTED; DEPENDENCY_UNAVAILABLE","SCR-003 after update","Navigation, realtime, local cache","P0","VIS-001","Mapped","45"
"SCR-008","Shell","Глобальный quick create","popover","Popover","ConnectivityBanner; DateTimePicker; ErrorMessage; FieldLabel; FormLayout; PermissionState; PopoverSurface; ReadOnlyBanner; RetryAction; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все аутентифицированные","Task.Create / Inbox.ManageOwn","Создать Task или InboxItem без смены контекста","Ctrl+N; Ctrl+Shift+N; global button; tray","Создать; открыть full editor","validation; offline disabled; forbidden","VALIDATION_FAILED; FORBIDDEN; DATABASE_UNAVAILABLE","SCR-024; current route","Navigation, realtime, local cache","P0","VIS-001","Mapped","46"
"SCR-211","Shell","System tray menu","tray surface","Windows integration surface","ConnectivityBanner; ReadOnlyBanner; RetryAction; SemanticStatus; SurfaceTitle","Все аутентифицированные","Authenticated","Open, quick capture, DND, sync, logout/exit","Tray icon","Open; quick capture; DND; sync; logout; exit","offline; session revoked","SESSION_REVOKED; DATABASE_UNAVAILABLE","SCR-004; SCR-008; SCR-130","Navigation, realtime, local cache","P0","VIS-001","Mapped","47"
"SCR-212","Shell","Toast deep-link activation","system integration","Windows integration surface","NotificationItem; PermissionState; SemanticStatus; SurfaceTitle","Все аутентифицированные","Authenticated","Focus existing instance and navigate safely","Toast click/action","Open/focus; unavailable state if access changed","session expired; target hidden","SESSION_EXPIRED; OBJECT_NOT_VISIBLE","SCR-006; target","Navigation, realtime, local cache","P0","VIS-001","Mapped","48"
"SCR-010","Today","Сегодня","page","Page","ConflictNotice; ConnectivityBanner; EmptyState; ErrorMessage; FilterBar; LoadingState; PageLayout; PermissionState; ProgressIndicator; ReadOnlyBanner; ReminderEditor; RetryAction; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator","Все по разрешённому scope","Calendar.Read","Главный рабочий экран","Default; Alt+1","Open; transition; complete; move; snooze; scope filter","section loading/error; empty; stale; offline; partial","INVALID_STATE_TRANSITION; VERSION_CONFLICT; FORBIDDEN","SCR-024; SCR-040; SCR-130","Calendar projection, timezone, capabilities","P0","VIS-001","Mapped","54"
"SCR-011","Today","Фильтр Today","panel","Panel","FieldLabel; FilterBar; FormLayout; InspectorPanel; PeoplePicker; PermissionState; ReminderEditor; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Все по разрешённому scope","Calendar.Read + directory scope","Выбрать self/employee/department и блоки","SCR-010 command bar","Apply; reset","partial directory; forbidden scope","FORBIDDEN; OBJECT_NOT_VISIBLE","SCR-010","Calendar projection, timezone, capabilities","P0","VIS-001","Mapped","55"
