Matrix source row,Requirement,Type,Module,Requirement title,Resolution status,API operationId,API method,API path,Permission,Server handler planned,Screen Stage 3.5,FLOW Stage 3.5,Test type,Source evidence,Resolution rationale
wave-b.csv:18,DATA-010,DATA,MOD-010,Данные модуля: DTO/агрегаты и их поля по OpenAPI,unresolved,,,,,,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Boundary/contract UI,implementation_matrix.csv wave-b.csv:18 Source='DEC-036/037/041'; traceability 4.5 DATA-010 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement.,Sources name module operations without an operationId; the DTO field contract is enforced by the module AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:19,PERM-010,PERM,MOD-010,Права модуля: capabilities и scopes по OpenAPI,unresolved,,,,,,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Security/authorization,implementation_matrix.csv wave-b.csv:19 Source='DEC-004/030; OpenAPI'; traceability 4.5 PERM-010 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement.,Sources name module operations without an operationId; the permission set is enforced by the module Permission-denial AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:20,ERR-010,ERR,MOD-010,"Ошибки модуля: стабильные коды, HTTP-статусы и recovery по OpenAPI",unresolved,,,,,,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Error handling,implementation_matrix.csv wave-b.csv:20 Source='errors.csv; State Matrix'; traceability 4.5 ERR-010 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement.,Sources name module operations without an operationId; stable error handling is enforced by the module AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:22,AUDIT-010,AUDIT,MOD-010,"Аудит и история действий модуля (append-only, redaction-aware)",unresolved,,,,,,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Audit/security,implementation_matrix.csv wave-b.csv:22 Source='Architecture audit principles; OpenAPI side effects'; traceability 4.5 AUDIT-010 API cell='Domain command + audit/history endpoints'; openapi.yaml contains no operationId for this requirement.,Sources name domain command + audit/history endpoints without an operationId; audit evidence is enforced by the module AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:42,DATA-011,DATA,MOD-011,Данные модуля: DTO/агрегаты и их поля по OpenAPI,unresolved,,,,,,SCR-080 Каталог файлов; SCR-081 Карточка CatalogItem; SCR-082 Добавить CatalogItem; SCR-083 Управление locations; SCR-084 Выбор пути и открытие; SCR-085 Недоступный файл; SCR-086 Перепривязка location; SCR-087 Добавить альтернативный path; SCR-088 Связи CatalogItem; SCR-089 Контекстное меню каталога; SCR-090 Диагностика availability; SCR-210 Windows file/folder picker,FLOW-015 Открытие файла; FLOW-016 Недоступный файл; FLOW-017 Перепривязка файла; FLOW-036 Добавить альтернативный FileLocation,Boundary/contract UI,implementation_matrix.csv wave-b.csv:42 Source='DEC-036/037/041'; traceability 4.5 DATA-011 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement.,Sources name module operations without an operationId; the DTO field contract is enforced by the module AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:43,PERM-011,PERM,MOD-011,Права модуля: capabilities и scopes по OpenAPI,unresolved,,,,,,SCR-080 Каталог файлов; SCR-081 Карточка CatalogItem; SCR-082 Добавить CatalogItem; SCR-083 Управление locations; SCR-084 Выбор пути и открытие; SCR-085 Недоступный файл; SCR-086 Перепривязка location; SCR-087 Добавить альтернативный path; SCR-088 Связи CatalogItem; SCR-089 Контекстное меню каталога; SCR-090 Диагностика availability; SCR-210 Windows file/folder picker,FLOW-015 Открытие файла; FLOW-016 Недоступный файл; FLOW-017 Перепривязка файла; FLOW-036 Добавить альтернативный FileLocation,Security/authorization,implementation_matrix.csv wave-b.csv:43 Source='DEC-004/030; OpenAPI'; traceability 4.5 PERM-011 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement.,Sources name module operations without an operationId; the permission set is enforced by the module Permission-denial AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:44,ERR-011,ERR,MOD-011,"Ошибки модуля: стабильные коды, HTTP-статусы и recovery по OpenAPI",unresolved,,,,,,SCR-080 Каталог файлов; SCR-081 Карточка CatalogItem; SCR-082 Добавить CatalogItem; SCR-083 Управление locations; SCR-084 Выбор пути и открытие; SCR-085 Недоступный файл; SCR-086 Перепривязка location; SCR-087 Добавить альтернативный path; SCR-088 Связи CatalogItem; SCR-089 Контекстное меню каталога; SCR-090 Диагностика availability; SCR-210 Windows file/folder picker,FLOW-015 Открытие файла; FLOW-016 Недоступный файл; FLOW-017 Перепривязка файла; FLOW-036 Добавить альтернативный FileLocation,Error handling,implementation_matrix.csv wave-b.csv:44 Source='errors.csv; State Matrix'; traceability 4.5 ERR-011 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement.,Sources name module operations without an operationId; stable error handling is enforced by the module AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:46,AUDIT-011,AUDIT,MOD-011,"Аудит и история действий модуля (append-only, redaction-aware)",unresolved,,,,,,SCR-080 Каталог файлов; SCR-081 Карточка CatalogItem; SCR-082 Добавить CatalogItem; SCR-083 Управление locations; SCR-084 Выбор пути и открытие; SCR-085 Недоступный файл; SCR-086 Перепривязка location; SCR-087 Добавить альтернативный path; SCR-088 Связи CatalogItem; SCR-089 Контекстное меню каталога; SCR-090 Диагностика availability; SCR-210 Windows file/folder picker,FLOW-015 Открытие файла; FLOW-016 Недоступный файл; FLOW-017 Перепривязка файла; FLOW-036 Добавить альтернативный FileLocation,Audit/security,implementation_matrix.csv wave-b.csv:46 Source='Architecture audit principles; OpenAPI side effects'; traceability 4.5 AUDIT-011 API cell='Domain command + audit/history endpoints'; openapi.yaml contains no operationId for this requirement.,Sources name domain command + audit/history endpoints without an operationId; audit evidence is enforced by the module AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:70,DATA-012,DATA,MOD-012,Данные модуля: DTO/агрегаты и их поля по OpenAPI,unresolved,,,,,,SCR-110 Контакты и компании: список; SCR-111 Карточка контакта; SCR-112 Редактор контакта; SCR-113 Карточка компании; SCR-114 Редактор компании; SCR-115 Каналы связи и адреса; SCR-118 Связанные Task/Project/File; SCR-119 Контекстное меню CRM,FLOW-018 Создание контакта,Boundary/contract UI,implementation_matrix.csv wave-b.csv:70 Source='DEC-036/037/041'; traceability 4.5 DATA-012 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement.,Sources name module operations without an operationId; the DTO field contract is enforced by the module AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:71,PERM-012,PERM,MOD-012,Права модуля: capabilities и scopes по OpenAPI,unresolved,,,,,,SCR-110 Контакты и компании: список; SCR-111 Карточка контакта; SCR-112 Редактор контакта; SCR-113 Карточка компании; SCR-114 Редактор компании; SCR-115 Каналы связи и адреса; SCR-118 Связанные Task/Project/File; SCR-119 Контекстное меню CRM,FLOW-018 Создание контакта,Security/authorization,implementation_matrix.csv wave-b.csv:71 Source='DEC-004/030; OpenAPI'; traceability 4.5 PERM-012 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement.,Sources name module operations without an operationId; the permission set is enforced by the module Permission-denial AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:72,ERR-012,ERR,MOD-012,"Ошибки модуля: стабильные коды, HTTP-статусы и recovery по OpenAPI",unresolved,,,,,,SCR-110 Контакты и компании: список; SCR-111 Карточка контакта; SCR-112 Редактор контакта; SCR-113 Карточка компании; SCR-114 Редактор компании; SCR-115 Каналы связи и адреса; SCR-118 Связанные Task/Project/File; SCR-119 Контекстное меню CRM,FLOW-018 Создание контакта,Error handling,implementation_matrix.csv wave-b.csv:72 Source='errors.csv; State Matrix'; traceability 4.5 ERR-012 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement.,Sources name module operations without an operationId; stable error handling is enforced by the module AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:74,AUDIT-012,AUDIT,MOD-012,"Аудит и история действий модуля (append-only, redaction-aware)",unresolved,,,,,,SCR-110 Контакты и компании: список; SCR-111 Карточка контакта; SCR-112 Редактор контакта; SCR-113 Карточка компании; SCR-114 Редактор компании; SCR-115 Каналы связи и адреса; SCR-118 Связанные Task/Project/File; SCR-119 Контекстное меню CRM,FLOW-018 Создание контакта,Audit/security,implementation_matrix.csv wave-b.csv:74 Source='Architecture audit principles; OpenAPI side effects'; traceability 4.5 AUDIT-012 API cell='Domain command + audit/history endpoints'; openapi.yaml contains no operationId for this requirement.,Sources name domain command + audit/history endpoints without an operationId; audit evidence is enforced by the module AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:101,DATA-013,DATA,MOD-013,Данные модуля: DTO/агрегаты и их поля по OpenAPI,unresolved,,,,,,"SCR-035 Комментарии объекта; SCR-067 Проект: комментарии; SCR-116 Interaction timeline; SCR-117 PII policy, object links; SCR-202 Общие comments; SCR-203 Связи и tags",FLOW-037 Создать Interaction,Boundary/contract UI,implementation_matrix.csv wave-b.csv:101 Source='DEC-036/037/041'; traceability 4.5 DATA-013 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement.,Sources name module operations without an operationId; the DTO field contract is enforced by the module AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:102,PERM-013,PERM,MOD-013,Права модуля: capabilities и scopes по OpenAPI,unresolved,,,,,,"SCR-035 Комментарии объекта; SCR-067 Проект: комментарии; SCR-116 Interaction timeline; SCR-117 PII policy, object links; SCR-202 Общие comments; SCR-203 Связи и tags",FLOW-037 Создать Interaction,Security/authorization,implementation_matrix.csv wave-b.csv:102 Source='DEC-004/030; OpenAPI'; traceability 4.5 PERM-013 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement.,Sources name module operations without an operationId; the permission set is enforced by the module Permission-denial AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:103,ERR-013,ERR,MOD-013,"Ошибки модуля: стабильные коды, HTTP-статусы и recovery по OpenAPI",unresolved,,,,,,"SCR-035 Комментарии объекта; SCR-067 Проект: комментарии; SCR-116 Interaction timeline; SCR-117 PII policy, object links; SCR-202 Общие comments; SCR-203 Связи и tags",FLOW-037 Создать Interaction,Error handling,implementation_matrix.csv wave-b.csv:103 Source='errors.csv; State Matrix'; traceability 4.5 ERR-013 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement.,Sources name module operations without an operationId; stable error handling is enforced by the module AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:105,AUDIT-013,AUDIT,MOD-013,"Аудит и история действий модуля (append-only, redaction-aware)",unresolved,,,,,,"SCR-035 Комментарии объекта; SCR-067 Проект: комментарии; SCR-116 Interaction timeline; SCR-117 PII policy, object links; SCR-202 Общие comments; SCR-203 Связи и tags",FLOW-037 Создать Interaction,Audit/security,implementation_matrix.csv wave-b.csv:105 Source='Architecture audit principles; OpenAPI side effects'; traceability 4.5 AUDIT-013 API cell='Domain command + audit/history endpoints'; openapi.yaml contains no operationId for this requirement.,Sources name domain command + audit/history endpoints without an operationId; audit evidence is enforced by the module AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:135,DATA-021,DATA,MOD-021,Данные модуля: DTO/агрегаты и их поля по OpenAPI,unresolved,,,,,,"SCR-036 История объекта; SCR-068 Проект: история; SCR-172 Карточка пользователя; SCR-186 Audit; SCR-201 ETag/If-Match, task aggregate, directory",FLOW-025 Optimistic conflict; FLOW-029 Блокировка пользователя; FLOW-030 Изменение permissions,Boundary/contract UI,implementation_matrix.csv wave-b.csv:135 Source='DEC-036/037/041'; traceability 4.5 DATA-021 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement.,Sources name module operations without an operationId; the DTO field contract is enforced by the module AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:136,PERM-021,PERM,MOD-021,Права модуля: capabilities и scopes по OpenAPI,unresolved,,,,,,"SCR-036 История объекта; SCR-068 Проект: история; SCR-172 Карточка пользователя; SCR-186 Audit; SCR-201 ETag/If-Match, task aggregate, directory",FLOW-025 Optimistic conflict; FLOW-029 Блокировка пользователя; FLOW-030 Изменение permissions,Security/authorization,implementation_matrix.csv wave-b.csv:136 Source='DEC-004/030; OpenAPI'; traceability 4.5 PERM-021 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement.,Sources name module operations without an operationId; the permission set is enforced by the module Permission-denial AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:137,ERR-021,ERR,MOD-021,"Ошибки модуля: стабильные коды, HTTP-статусы и recovery по OpenAPI",unresolved,,,,,,"SCR-036 История объекта; SCR-068 Проект: история; SCR-172 Карточка пользователя; SCR-186 Audit; SCR-201 ETag/If-Match, task aggregate, directory",FLOW-025 Optimistic conflict; FLOW-029 Блокировка пользователя; FLOW-030 Изменение permissions,Error handling,implementation_matrix.csv wave-b.csv:137 Source='errors.csv; State Matrix'; traceability 4.5 ERR-021 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement.,Sources name module operations without an operationId; stable error handling is enforced by the module AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:139,AUDIT-021,AUDIT,MOD-021,"Аудит и история действий модуля (append-only, redaction-aware)",unresolved,,,,,,"SCR-036 История объекта; SCR-068 Проект: история; SCR-172 Карточка пользователя; SCR-186 Audit; SCR-201 ETag/If-Match, task aggregate, directory",FLOW-025 Optimistic conflict; FLOW-029 Блокировка пользователя; FLOW-030 Изменение permissions,Audit/security,implementation_matrix.csv wave-b.csv:139 Source='Architecture audit principles; OpenAPI side effects'; traceability 4.5 AUDIT-021 API cell='Domain command + audit/history endpoints'; openapi.yaml contains no operationId for this requirement.,Sources name domain command + audit/history endpoints without an operationId; audit evidence is enforced by the module AC rows (resolved individually); no confirmed API link for the module-level row.
wave-b.csv:264,AC-1587,AC,MOD-010,[STATE-007] Field contract: ProjectCreate.name respects type/required/nullable/limits/PATCH semantics,resolved,POST_api_v1_projects,POST,/api/v1/projects,Project.Create,Task.Application.MOD-010.POST_api_v1_projectsHandler,SCR-060 Проекты: список; SCR-061 Проект: обзор; SCR-062 Проект: задачи; SCR-063 Проект: календарь; SCR-064 Проект: участники; SCR-065 Проект: файлы; SCR-066 Проект: контакты; SCR-067 Проект: комментарии; SCR-068 Проект: история; SCR-069 Проект: настройки; SCR-070 Создать/редактировать проект; SCR-071 Project role/overrides; SCR-072 Lifecycle проекта,FLOW-013 Создание проекта; FLOW-014 Добавление участника; FLOW-035 Завершение и архивирование проекта,Boundary/contract UI,implementation_matrix.csv wave-b.csv:264 Source='dto_field_catalog.csv:ProjectCreate.name; openapi.yaml operation POST_api_v1_projects'; openapi.yaml operationId POST_api_v1_projects = POST /api/v1/projects; traceability 4.5 FR-084 Permission=Project.Create,Source field of the matrix row confirms operationId POST_api_v1_projects; method and path verified in openapi.yaml; permission confirmed via traceability FR-084.
