"FLOW ID","Flow","Scenario group","Roles","Permission","API","Outcome","SCR references","STATE references","Modules","Shared components","Mapping basis","Priority","Required design evidence","Inventory status"
"FLOW-001","Первый вход","Auth & bootstrap","Все роли","Anonymous → Authenticated → Sync.Read","auth/login; system/version; capabilities; sync/bootstrap/changes/ack; realtime/negotiate","Active session, authorized cache, Today","SCR-001; SCR-002; SCR-003; SCR-004; SCR-007","","Auth; Shell; Sync","CommandBar; ConnectionStatus; ConnectivityBanner; DialogShell; ErrorMessage; FieldLabel; FileLocationView; FocusTrap; FormLayout; LoadingState; NavigationRail; PageLayout; Pagination; ProfileMenu; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; ValidationMessage","Stage 3 section + Stage 5 cross-source mapping","P0","Interactive prototype + keyboard walkthrough","Mapped"
"FLOW-002","Обычный вход","Auth & bootstrap","Все роли","Authenticated; Sync.Read","auth/refresh; auth/session; sync/changes/ack","Shell restored without stale unauthorized data","SCR-001; SCR-003; SCR-004","","Auth; Shell; Sync","CommandBar; ConnectionStatus; ConnectivityBanner; ErrorMessage; FieldLabel; FileLocationView; FormLayout; LoadingState; NavigationRail; PageLayout; Pagination; ProfileMenu; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; ValidationMessage","Stage 5 cross-source mapping","P0","Interactive prototype + keyboard walkthrough","Mapped"
"FLOW-003","Истечение сессии","Auth & bootstrap","Все роли","Authenticated","auth/refresh; auth/session; logout","Secure return to login","SCR-001; SCR-006","","Auth","ConnectivityBanner; DialogShell; ErrorMessage; FocusTrap; LoadingState; PageLayout; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; RetryAction; SurfaceTitle","Stage 3 section + Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-004","Создание задачи","Task management","Admin/Manager/Employee with capability","Task.Create + related capabilities","POST /tasks + optional related endpoints","Versioned Task created","SCR-023; SCR-024; SCR-028; SCR-029","","Tasks","CommentThread; ConflictNotice; ConnectivityBanner; DataList; DateTimePicker; DialogShell; ErrorMessage; FieldLabel; FileLocationView; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; UrgencyIndicator; ValidationMessage","Stage 5 cross-source mapping","P0","Interactive prototype + keyboard walkthrough","Mapped"
"FLOW-005","Быстрое создание задачи","Task management","Admin/Manager/Employee","Task.Create","POST /tasks","Minimal valid task","SCR-008; SCR-022; SCR-024","","Shell; Tasks","CommentThread; ConflictNotice; ConnectivityBanner; DataList; DateTimePicker; DialogShell; ErrorMessage; FieldLabel; FileLocationView; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; PopoverSurface; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; UrgencyIndicator; ValidationMessage","Stage 5 cross-source mapping","P0","Interactive prototype + keyboard walkthrough","Mapped"
"FLOW-006","Назначение исполнителя","Task management","Task editor with permission","Task.Assign","PUT /tasks/{id}/assignees","Authoritative assignment","SCR-024; SCR-025; SCR-029","","Tasks","CommentThread; ConflictNotice; ConnectivityBanner; DataList; DateTimePicker; DialogShell; ErrorMessage; FieldLabel; FileLocationView; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; UrgencyIndicator; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-007","Завершение задачи","Task management","Assignee/Manager/Admin with capability","Task.ChangeStatus","POST /tasks/{id}/transition; notification action","Business completion, active lifecycle","SCR-010; SCR-020; SCR-024; SCR-025; SCR-034","","Tasks; Today","CommentThread; ConflictNotice; ConnectivityBanner; ContextMenu; DataList; EmptyState; ErrorMessage; FieldLabel; FileLocationView; FilterBar; FormLayout; InspectorPanel; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SelectionBar; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; TreeView; UrgencyIndicator; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-008","Изменение статуса","Task management","Allowed editor","Task.ChangeStatus","POST /tasks/{id}/transition","Status changed without overwriting fields","SCR-020; SCR-024; SCR-025; SCR-034","","Tasks","CommentThread; ConflictNotice; ConnectivityBanner; ContextMenu; DataList; EmptyState; ErrorMessage; FieldLabel; FileLocationView; FilterBar; FormLayout; InspectorPanel; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SelectionBar; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; TreeView; UrgencyIndicator; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-009","Создание подзадачи","Task management","Task editor","Task.Create/Task.Update","POST /tasks","One-level child Task","SCR-023; SCR-024; SCR-033","","Tasks","CommentThread; ConflictNotice; ConnectivityBanner; DataList; DialogShell; FieldLabel; FileLocationView; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; UrgencyIndicator; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
"FLOW-010","Повторяющаяся задача","Task management","Allowed editor","Task.ManageRecurrence","POST /recurrence-series; POST preview","Active series + deterministic occurrences","SCR-023; SCR-024; SCR-026","","Tasks","CommentThread; ConflictNotice; ConnectivityBanner; DataList; DateTimePicker; DialogShell; ErrorMessage; FieldLabel; FileLocationView; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; UrgencyIndicator; ValidationMessage","Stage 5 cross-source mapping","P1","Annotated storyboard or module prototype","Mapped"
