AC ID,Module,FR/BR,Primary owner,Related FR,Owner evidence,Scenario,Priority,Test type,Source,Gherkin
AC-001,ALL,BR-001;FR-008;FR-233;FR-234,BR-001,FR-008;FR-233;FR-234,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-001.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить правило: Организация одна; каждая общая запись ограничена organization boundary.,High,Integration/contract,Концепция §3.1; Архитектура A1-11,"Given применимый модуль и authoritative server state, actor и данные удовлетворяют предусловиям BR-001
When выполняется сценарий «Организация одна; каждая общая запись ограничена organization boundary.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-002,ALL,BR-002;FR-003;FR-221;FR-222;FR-223;FR-224;FR-275;FR-277,BR-002,FR-003;FR-221;FR-222;FR-223;FR-224;FR-275;FR-277,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-002.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,"Проверить правило: UserAccount отвечает за аутентификацию, EmployeeProfile — за рабочий профиль.",High,Integration/contract,Stage 2.3.1 C-03,"Given применимый модуль и authoritative server state, actor и данные удовлетворяют предусловиям BR-002
When выполняется сценарий «UserAccount отвечает за аутентификацию, EmployeeProfile — за рабочий профиль.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-003,ALL,BR-003;FR-231;FR-232;FR-233;FR-234;FR-260;FR-266;FR-267,BR-003,FR-231;FR-232;FR-233;FR-234;FR-260;FR-266;FR-267,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-003.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить правило: Сервер является единственным источником истины; локальный cache disposable и read-only при outage.,High,Integration/contract,Архитектура A1-01/A1-03; DEC-006,"Given применимый модуль и authoritative server state, сохранён draft и известны connection/version state для BR-003
When выполняется сценарий «Сервер является единственным источником истины; локальный cache disposable и read-only при outage.»
Then неподтверждённая запись не считается успешной, offline write queue и blind overwrite не используются
And draft сохраняется; UI предлагает contract-backed refresh/retry/recovery с точным state/error"
AC-004,ALL,BR-004;FR-210;FR-228,BR-004,FR-210;FR-228,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-004.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,"Проверить правило: Любое действие разрешается сервером по RBAC/ReBAC/ABAC, explicit deny сильнее allow, default deny.",Critical,Integration/contract,ADR-002; DEC-004,"Given применимый модуль и authoritative server state, actor и данные удовлетворяют предусловиям BR-004
When выполняется сценарий «Любое действие разрешается сервером по RBAC/ReBAC/ABAC, explicit deny сильнее allow, default deny.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-005,ALL,BR-005;FR-029;FR-032;FR-038;FR-166;FR-168,BR-005,FR-029;FR-032;FR-038;FR-166;FR-168,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-005.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,"[Trashed (Stage 3.5 State Matrix)] Проверить правило: Business status, derived state, archive, trash и UI state не смешиваются.",High,Integration/contract,DEC-005,"Given применимый модуль и authoritative server state, actor и данные удовлетворяют предусловиям BR-005
When выполняется сценарий «[Trashed (Stage 3.5 State Matrix)] Проверить правило: Business status, derived state, archive, trash и UI state не смешиваются.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-006,ALL,BR-006;FR-166;FR-167;FR-168;FR-169;FR-170;FR-262,BR-006,FR-166;FR-167;FR-168;FR-169;FR-170;FR-262,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-006.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,[Trashed (Stage 3.5 State Matrix)] Проверить правило: Archived object по умолчанию read-only; Trashed object доступен только для restore/purge.,High,Integration/contract,ADR-011; DEC-023,"Given применимый модуль и authoritative server state, сохранён draft и известны connection/version state для BR-006
When выполняется сценарий «[Trashed (Stage 3.5 State Matrix)] Проверить правило: Archived object по умолчанию read-only; Trashed object доступен только для restore/purge.»
Then неподтверждённая запись не считается успешной, offline write queue и blind overwrite не используются
And draft сохраняется; UI предлагает contract-backed refresh/retry/recovery с точным state/error"
AC-007,ALL,BR-007;FR-099;FR-169;FR-263,BR-007,FR-099;FR-169;FR-263,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-007.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить правило: Удаление metadata рабочего файла не удаляет физический файл.,Critical,Integration/contract,Концепция §22.2; DEC-018,"Given применимый модуль и authoritative server state, actor и данные удовлетворяют предусловиям BR-007
When выполняется сценарий «Удаление metadata рабочего файла не удаляет физический файл.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-008,ALL,BR-008;FR-103;FR-108;FR-112;FR-256;FR-257,BR-008,FR-103;FR-108;FR-112;FR-256;FR-257,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=High; verification AC=AC-008.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить правило: Физический доступ к файлу определяется Windows/SMB ACL после metadata permission.,Critical,Integration/contract,Архитектура A1-06; GAP-004,"Given применимый модуль и authoritative server state, actor и данные удовлетворяют предусловиям BR-008
When выполняется сценарий «Физический доступ к файлу определяется Windows/SMB ACL после metadata permission.»
Then наблюдаемый server/UI результат в точности реализует указанное правило без дополнительной несовместимой интерпретации
And нарушение правила отклоняется без неавторизованного side effect или раскрытия данных"
AC-009,ALL,BR-009;FR-031;FR-087;FR-172;FR-174;FR-176;FR-271,BR-009,FR-031;FR-087;FR-172;FR-174;FR-176;FR-271,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-009.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,[STATE-014/STATE-025] Проверить правило: Versioned write требует If-Match; stale version не перезаписывается молча.,Critical,Integration/contract,ADR-004; DEC-038,"Given применимый модуль и authoritative server state, сохранён draft и известны connection/version state для BR-009
When выполняется сценарий «[STATE-014/STATE-025] Проверить правило: Versioned write требует If-Match; stale version не перезаписывается молча.»
Then неподтверждённая запись не считается успешной, offline write queue и blind overwrite не используются
And draft сохраняется; UI предлагает contract-backed refresh/retry/recovery с точным state/error"
AC-010,ALL,BR-010;FR-019;FR-027;FR-084;FR-232;FR-271,BR-010,FR-019;FR-027;FR-084;FR-232;FR-271,Primary BR owner; validated through BR catalog Related FR (curated_rule_to_existing_fr_semantic_match; confidence=Medium; verification AC=AC-010.). Integration justification: one BR/DATA contract is parameterized over the finite listed FR instances with the same expected result.,Проверить правило: Safe retry допускается только для safe/idempotent operation с сохранением request hash/key.,High,Integration/contract,Stage 2.3.1 idempotency,"Given применимый модуль и authoritative server state, сохранён draft и известны connection/version state для BR-010
When выполняется сценарий «Safe retry допускается только для safe/idempotent operation с сохранением request hash/key.»
Then неподтверждённая запись не считается успешной, offline write queue и blind overwrite не используются
And draft сохраняется; UI предлагает contract-backed refresh/retry/recovery с точным state/error"
