Operation ID,In candidate,FR evidence,AC evidence,Audit result
DELETE_api_v1_calendar_events_id,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_catalog_items_id,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_catalog_items_id_locations_locationId,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_companies_id,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_companies_id_contacts_contactId,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_contacts_id,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_contacts_id_channels_channelId,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_departments_id,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_inbox_items_id,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_interactions_id,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_objects_objectId_comments_id,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_objects_objectId_links_linkId,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_projects_id,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_projects_id_members_userId,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_recurrence_series_id,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_reminders_id,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_roles_id,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_tags_id,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_tasks_id,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_tasks_id_dependencies_dependencyId,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_tasks_taskId_checklists_checklistId_items_itemId,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_tasks_taskId_checklists_id,Yes,Present,Candidate traceability/AC catalog,Pass
DELETE_api_v1_trash_objectId,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_admin_backups,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_admin_jobs,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_admin_jobs_code_runs,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_admin_server_capabilities,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_admin_storage,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_archive,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_audit,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_audit_export,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_auth_login_attempts,Yes,Present,Candidate traceability/AC catalog,Pass
GET_api_v1_auth_session,Yes,Present,Candidate traceability/AC catalog,Pass
