event,source,payload,publication,delivery,replay,retention,consumers
AllSessionsRevoked,auth,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
AuditExportRequested,audit,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
AuthorizationScopeChanged,worker/system,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
BackgroundJobRequested,admin,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
BackupCompleted,worker/system,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
BackupFailed,worker/system,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
BackupRequested,admin,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
BackupVerificationRequested,admin,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CalendarAttendeesChanged,calendar,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CalendarEventArchived,calendar,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CalendarEventCreated,calendar,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CalendarEventDeleted,calendar,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CalendarEventRestored,calendar,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CalendarEventUnarchived,calendar,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CalendarEventUpdated,calendar,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CalendarInvitationResponded,calendar,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CatalogItemArchived,files,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CatalogItemCreated,files,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CatalogItemDeleted,files,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CatalogItemMoved,files,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CatalogItemRestored,files,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CatalogItemUnarchived,files,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CatalogItemUpdated,files,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ChangeFeedCompactionRequested,admin,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ChecklistCreated,checklists,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ChecklistDeleted,checklists,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ChecklistItemChanged,checklists,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ChecklistItemCreated,checklists,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ChecklistItemDeleted,checklists,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ChecklistReordered,checklists,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ChecklistUpdated,checklists,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ClientVersionRejected,worker/system,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CommentAdded,comments,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CommentDeleted,comments,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CommentEdited,comments,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CommentRestored,comments,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CompanyArchived,companies,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CompanyContactLinked,companies,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CompanyContactUnlinked,companies,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CompanyCreated,companies,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CompanyDeleted,companies,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CompanyRestored,companies,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CompanyUnarchived,companies,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
CompanyUpdated,companies,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ContactAddressAdded,contacts,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ContactArchived,contacts,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ContactChannelAdded,contacts,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ContactChannelChanged,contacts,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ContactChannelDeleted,contacts,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ContactCreated,contacts,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ContactDeleted,contacts,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ContactRestored,contacts,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ContactUnarchived,contacts,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
ContactUpdated,contacts,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
DepartmentArchived,departments,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
DepartmentCreated,departments,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
DepartmentDeleted,departments,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
DepartmentManagersChanged,departments,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
DepartmentRestored,departments,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
DepartmentUnarchived,departments,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
DepartmentUpdated,departments,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
DeviceRevoked,devices,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
DeviceUpdated,devices,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
FeatureFlagChanged,admin,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
FileLocationAdded,files,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
FileLocationAvailabilityChanged,worker/system,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
FileLocationChanged,files,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
FileLocationChecked,files,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
FileLocationRemoved,files,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
FileOpenRequested,files,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
InboxItemConvertedToCatalog,inbox,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
InboxItemConvertedToTask,inbox,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
InboxItemCreated,inbox,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
InboxItemDeleted,inbox,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
InboxItemRestored,inbox,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
InboxItemUpdated,inbox,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
InteractionCreated,interactions,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
InteractionDeleted,interactions,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
InteractionParticipantsChanged,interactions,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
InteractionRestored,interactions,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
InteractionUpdated,interactions,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
MaintenanceModeChanged,admin,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
NetworkResourceChanged,files,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
NetworkResourceCreated,files,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
NetworkResourceProbed,files,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
NotificationActionExecuted,notifications,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
NotificationDelivered,worker/system,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
NotificationDeliveryRequested,worker/system,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
NotificationPreferencesChanged,notifications,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
NotificationRead,notifications,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
NotificationsRead,notifications,"eventId, organizationId, aggregateId, aggregateType, aggregateVersion, occurredAt, actorId, correlationId, changedFields/minimal metadata",after DB commit via outbox,at-least-once,yes; eventId/inbox unique,90 days domain / 30 days delivered outbox,change-feed projector; audit/history; notification/search/realtime as applicable
