schema,field_path,type,format,required,nullable,enum,default,minimum,maximum,min_length,max_length,min_items,max_items,unique_items,read_only,write_only,referenced_schema,date_time_semantics,patch_semantics,version_semantics,lifecycle_semantics,capability_semantics,partial_access,redaction,description,validation_rules
ActionResult,operationId,string,uuid,True,False,,,,,,,,,,False,False,,,,,,,False,,,
ActionResult,status,string,,True,False,"[""accepted"", ""completed"", ""rejected""]",,,,,,,,,False,False,,,,,canonical lifecycle/status literal,,False,,,
ActionResult,resourceId,string|null,uuid,False,True,,,,,,,,,,False,False,,,,,,,False,,,
ActivationRequest,expectedVersion,integer,int64,True,False,,,1,,,,,,,False,False,,,,aggregate version or expected version,,,False,,,minimum=1
Address,id,string,uuid,True,False,,,,,,,,,,True,False,,,,,,,False,,,
Address,organizationId,string,uuid,True,False,,,,,,,,,,True,False,,,,,,,False,,,
Address,version,integer,int64,True,False,,,1,,,,,,,True,False,,,,aggregate version or expected version,,,False,,,minimum=1
Address,createdAt,string,date-time,False,False,,,,,,,,,,True,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
Address,updatedAt,string,date-time,False,False,,,,,,,,,,True,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
Address,ownerObjectId,string,uuid,True,False,,,,,,,,,,False,False,,,,,,,False,,,
Address,addressType,string,,True,False,"[""work"", ""legal"", ""postal"", ""other""]",,,,,,,,,False,False,,,,,,,False,,,
Address,countryCode,string|null,,False,True,,,,,2,2,,,,False,False,,,,,,,False,,,minLength=2; maxLength=2
Address,region,string|null,,False,True,,,,,,200,,,,False,False,,,,,,,False,,,maxLength=200
Address,city,string|null,,False,True,,,,,,200,,,,False,False,,,,,,,False,,,maxLength=200
Address,street,string|null,,False,True,,,,,,500,,,,False,False,,,,,,,False,,,maxLength=500
Address,postalCode,string|null,,False,True,,,,,,40,,,,False,False,,,,,,,False,,,maxLength=40
Address,formattedAddress,string,,True,False,,,,,1,1000,,,,False,False,,,,,,,False,,,minLength=1; maxLength=1000
Address,isPrimary,boolean,,True,False,,,,,,,,,,False,False,,,,,,,False,,,
AddressCreate,ownerObjectId,string,uuid,False,False,,,,,,,,,,False,False,,,,,,,False,,,
AddressCreate,addressType,string,,True,False,"[""work"", ""legal"", ""postal"", ""other""]",,,,,,,,,False,False,,,,,,,False,,,
AddressCreate,countryCode,string|null,,False,True,,,,,2,2,,,,False,False,,,,,,,False,,,minLength=2; maxLength=2
AddressCreate,region,string|null,,False,True,,,,,,200,,,,False,False,,,,,,,False,,,maxLength=200
AddressCreate,city,string|null,,False,True,,,,,,200,,,,False,False,,,,,,,False,,,maxLength=200
AddressCreate,street,string|null,,False,True,,,,,,500,,,,False,False,,,,,,,False,,,maxLength=500
AddressCreate,postalCode,string|null,,False,True,,,,,,40,,,,False,False,,,,,,,False,,,maxLength=40
AddressCreate,formattedAddress,string,,True,False,,,,,1,1000,,,,False,False,,,,,,,False,,,minLength=1; maxLength=1000
AddressCreate,isPrimary,boolean,,False,False,,,,,,,,,,False,False,,,,,,,False,,,
AdminResetPasswordRequest,targetUserId,string,uuid,True,False,,,,,,,,,,False,False,,,,,,,False,,,
AdminResetPasswordRequest,temporaryPassword,string,,True,False,,,,,12,1024,,,,False,True,,,,,,,False,,,minLength=12; maxLength=1024
AdminResetPasswordRequest,expectedVersion,integer,int64,True,False,,,1,,,,,,,False,False,,,,aggregate version or expected version,,,False,,,minimum=1
ArchiveEntry,object,ref,,True,False,,,,,,,,,,False,False,ObjectReference,,,,,,False,,,
ArchiveEntry,archivedBy,string,uuid,True,False,,,,,,,,,,False,False,,,,,,,False,,,
ArchiveEntry,archivedAt,string,date-time,True,False,,,,,,,,,,False,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
ArchiveEntry,reason,string|null,,False,True,,,,,,2000,,,,False,False,,,,,,,False,,,maxLength=2000
ArchiveEntry,status,string,,True,False,"[""archived"", ""restored""]",,,,,,,,,False,False,,,,,canonical lifecycle/status literal,,False,,,
ArchiveEntryPage,items,array,,True,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
ArchiveEntryPage,nextCursor,string|null,,False,True,,,,,,512,,,,False,False,,,,,,,False,,,maxLength=512
ArchiveEntryPage,total,integer|null,int64,False,True,,,0,,,,,,,False,False,,,,,,,False,,,minimum=0
ArchiveRequest,reason,string|null,,False,True,,,,,,2000,,,,False,False,,,,,,,False,,,maxLength=2000
AttendeeResponse,responseStatus,string,,True,False,"[""accepted"", ""declined"", ""tentative""]",,,,,,,,,False,False,,,,,,,False,,,
AttendeeResponse,expectedAttendeeVersion,integer,int64,True,False,,,1,,,,,,,False,False,,,,aggregate version or expected version,,,False,,,minimum=1
AttendeesReplace,users,array,,True,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
AttendeesReplace,contacts,array,,True,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
AuditEntry,id,string,uuid,True,False,,,,,,,,,,False,False,,,,,,,False,,,
AuditEntry,occurredAt,string,date-time,True,False,,,,,,,,,,False,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
AuditEntry,actorUserId,string|null,uuid,False,True,,,,,,,,,,False,False,,,,,,,False,,,
AuditEntry,actionCode,string,,True,False,,,,,1,100,,,,False,False,,,,,,,False,,,minLength=1; maxLength=100
AuditEntry,objectId,string|null,uuid,False,True,,,,,,,,,,False,False,,,,,,,False,,,
AuditEntry,outcome,string,,True,False,"[""success"", ""denied"", ""failure""]",,,,,,,,,False,False,,,,,,,False,,,
AuditEntry,reasonCode,string|null,,False,True,,,,,,100,,,,False,False,,,,,,,False,,,maxLength=100
AuditEntry,correlationId,string,uuid,True,False,,,,,,,,,,False,False,,,,,,,False,,,
AuditEntryPage,items,array,,True,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
AuditEntryPage,nextCursor,string|null,,False,True,,,,,,512,,,,False,False,,,,,,,False,,,maxLength=512
AuditEntryPage,total,integer|null,int64,False,True,,,0,,,,,,,False,False,,,,,,,False,,,minimum=0
BackgroundJob,id,string,uuid,True,False,,,,,,,,,,False,False,,,,,,,False,,,
BackgroundJob,jobCode,string,,True,False,,,,,1,100,,,,False,False,,,,,,,False,,,minLength=1; maxLength=100
BackgroundJob,scheduleKind,string,,True,False,"[""cron"", ""interval"", ""event"", ""continuous""]",,,,,,,,,False,False,,,,,,,False,,,
BackgroundJob,scheduleExpression,string|null,,False,True,,,,,,500,,,,False,False,,,,,,,False,,,maxLength=500
BackgroundJob,enabled,boolean,,True,False,,,,,,,,,,False,False,,,,,,,False,,,
BackgroundJob,maxParallelism,integer,int32,True,False,,,1,32,,,,,,False,False,,,,,,,False,,,minimum=1; maximum=32
BackgroundJob,maxAttempts,integer,int32,True,False,,,1,50,,,,,,False,False,,,,,,,False,,,minimum=1; maximum=50
BackgroundJob,timeoutSeconds,integer,int32,True,False,,,1,86400,,,,,,False,False,,,,,,,False,,,minimum=1; maximum=86400
BackgroundJob,version,integer,int64,True,False,,,1,,,,,,,False,False,,,,aggregate version or expected version,,,False,,,minimum=1
BackgroundJobPage,items,array,,True,False,,,,,,,,500,,False,False,,,,,,,False,,,maxItems=500
BackgroundJobPage,nextCursor,string|null,,False,True,,,,,,512,,,,False,False,,,,,,,False,,,maxLength=512
BackgroundJobPage,total,integer|null,int64,False,True,,,0,,,,,,,False,False,,,,,,,False,,,minimum=0
BackgroundJobRun,id,string,uuid,True,False,,,,,,,,,,True,False,,,,,,,False,,,
BackgroundJobRun,organizationId,string,uuid,True,False,,,,,,,,,,True,False,,,,,,,False,,,
BackgroundJobRun,version,integer,int64,True,False,,,1,,,,,,,True,False,,,,aggregate version or expected version,,,False,,,minimum=1
BackgroundJobRun,createdAt,string,date-time,False,False,,,,,,,,,,True,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
BackgroundJobRun,updatedAt,string,date-time,False,False,,,,,,,,,,True,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
BackgroundJobRun,jobCode,string,,True,False,,,,,1,100,,,,False,False,,,,,,,False,,,minLength=1; maxLength=100
BackgroundJobRun,status,string,,True,False,"[""queued"", ""running"", ""succeeded"", ""failed"", ""dead_letter"", ""cancelled""]",,,,,,,,,False,False,,,,,canonical lifecycle/status literal,,False,,,
BackgroundJobRun,attempt,integer,int32,True,False,,,0,,,,,,,False,False,,,,,,,False,,,minimum=0
BackgroundJobRun,scheduledAt,string,date-time,True,False,,,,,,,,,,False,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
BackgroundJobRun,startedAt,string|null,date-time,False,True,,,,,,,,,,False,False,,RFC 3339 instant; UTC on the wire; preserve the instant when rendering in a user time zone,,,,,False,,RFC 3339 instant. Serialize in UTC with an explicit Z offset; render in the applicable user or object time zone.,
