"Backlog ID","Module","SCR IDs","Surface / deliverable","Priority","Normative role/capability","FLOW IDs","STATE / error references","Required variants","Reusable components","NFR references","Prototype storyboard","Evidence status"
"WC-SEARCH-01","Search","SCR-133","Global search command surface","P0","All roles with Search.Use","FLOW-019","Loading; Empty; FilteredEmpty; PartialAccess; Forbidden; ObjectUnavailable; OfflinePartial; SEARCH_CURSOR_INVALID; SEARCH_CURSOR_EXPIRED; VALIDATION_FAILED","default; typing; loading; suggestions; zero-result; filtered-empty; cursor restart; partial/redacted; forbidden; offline cache-only; long query; large result set","SearchBox; DataList; Pagination; LoadingState; EmptyState; ErrorMessage; PermissionState; RedactionMarker; ConnectivityBanner; ReadOnlyBanner; RetryAction","NFR-002; NFR-003; NFR-004; NFR-005; NFR-008; NFR-023; NFR-025","SB-01","Pending visual frame/storyboard"
"WC-SEARCH-02","Search","SCR-134; SCR-135; SCR-136","Full results, filter panel and partial/offline banner","P0","All roles with Search.Use; server filtering authoritative","FLOW-019","Loading; FilteredEmpty; PartialAccess; Forbidden; ObjectUnavailable; OfflinePartial; SEARCH_CURSOR_INVALID; SEARCH_CURSOR_EXPIRED; SYNC_SCOPE_CHANGED; TIMEOUT","default; active filters; invalid filters; reset; page forward; cursor expired restart; partial/redacted; unavailable target; offline; reconnect; large grouped list","FilterBar; SearchBox; DataList; Pagination; EmptyState; ValidationMessage; RedactionMarker; PermissionState; ConnectivityBanner; ReadOnlyBanner; RetryAction","NFR-002; NFR-003; NFR-004; NFR-005; NFR-006; NFR-008; NFR-023; NFR-025","SB-02","Pending visual frame/storyboard"
"WC-LIFE-01","Archive","SCR-140","Archive list and read-only lifecycle","P0","Object lifecycle capability; History.Read; Archive.Restore","FLOW-035","Empty; PartialAccess; ServerUnavailable; Archived; Forbidden; ObjectUnavailable","default; loading; empty; partial; archived/read-only; restore available; forbidden; offline/reconnect; long history; large list","DataList; FilterBar; LifecycleBanner; ReadOnlyBanner; EmptyState; PermissionState; ConnectivityBanner; RetryAction; TimelineHistory","NFR-002; NFR-003; NFR-004; NFR-005; NFR-006; NFR-025","SB-03","Pending visual frame/storyboard"
"WC-LIFE-02","Trash","SCR-141; SCR-142; SCR-143","Trash, restore conflict and irreversible purge","P0","Trash.Read; Trash.Restore; Archive.Restore; Trash.Purge","FLOW-035","Empty; Trashed; NameConflict; ParentUnavailable; RetentionBlocked; Conflict; Forbidden; OBJECT_DELETED; DUPLICATE_RESOURCE; INVALID_STATE_TRANSITION","default; loading; empty; tombstone; restore; duplicate-name; parent unavailable; legal hold/retention blocked; type-to-confirm purge; conflict; forbidden; large list","DataList; LifecycleBanner; ReadOnlyBanner; DialogShell; FocusTrap; ConflictNotice; PermissionState; SemanticStatus; ErrorMessage; TimelineHistory","NFR-002; NFR-003; NFR-004; NFR-005; NFR-025","SB-04","Pending visual frame/storyboard"
"WC-SET-01","Settings","SCR-150","Settings shell and scope-labelled sections","P0","Settings.ReadOwn; org/admin only by capability","","Loading; Forbidden; Conflict; ServerUnavailable","default; navigation; server-managed lock; offline read-only; save conflict; forbidden; reconnect; long RU labels","NavigationRail; CommandBar; FormLayout; FieldLabel; PermissionState; ReadOnlyBanner; ConnectivityBanner; ConflictNotice; ValidationMessage","NFR-002; NFR-003; NFR-004; NFR-005","SB-05","Pending visual frame/storyboard"
"WC-SET-02","Settings","SCR-151; SCR-152; SCR-153; SCR-154","Profile, security, notifications/DND and calendar preferences","P2","Settings.ReadOwn/UpdateOwn; Authenticated","","ValidationError; Forbidden; SESSION_REVOKED; INVALID_CREDENTIALS","default; validation; admin-managed field; wrong password; current-session guard; OS notification denied; invalid quiet hours; reset org default; destructive logout-all","FormLayout; FieldLabel; ValidationMessage; ErrorMessage; DataList; NotificationItem; PermissionState; DateTimePicker","NFR-002; NFR-003; NFR-004; NFR-005","SB-06","Pending visual frame/storyboard"
"WC-SET-03","Settings","SCR-155; SCR-156; SCR-157; SCR-158; SCR-159; SCR-161","Device/startup, cache/sync, connection, accessibility, diagnostics, own sessions/devices","P0/P2","Device.UpdateOwnOrAll; Sync.Read; Authenticated; Local; Session.ReadOwnOrAll; Device.ReadOwnOrAll","","ServerUnavailable; PartialAccess; Forbidden; SESSION_REVOKED; DEVICE_REVOKED; SYNC_CURSOR_EXPIRED; SYNC_SCOPE_CHANGED; CLIENT_VERSION_UNSUPPORTED","default; Windows denied; device/session revoked; current-session guard; syncing; cache read-only; endpoint/TLS/version error; limited diagnostics; copy redacted report; accessibility restart-required","SemanticStatus; ConnectivityBanner; ReadOnlyBanner; RetryAction; NotificationItem; DataList; PermissionState; DialogShell; FocusTrap","NFR-002; NFR-003; NFR-004; NFR-005; NFR-018; NFR-019; NFR-020","SB-07","Pending visual frame/storyboard"
"WC-ADMIN-01","Admin","SCR-170; SCR-171; SCR-172; SCR-173; SCR-174","Admin shell and user lifecycle","P0","Any admin capability; User.Read/Create/Update/Block","FLOW-029","Loading; Empty; PartialAccess; Forbidden; ObjectUnavailable; Conflict; ValidationError; INVALID_STATE_TRANSITION; VERSION_CONFLICT; DUPLICATE_RESOURCE","default; capability-filtered nav; list empty/scope-limited; user partial/blocked/deactivated; create validation; block/deactivate confirm; self-lockout; last-admin guard; session revoke consequence; conflict","NavigationRail; DataList; FilterBar; FormLayout; DialogShell; FocusTrap; PermissionState; ConflictNotice; TimelineHistory; SemanticStatus","NFR-002; NFR-003; NFR-004; NFR-005; NFR-006; NFR-025","SB-08","Pending visual frame/storyboard"
"WC-ADMIN-02","Admin","SCR-175; SCR-176","Departments hierarchy and editor","P0","Department.Read/Manage","","Loading; Empty; Conflict; ObjectUnavailable; DEPENDENCY_CYCLE; VERSION_CONFLICT","default; empty; hierarchy loading; create/edit; manager selection; cycle validation; active-children constraint; hidden parent; archive/trash/restore; conflict; forbidden","TreeView; DataList; FormLayout; DialogShell; FocusTrap; ValidationMessage; ConflictNotice; PermissionState; TimelineHistory","NFR-002; NFR-003; NFR-004; NFR-005; NFR-025","SB-09","Pending visual frame/storyboard"
"WC-ADMIN-03","Admin","SCR-177; SCR-178; SCR-179","Roles/permissions and effective-permission diagnostics","P0","Role.Read/Manage; Authorization.Explain; project owners/managers only where published","FLOW-030","Loading; PartialAccess; Forbidden; ObjectUnavailable; Conflict; VERSION_CONFLICT","default; immutable system role; create/edit; compare/reset; dangerous permission; effective allow/deny explanation; hidden object; scope changed; conflict","DataList; FormLayout; DialogShell; FocusTrap; PermissionState; InspectorPanel; ConflictNotice; TimelineHistory","NFR-002; NFR-003; NFR-004; NFR-005; NFR-025","SB-10","Pending visual frame/storyboard"
