Original reference,Resolution type,Canonical target,Source location,Semantic equivalence/type correctness,Trigger/entry/UI/actions/recovery,Hidden new STATE,Result,Evidence
STATE-001,alias,Initial,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-002,alias,Loading,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-003,alias,Refreshing,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-004,error/UI condition,Not a STATE: Authorized loaded UI condition,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,"Loaded is a normal UI condition, not a published durable state."
STATE-005,alias,Empty,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-006,alias,FilteredEmpty,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-008,alias,Forbidden,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-009,alias,ObjectUnavailable,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-010,alias,ServerUnavailable,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-011,alias,ServerUnavailable (cached read-only presentation),Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Read-only cache is a presentation of the published outage behavior.
STATE-012,alias,Reconnecting,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-013,alias,SyncPending,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-015,error/UI condition,Not a STATE: Freshness indication UI condition,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Stale data is a UI condition; Stage 3.5 does not publish it as a State ID.
STATE-016,alias,PartialAccess,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-017,alias,Archived,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-018,alias,Trashed,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-019,alias,BackgroundOperation,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-020,error/UI condition,Not a STATE: Stable-error-specific recovery,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,"RecoverableFailure conflated RateLimited, Timeout and IdempotencyKeyReused; active PRD now references the stable error."
STATE-021,error/UI condition,Not a STATE: Stable-error-specific recovery,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,UnrecoverableFailure conflated malformed input and internal failures; active PRD now references the stable error.
STATE-022,alias,Maintenance,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-023,alias,ClientUnsupported,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-024,alias,AccessScopeChanged,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-032,error/UI condition,Not a STATE: Authentication/session error handling,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,"Session expiry is a stable-error recovery path, not a published Stage 3.5 State ID."
STATE-033,error/UI condition,Not a STATE: Authentication/session error handling,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,"Session revocation is a stable-error recovery path, not a published Stage 3.5 State ID."
STATE-034,error/UI condition,Not a STATE: Device-revocation error handling,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,"Device revocation is an error-handling path, not a published Stage 3.5 State ID."
STATE-035,alias,StorageFull,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-036,alias,CursorExpired,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Published State Matrix behavior.
STATE-037,error/UI condition,Not a STATE: Account-blocked error handling,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Account blocked is handled by its stable error and is not a published State ID.
STATE-038,error/UI condition,Not a STATE: Account-lock error handling,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Temporary account lock is handled by its stable error and is not a published State ID.
STATE-039,error/UI condition,Not a STATE: Authentication-failed error handling,Stage_3_State_Matrix_Final_3.5.md § State Matrix (published named behavior and exact row),PASS,PASS,NO,PASS,Authentication failure is handled by INVALID_CREDENTIALS and is not a published State ID.
