Audit ID,Severity,Root cause,Affected artifacts,Affected IDs,Normative source,Planned fix,Applied fix,Verification,Residual risk,Status
AUDIT-4.2-001,High,"Closure was appended without retiring current blocking text, leaving two authoritative OQ statuses.",Stage_4_Product_PRD_4.3.md; Stage_4_Dependency_Risk_Register_4.3.md,OQ-001; OQ-003; FR-159; FR-264; FR-270–279; BR-098–112; AC-1790–1824; CMP-001; CMP-002,Stage 2.3.1 OpenAPI urgency GET/PUT/reset and employee search schemas; Stage 3.5 SCR-153 and SCR-133/134/135; candidate DEC-053–059,Replace current blocking wording with explicit resolved history and one Fixed status linked to Stage 2.3.1/3.5 evidence.,"Removed current blocking/OQ-conflict language; synchronized Product PRD, risk register, decision log and OQ history to Fixed-in-candidate with Stage 4.4 confirmation pending.",No current occurrence says remain High/block Stage 4.2/contract absent; every current status resolves to Fixed and the resolved-history chain remains. Internal Stage 4.3 machine recount and targeted spot-check: PASS.,No known documentation residual; independent Stage 4.4 confirmation remains required.,Fixed
AUDIT-4.2-002,High,Addendum changed FR semantics but the primary module rows and their existing AC remained legacy.,Stage_4_Module_PRDs_4.3.md; Stage_4_Requirements_Traceability_4.3.csv; Stage_4_Acceptance_Criteria_Catalog_4.3.csv,FR-159; FR-160; FR-243; FR-244; FR-260; FR-261; FR-265; FR-266; FR-269; AC-1002–1008; AC-1404; AC-1405; AC-1425; AC-1426; AC-1430; AC-1431; AC-1435,Stage 2.3.1 OpenAPI 1.2.0-stage2.3; Stage 3.5 delta/flows; candidate Appendix P.2,Consolidate each changed FR into its primary module row and remap/add atomic Gherkin AC for every new outcome.,Replaced the nine primary FR rows and synchronized AC-1002/1006/1404/1405/1425/1426/1430/1431/1435 with the effective employee-search and urgency-scale outcomes.,A semantic FR→AC review confirms that every mandatory outcome in each changed FR appears in observable Then/And steps. Internal Stage 4.3 machine recount and targeted spot-check: PASS.,Stage 4.4 must independently repeat semantic FR→AC review.,Fixed
AUDIT-4.2-003,High,MOD-014 field table and embedded AC-070 were not regenerated after the Stage 2.3.1 employee-search contract changed.,Stage_4_Module_PRDs_4.3.md,MOD-014; OQ-003; FR-159; FR-275–278; BR-070; BR-105–112; AC-070; AC-1804–1820; CMP-002,Stage 2.3.1 OpenAPI query.types includes employee with maxItems=10; SearchSuggestion/EmployeeSearchResult; Stage 3.5 SCR-133/134/135 and FLOW-019,Update the main MOD-014 field table and embedded AC-070 to match OpenAPI and the canonical AC catalog; mark old text historical.,"MOD-014 now has one types enum including employee, maxItems=10, separate EmployeeSearchResult semantics and a deprecated BR-070/AC-070 path to BR-105.","employee is present, maxItems=10, embedded/catalog AC-070 agree, and no current statement says employee is unsupported. Internal Stage 4.3 machine recount and targeted spot-check: PASS.",No known documentation residual; independent Stage 4.4 confirmation remains required.,Fixed
AUDIT-4.2-004,High,Catalog generation copied scenario labels into AC rows without executable precondition/action/result text.,Stage_4_Acceptance_Criteria_Catalog_4.3.csv; module sections K,96 BR; 115 FR; 211 AC,Stage 4.2 audit charter Part 7; linked FR/BR; Product PRD §10 test coverage gate,"Add atomic Gherkin for all 211, including role/capability, state/error, exact response/UI outcome and boundaries where applicable.","Populated every AC with atomic Given/When/Then, explicit role/state or boundary and an observable expected result.","1911/1911 AC contain executable Given/When/Then, including 87 new requirement-level criteria. Internal Stage 4.3 machine recount and targeted spot-check: PASS.",No known documentation residual; independent Stage 4.4 confirmation remains required.,Fixed
AUDIT-4.2-005,Medium,The overloaded FR/BR owner column allowed BR-only and DATA-only criteria without a deterministic primary owner.,Stage_4_Acceptance_Criteria_Catalog_4.3.csv,AC-001–097 with exceptions; AC-1436–1789; BR-*; DATA-001–021,Stage 4.2 audit charter Part 7 requires each AC to link to an existing FR; catalog column is named FR/BR,Add direct FR links or a normalized AC↔requirement↔FR relation with validated transitive resolution.,Assigned every criterion a validated primary owner; BR and DATA ownership resolves through explicit semantic FR relations without mass assignment to a random FR.,AC without resolvable FR=0; all intermediate requirement links exist and resolve deterministically. Internal Stage 4.3 machine recount and targeted spot-check: PASS.,No known documentation residual; independent Stage 4.4 confirmation remains required.,Fixed
AUDIT-4.2-006,Medium,Cross-cutting DATA/PERM/ERR/SYNC/AUDIT rows were generated without requirement-level verification links.,Stage_4_Requirements_Traceability_4.3.csv,87 cross-cutting requirement IDs,OpenAPI; permissions.csv; errors.csv; Stage 1 server-authoritative/sync/audit rules; Stage 3.5 state matrix,Link each row to concrete AC or fold it into an FR/BR/NFR with explicit verification.,"Linked every cross-cutting requirement to concrete AC that verify its DATA, permission, error, sync or audit behavior.",Requirement rows with blank AC=0 and every link resolves to an AC that tests the stated behavior. Internal Stage 4.3 machine recount and targeted spot-check: PASS.,No known documentation residual; independent Stage 4.4 confirmation remains required.,Fixed
AUDIT-4.2-007,Medium,The BR catalog import omitted normalized BR-to-FR relations for most inherited rules.,Stage_4_Business_Rules_Catalog_4.3.csv; module sections E,BR-001–097 except the explicitly related/deprecated subset,Concept and current contract/UX sources for each module; Stage 4.2 audit charter Part 6,Populate a many-to-many BR↔FR mapping; formalize scope/exceptions for global rules.,Populated Related FR for all BR using module/API/AC evidence; deprecated BR-070 retains replacement BR-105.,No unexplained empty Related FR; all links exist and rule priority is unambiguous. Internal Stage 4.3 machine recount and targeted spot-check: PASS.,No known documentation residual; independent Stage 4.4 confirmation remains required.,Fixed
AUDIT-4.2-008,Medium,One generator template retained the pre-3.5 field-trace filename after the normative file was renamed.,Stage_4_Requirements_Traceability_4.3.csv; Stage_4_Acceptance_Criteria_Catalog_4.3.csv,1 missing target; 1565 reference occurrences,Actual Stage 3.5 file Stage_3_Field_Traceability_Final_3.5.csv and Stage 3.5 manifest,Replace the old filename with the exact 3.5 filename or define and validate a formal alias.,Repaired the generator-level target to Stage_3_Field_Traceability_Final_3.5.csv and regenerated all affected references.,Old-name occurrences=0; link checker resolves every source path. Internal Stage 4.3 machine recount and targeted spot-check: PASS.,No known documentation residual; independent Stage 4.4 confirmation remains required.,Fixed
AUDIT-4.2-009,Medium,A downstream FLOW-038 alias was referenced before an addressable candidate-level flow registry definition existed.,"Stage 3.5 User Flows; candidate Decision Log, Traceability CSV and validation",FLOW-035; FLOW-038; FR-264; FR-266; FR-269–274; FR-279; CMP-001; AC-1824,Stage 3.5 User Flows; audit rule forbidding PRD flow without an addressable UX flow,"Add a downstream errata/alias artifact with a full FLOW-038 definition, without changing the Stage 3.5 source ZIP.",Defined a full downstream FLOW-038 urgency-scale flow while preserving project FLOW-035 and added a unique flow registry/repair gate.,Unique flow registry; all FLOW-035 references are project-only and FLOW-038 references urgency-only. Internal Stage 4.3 machine recount and targeted spot-check: PASS.,The immutable Stage 3.5 source still contains its historical duplicate; consumers must use the candidate flow registry.,Fixed
AUDIT-4.2-010,Medium,Delta imports preserved Stage 2.2/3.4 as active source labels instead of historical provenance.,"Requirements, BR, AC and NFR catalogs; Readiness artifact",FR-242…269 subset; BR-016…097 subset; related AC; NFR-012,Candidate Product PRD line 204 and CANONICAL_BASELINE.md: Stage 2.3.1/3.5 current; 2.2/3.4 historical only,Revalidate and relink active rows to 3.5/2.3.1; retain old versions only as marked provenance.,Revalidated active source cells against Stage 2.3.1/3.5 and retained Stage 2.2/3.4 only in explicitly historical/deprecated prose.,No active source cell uses 2.2/3.4 without explicit historical/superseded qualification and current replacement. Internal Stage 4.3 machine recount and targeted spot-check: PASS.,No known documentation residual; independent Stage 4.4 confirmation remains required.,Fixed
AUDIT-4.2-011,Medium,An unapproved numeric SLA was treated as a provisional product requirement and several NFR checks lacked objective methods.,Stage_4_NFR_Catalog_4.3.csv; Stage_4_Open_Questions_4.3.md,NFR-001; NFR-003; NFR-006; NFR-007; NFR-015; NFR-024; OQ-008,Architecture §0.5; candidate Open Questions OQ-008; Stage 4.2 NFR measurement gate,Mark NFR-024 provisional until OQ-008 closes and define objective policies/thresholds for the listed NFR.,"Removed unsupported numeric product SLA claims, closed OQ-008 as an external deployment-policy gate and added reproducible NFR measurement methods.",Every NFR has reproducible pass/fail criteria; provisional/unverified ledger accurately reports outstanding decisions. Internal Stage 4.3 machine recount and targeted spot-check: PASS.,"Concrete SLA/RPO/RTO values remain an external company-approved deployment input, not a product claim.",Fixed
AUDIT-4.2-012,Medium,"The risk template recorded topics and mitigations but omitted probability, owner, trigger and contingency fields.",Stage_4_Dependency_Risk_Register_4.3.md; module risk sections,DEP-001–024; RISK-001–025; OQ-001; OQ-003,Stage 4.2 audit charter Part 19,"Extend the schema and populate probability, impact, owner role, trigger, preventive/contingency actions, verification and status.","Rebuilt RISK-001–025 with probability, impact, owner, trigger, preventive control, contingency, verification and status.",Risk lint confirms all required fields are non-empty and closure evidence is traceable. Internal Stage 4.3 machine recount and targeted spot-check: PASS.,No known documentation residual; independent Stage 4.4 confirmation remains required.,Fixed
AUDIT-4.2-013,Medium,"Accessibility was expressed as umbrella intent rather than atomic keyboard, UIA, focus and resize behavior.",NFR catalog; AC catalog; Module PRDs,CMP-001; CMP-002; SCR-133/134/135/153; FLOW-019; NFR-002–005,Stage 3.5 UX Architecture active-descendant/Up/Down/Enter/Esc semantics and adaptive desktop layout rules,Add exact keyboard/UIA/focus and resize AC for both components.,"Added atomic Up/Down/Enter/Esc, active-descendant, focus-return, tab-order, UIA, high-contrast, 200% and below-1100-logical-pixel requirements/AC.","Keyboard-only and resize matrix passes Tab/Shift+Tab/arrows/Enter/Esc, focus return, minimum window and 200% scaling. Internal Stage 4.3 machine recount and targeted spot-check: PASS.",No known documentation residual; independent Stage 4.4 confirmation remains required.,Fixed
AUDIT-4.2-014,Medium,Declared API totals were copied from the earlier 241-operation baseline instead of regenerated.,Stage_4_Product_PRD_4.3.md; Stage_4_0_PRD_Readiness_4.3.md,OpenAPI operation inventory; product DoD,Stage 2.3.1 openapi.yaml: 244 unique operationId values,Update or clearly supersede all active 241-operation gates.,Regenerated all active operation gates as 244/244 and removed current 241-operation claims.,No current count uses 241; independently parsed operationId count and coverage both equal 244. Internal Stage 4.3 machine recount and targeted spot-check: PASS.,No known documentation residual; independent Stage 4.4 confirmation remains required.,Fixed
AUDIT-4.2-015,Low,Nine expected results used the non-observable word “корректно”.,Stage_4_Acceptance_Criteria_Catalog_4.3.csv,9 AC,Stage 4.2 audit charter Part 7,Replace each occurrence with an exact state/value/ordering/error outcome.,"Replaced all nine vague outcomes with explicit value, order, state or error assertions.",Undefined-term scan=0 and each affected Then is objectively assertable. Internal Stage 4.3 machine recount and targeted spot-check: PASS.,No known documentation residual; independent Stage 4.4 confirmation remains required.,Fixed
AUDIT-4.2-016,Low,Analytics storage/access/retention ownership was left as an open governance decision.,Stage_4_Analytics_Audit_Requirements_4.3.md; Stage_4_Open_Questions_4.3.md,OQ-010; AN-001–052; BR-113; AC-1823,Candidate privacy/minimization requirements and Product+Security ownership of OQ-010,Close OQ-010 with an explicit storage/access/retention/rotation/deletion policy before production.,"Closed OQ-010 with no separate analytics store, minimized allowlisted events, company-approved 30–90-day application-log retention, access separation, rotation and deletion tests.",Policy/config tests confirm retention and access while event allowlists and PII bans remain. Internal Stage 4.3 machine recount and targeted spot-check: PASS.,The company must select and evidence an allowed retention value at deployment.,Fixed
