"Matrix source row","Requirement","Type","Module","Requirement title","Resolution status","Traceability mode","Related OpenAPI operationIds","API operationId","API method","API path","Permission","Server handler planned","Screen Stage 3.5","FLOW Stage 3.5","Test type","Source evidence","Resolution rationale"
"wave-a.csv:19","DATA-001","DATA","MOD-001","Данные модуля: DTO/агрегаты и их поля по OpenAPI","resolved","module-wide","GET_api_v1_auth_login_attempts;GET_api_v1_auth_session;GET_api_v1_auth_sessions;POST_api_v1_auth_admin_reset_password;POST_api_v1_auth_change_password;POST_api_v1_auth_login;POST_api_v1_auth_logout;POST_api_v1_auth_logout_all;POST_api_v1_auth_refresh;POST_api_v1_auth_sessions_sessionId_revoke","","","","Module-wide: contract/DTO typing for request and response bodies applies to all 10 operations of MOD-001 listed in Related; per-operation permission per openapi.yaml x-permission.","Module-wide: implemented across the handlers of the 10 MOD-001 operations in Related (handler naming Task.Application.MOD-001.{operationId}Handler); no single endpoint handler owns the requirement.","SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions","FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии","Boundary/contract UI","implementation_matrix.csv wave-a.csv:19 Source='DEC-036/037/041'; traceability 4.5 DATA-001 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement. Module-wide classification: requirement applies to the full confirmed operation set of MOD-001 (the 10 operations listed in Related, sourced from resolved rows of the same module in this matrix and verified against openapi.yaml); no single operationId is attributable.","Module-level requirement (traceability 4.5 API cell 'OpenAPI operations of module') with no single attributable operation; mapped module-wide to the confirmed operation set of MOD-001 (10 operations: GET_api_v1_auth_login_attempts, GET_api_v1_auth_session, GET_api_v1_auth_sessions, POST_api_v1_auth_admin_reset_password, POST_api_v1_auth_change_password, POST_api_v1_auth_login, POST_api_v1_auth_logout, POST_api_v1_auth_logout_all, POST_api_v1_auth_refresh, POST_api_v1_auth_sessions_sessionId_revoke) per implementation_matrix resolved rows and openapi.yaml."
"wave-a.csv:20","PERM-001","PERM","MOD-001","Права модуля: capabilities и scopes по OpenAPI","resolved","module-wide","GET_api_v1_auth_login_attempts;GET_api_v1_auth_session;GET_api_v1_auth_sessions;POST_api_v1_auth_admin_reset_password;POST_api_v1_auth_change_password;POST_api_v1_auth_login;POST_api_v1_auth_logout;POST_api_v1_auth_logout_all;POST_api_v1_auth_refresh;POST_api_v1_auth_sessions_sessionId_revoke","","","","Module-wide: permission and capability model for MOD-001 covers all 10 operations in Related; enforced per operation per openapi.yaml x-permission and x-required-capability.","Module-wide: implemented across the handlers of the 10 MOD-001 operations in Related (handler naming Task.Application.MOD-001.{operationId}Handler); no single endpoint handler owns the requirement.","SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions","FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии","Security/authorization","implementation_matrix.csv wave-a.csv:20 Source='DEC-004/030; OpenAPI'; traceability 4.5 PERM-001 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement. Module-wide classification: requirement applies to the full confirmed operation set of MOD-001 (the 10 operations listed in Related, sourced from resolved rows of the same module in this matrix and verified against openapi.yaml); no single operationId is attributable.","Module-level requirement (traceability 4.5 API cell 'OpenAPI operations of module') with no single attributable operation; mapped module-wide to the confirmed operation set of MOD-001 (10 operations: GET_api_v1_auth_login_attempts, GET_api_v1_auth_session, GET_api_v1_auth_sessions, POST_api_v1_auth_admin_reset_password, POST_api_v1_auth_change_password, POST_api_v1_auth_login, POST_api_v1_auth_logout, POST_api_v1_auth_logout_all, POST_api_v1_auth_refresh, POST_api_v1_auth_sessions_sessionId_revoke) per implementation_matrix resolved rows and openapi.yaml."
"wave-a.csv:21","ERR-001","ERR","MOD-001","Ошибки модуля: стабильные коды, HTTP-статусы и recovery по OpenAPI","resolved","module-wide","GET_api_v1_auth_login_attempts;GET_api_v1_auth_session;GET_api_v1_auth_sessions;POST_api_v1_auth_admin_reset_password;POST_api_v1_auth_change_password;POST_api_v1_auth_login;POST_api_v1_auth_logout;POST_api_v1_auth_logout_all;POST_api_v1_auth_refresh;POST_api_v1_auth_sessions_sessionId_revoke","","","","Module-wide: stable error handling and HTTP status semantics for all 10 operations of MOD-001 in Related; per-operation permission per openapi.yaml x-permission.","Module-wide: implemented across the handlers of the 10 MOD-001 operations in Related (handler naming Task.Application.MOD-001.{operationId}Handler); no single endpoint handler owns the requirement.","SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions","FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии","Error handling","implementation_matrix.csv wave-a.csv:21 Source='errors.csv; State Matrix'; traceability 4.5 ERR-001 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement. Module-wide classification: requirement applies to the full confirmed operation set of MOD-001 (the 10 operations listed in Related, sourced from resolved rows of the same module in this matrix and verified against openapi.yaml); no single operationId is attributable.","Module-level requirement (traceability 4.5 API cell 'OpenAPI operations of module') with no single attributable operation; mapped module-wide to the confirmed operation set of MOD-001 (10 operations: GET_api_v1_auth_login_attempts, GET_api_v1_auth_session, GET_api_v1_auth_sessions, POST_api_v1_auth_admin_reset_password, POST_api_v1_auth_change_password, POST_api_v1_auth_login, POST_api_v1_auth_logout, POST_api_v1_auth_logout_all, POST_api_v1_auth_refresh, POST_api_v1_auth_sessions_sessionId_revoke) per implementation_matrix resolved rows and openapi.yaml."
"wave-a.csv:23","AUDIT-001","AUDIT","MOD-001","Аудит и история действий модуля (append-only, redaction-aware)","resolved","module-wide","GET_api_v1_auth_login_attempts;GET_api_v1_auth_session;GET_api_v1_auth_sessions;POST_api_v1_auth_admin_reset_password;POST_api_v1_auth_change_password;POST_api_v1_auth_login;POST_api_v1_auth_logout;POST_api_v1_auth_logout_all;POST_api_v1_auth_refresh;POST_api_v1_auth_sessions_sessionId_revoke","","","","Module-wide: audit/history evidence semantics for the command operations of MOD-001 in Related; per-operation permission per openapi.yaml x-permission.","Module-wide: implemented across the handlers of the 10 MOD-001 operations in Related (handler naming Task.Application.MOD-001.{operationId}Handler); no single endpoint handler owns the requirement.","SCR-001 Вход; SCR-002 Подключение к серверу; SCR-006 Сессия прервана; SCR-161 Мои devices и sessions","FLOW-001 Первый вход; FLOW-002 Обычный вход; FLOW-003 Истечение сессии","Audit/security","implementation_matrix.csv wave-a.csv:23 Source='Architecture audit principles; OpenAPI side effects'; traceability 4.5 AUDIT-001 API cell='Domain command + audit/history endpoints'; openapi.yaml contains no operationId for this requirement. Module-wide classification: requirement applies to the full confirmed operation set of MOD-001 (the 10 operations listed in Related, sourced from resolved rows of the same module in this matrix and verified against openapi.yaml); no single operationId is attributable.","Module-level requirement (traceability 4.5 API cell 'OpenAPI operations of module') with no single attributable operation; mapped module-wide to the confirmed operation set of MOD-001 (10 operations: GET_api_v1_auth_login_attempts, GET_api_v1_auth_session, GET_api_v1_auth_sessions, POST_api_v1_auth_admin_reset_password, POST_api_v1_auth_change_password, POST_api_v1_auth_login, POST_api_v1_auth_logout, POST_api_v1_auth_logout_all, POST_api_v1_auth_refresh, POST_api_v1_auth_sessions_sessionId_revoke) per implementation_matrix resolved rows and openapi.yaml."
"wave-a.csv:38","DATA-002","DATA","MOD-002","Данные модуля: DTO/агрегаты и их поля по OpenAPI","resolved","module-wide","GET_api_v1_capabilities;GET_api_v1_feature_flags;GET_api_v1_system_time;GET_api_v1_system_version;GET_health_live;GET_health_ready","","","","Module-wide: contract/DTO typing for request and response bodies applies to all 6 operations of MOD-002 listed in Related; per-operation permission per openapi.yaml x-permission.","Module-wide: implemented across the handlers of the 6 MOD-002 operations in Related (handler naming Task.Application.MOD-002.{operationId}Handler); no single endpoint handler owns the requirement.","SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel","FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification","Contract/UI","implementation_matrix.csv wave-a.csv:38 Source='DEC-036/037/041'; traceability 4.5 DATA-002 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement. Module-wide classification: requirement applies to the full confirmed operation set of MOD-002 (the 6 operations listed in Related, sourced from resolved rows of the same module in this matrix and verified against openapi.yaml); no single operationId is attributable.","Module-level requirement (traceability 4.5 API cell 'OpenAPI operations of module') with no single attributable operation; mapped module-wide to the confirmed operation set of MOD-002 (6 operations: GET_api_v1_capabilities, GET_api_v1_feature_flags, GET_api_v1_system_time, GET_api_v1_system_version, GET_health_live, GET_health_ready) per implementation_matrix resolved rows and openapi.yaml."
"wave-a.csv:39","PERM-002","PERM","MOD-002","Права модуля: capabilities и scopes по OpenAPI","resolved","module-wide","GET_api_v1_capabilities;GET_api_v1_feature_flags;GET_api_v1_system_time;GET_api_v1_system_version;GET_health_live;GET_health_ready","","","","Module-wide: permission and capability model for MOD-002 covers all 6 operations in Related; enforced per operation per openapi.yaml x-permission and x-required-capability.","Module-wide: implemented across the handlers of the 6 MOD-002 operations in Related (handler naming Task.Application.MOD-002.{operationId}Handler); no single endpoint handler owns the requirement.","SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel","FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification","Security/authorization","implementation_matrix.csv wave-a.csv:39 Source='DEC-004/030; OpenAPI'; traceability 4.5 PERM-002 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement. Module-wide classification: requirement applies to the full confirmed operation set of MOD-002 (the 6 operations listed in Related, sourced from resolved rows of the same module in this matrix and verified against openapi.yaml); no single operationId is attributable.","Module-level requirement (traceability 4.5 API cell 'OpenAPI operations of module') with no single attributable operation; mapped module-wide to the confirmed operation set of MOD-002 (6 operations: GET_api_v1_capabilities, GET_api_v1_feature_flags, GET_api_v1_system_time, GET_api_v1_system_version, GET_health_live, GET_health_ready) per implementation_matrix resolved rows and openapi.yaml."
"wave-a.csv:40","ERR-002","ERR","MOD-002","Ошибки модуля: стабильные коды, HTTP-статусы и recovery по OpenAPI","resolved","module-wide","GET_api_v1_capabilities;GET_api_v1_feature_flags;GET_api_v1_system_time;GET_api_v1_system_version;GET_health_live;GET_health_ready","","","","Module-wide: stable error handling and HTTP status semantics for all 6 operations of MOD-002 in Related; per-operation permission per openapi.yaml x-permission.","Module-wide: implemented across the handlers of the 6 MOD-002 operations in Related (handler naming Task.Application.MOD-002.{operationId}Handler); no single endpoint handler owns the requirement.","SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel","FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification","Error handling","implementation_matrix.csv wave-a.csv:40 Source='errors.csv; State Matrix'; traceability 4.5 ERR-002 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement. Module-wide classification: requirement applies to the full confirmed operation set of MOD-002 (the 6 operations listed in Related, sourced from resolved rows of the same module in this matrix and verified against openapi.yaml); no single operationId is attributable.","Module-level requirement (traceability 4.5 API cell 'OpenAPI operations of module') with no single attributable operation; mapped module-wide to the confirmed operation set of MOD-002 (6 operations: GET_api_v1_capabilities, GET_api_v1_feature_flags, GET_api_v1_system_time, GET_api_v1_system_version, GET_health_live, GET_health_ready) per implementation_matrix resolved rows and openapi.yaml."
"wave-a.csv:42","AUDIT-002","AUDIT","MOD-002","Аудит и история действий модуля (append-only, redaction-aware)","resolved","module-wide","GET_api_v1_capabilities;GET_api_v1_feature_flags;GET_api_v1_system_time;GET_api_v1_system_version;GET_health_live;GET_health_ready","","","","Module-wide: audit/history evidence semantics for the command operations of MOD-002 in Related; per-operation permission per openapi.yaml x-permission.","Module-wide: implemented across the handlers of the 6 MOD-002 operations in Related (handler naming Task.Application.MOD-002.{operationId}Handler); no single endpoint handler owns the requirement.","SCR-004 Главное окно; SCR-005 Command palette; SCR-007 Требуется обновление; SCR-008 Глобальный quick create; SCR-200 Общий detail pane; SCR-204 Почему действие недоступно; SCR-205 Connection status; SCR-207 Общее context menu; SCR-208 Общее подтверждение; SCR-209 Audit, policy engine, management APIs; SCR-211 System tray menu; SCR-212 Toast deep-link activation; SCR-213 Общая multi-select panel","FLOW-002 Обычный вход; FLOW-005 Быстрое создание задачи; FLOW-020 Действие из notification","Audit/security","implementation_matrix.csv wave-a.csv:42 Source='Architecture audit principles; OpenAPI side effects'; traceability 4.5 AUDIT-002 API cell='Domain command + audit/history endpoints'; openapi.yaml contains no operationId for this requirement. Module-wide classification: requirement applies to the full confirmed operation set of MOD-002 (the 6 operations listed in Related, sourced from resolved rows of the same module in this matrix and verified against openapi.yaml); no single operationId is attributable.","Module-level requirement (traceability 4.5 API cell 'OpenAPI operations of module') with no single attributable operation; mapped module-wide to the confirmed operation set of MOD-002 (6 operations: GET_api_v1_capabilities, GET_api_v1_feature_flags, GET_api_v1_system_time, GET_api_v1_system_version, GET_health_live, GET_health_ready) per implementation_matrix resolved rows and openapi.yaml."
"wave-a.csv:56","DATA-003","DATA","MOD-003","Данные модуля: DTO/агрегаты и их поля по OpenAPI","resolved","module-wide","GET_api_v1_today","","","","Module-wide: contract/DTO typing for request and response bodies applies to all 1 operations of MOD-003 listed in Related; per-operation permission per openapi.yaml x-permission.","Module-wide: implemented across the handlers of the 1 MOD-003 operations in Related (handler naming Task.Application.MOD-003.{operationId}Handler); no single endpoint handler owns the requirement.","SCR-010 Сегодня; SCR-011 Фильтр Today","FLOW-005 Быстрое создание задачи; FLOW-007 Завершение задачи; FLOW-008 Изменение статуса; FLOW-020 Действие из notification; FLOW-021 Snooze reminder","Contract/UI","implementation_matrix.csv wave-a.csv:56 Source='DEC-036/037/041'; traceability 4.5 DATA-003 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement. Module-wide classification: requirement applies to the full confirmed operation set of MOD-003 (the 1 operations listed in Related, sourced from resolved rows of the same module in this matrix and verified against openapi.yaml); no single operationId is attributable.","Module-level requirement (traceability 4.5 API cell 'OpenAPI operations of module') with no single attributable operation; mapped module-wide to the confirmed operation set of MOD-003 (1 operations: GET_api_v1_today) per implementation_matrix resolved rows and openapi.yaml."
"wave-a.csv:57","PERM-003","PERM","MOD-003","Права модуля: capabilities и scopes по OpenAPI","resolved","module-wide","GET_api_v1_today","","","","Module-wide: permission and capability model for MOD-003 covers all 1 operations in Related; enforced per operation per openapi.yaml x-permission and x-required-capability.","Module-wide: implemented across the handlers of the 1 MOD-003 operations in Related (handler naming Task.Application.MOD-003.{operationId}Handler); no single endpoint handler owns the requirement.","SCR-010 Сегодня; SCR-011 Фильтр Today","FLOW-005 Быстрое создание задачи; FLOW-007 Завершение задачи; FLOW-008 Изменение статуса; FLOW-020 Действие из notification; FLOW-021 Snooze reminder","Security/authorization","implementation_matrix.csv wave-a.csv:57 Source='DEC-004/030; OpenAPI'; traceability 4.5 PERM-003 API cell='OpenAPI operations of module'; openapi.yaml contains no operationId for this requirement. Module-wide classification: requirement applies to the full confirmed operation set of MOD-003 (the 1 operations listed in Related, sourced from resolved rows of the same module in this matrix and verified against openapi.yaml); no single operationId is attributable.","Module-level requirement (traceability 4.5 API cell 'OpenAPI operations of module') with no single attributable operation; mapped module-wide to the confirmed operation set of MOD-003 (1 operations: GET_api_v1_today) per implementation_matrix resolved rows and openapi.yaml."
