Component ID,Component,Library path,Priority,Purpose,Anatomy,Required variants,State inputs,Required NFR,Keyboard contract,UIA contract,Scaling contract,Failure rule,Implementation readiness,Evidence,Remaining verification,Spec version
CMP-001,SurfaceTitle,Task/Core/SurfaceTitle,P0,Names the current surface and optional context without duplicating the window title.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,page | panel | dialog,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-002,PermissionState,Task/State/PermissionState,P0,"Translates current server capability into available, disabled-with-reason or non-disclosing unavailable presentation.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,available | disabled-with-reason | forbidden-result | unavailable,Forbidden; ObjectUnavailable; PartialAccess,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Server authorization is authoritative; hidden targets must not be disclosed.,Prototype-verified,work/stage_5_prototype/src/App.jsx#TasksSurface/ProjectsSurface/FileLocationView; work/stage_5_prototype/design-qa-stage5-component-gaps.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-003,ConnectivityBanner,Task/State/ConnectivityBanner,P0,"Explains connectivity, cache freshness and the next safe recovery action.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,offline | reconnecting | maintenance | unavailable,ServerUnavailable; Reconnecting,NFR-002; NFR-003; NFR-004; NFR-005; NFR-009; NFR-010; NFR-024,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Retry is bounded and idempotent; writes remain disabled until authoritative readiness.,Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-004,FieldLabel,Task/Core/FieldLabel,P0,"Binds visible label, required/optional meaning, hint and validation to one control.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,normal | required | disabled | error,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-005,FormLayout,Task/Pattern/FormLayout,P0,"Orders fields, section boundaries, dirty state and explicit save/cancel actions.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,simple | sectioned | dirty | read-only,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-006,ReadOnlyBanner,Task/State/ReadOnlyBanner,P0,"Explains why content is read-only, its freshness and which actions remain safe.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,offline | archived | trashed | permission,ServerUnavailable (cached read-only presentation); Archived; Trashed,NFR-002; NFR-003; NFR-004; NFR-005; NFR-009; NFR-010,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Never rely on color alone; state text and a safe recovery consequence are required.,Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-007,RetryAction,Task/State/RetryAction,P0,Starts only an idempotent recovery check and never implies success before authoritative readiness.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,safe-read retry | diagnostics,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005; NFR-012; NFR-017,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Retry is bounded and idempotent; writes remain disabled until authoritative readiness.,Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-008,ValidationMessage,Task/State/ValidationMessage,P0,Associates a concise error with its field and optionally links from a summary.,Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,inline | summary-linked,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Never rely on color alone; state text and a safe recovery consequence are required.,Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-009,PageLayout,Task/Pattern/PageLayout,P0,"Composes title, commands, content, state messaging and optional inspector within the desktop shell.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,list | list-detail | editor | settings,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,"Preserve accessible name, focus context and user input when the operation cannot complete.",Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
CMP-010,ConflictNotice,Task/State/ConflictNotice,P0,"Preserves the local draft and offers explicit compare, reload, reapply or discard paths.",Container; visible label/content; semantic icon where applicable; state/validation region; optional safe action,stale | precondition | compare | reapply,Default; hover; focus; pressed; disabled where applicable,NFR-002; NFR-003; NFR-004; NFR-005; NFR-011; NFR-012; NFR-017,Native Tab/Shift+Tab order; Enter/Space activation; Escape only for dismissible overlays; arrows for list/tree/menu semantics,"Expose stable name, role, state and value; disabled/read-only/expanded/selected/current states must be programmatic",No clipped meaning at Windows 200%; long Russian content wraps or truncates with an accessible full value,Preserve the local/current value; never overwrite or report success after conflict.,Prototype-verified,work/stage_5_prototype/src/App.jsx; work/stage_5_prototype/src/styles.css; work/stage_5_prototype/design-qa-stage5-surfaces.md,"Formal library frame, Windows runtime measurements and remaining module variants",1.0
