"Slice","FLOW ID","Flow","Roles","Permission","API","Outcome","SCR references","Entry points","Required states","Required errors","Shared components","Test fixture","Critical-path acceptance","Keyboard contract","Required design evidence","Accessibility evidence","Contract status","Visual status"
"VS-01 Auth & Bootstrap","FLOW-001","Первый вход","Все роли","Anonymous → Authenticated → Sync.Read","auth/login; system/version; capabilities; sync/bootstrap/changes/ack; realtime/negotiate","Active session, authorized cache, Today","SCR-001; SCR-002; SCR-003; SCR-004; SCR-007","Запуск; refresh failed; Первый запуск; connection error; Settings; После login; cursor expired; cache reset; После bootstrap; deep link; tray; 426; capability check","loading; invalid; locked; blocked; unavailable; checking; TLS error; incompatible; dataset progress; reconnecting; scope changed; online; offline; syncing; maintenance; storage full; required; download/signature failure","INVALID_CREDENTIALS; ACCOUNT_LOCKED_TEMPORARILY; ACCOUNT_BLOCKED; TIMEOUT; DEPENDENCY_UNAVAILABLE; CLIENT_VERSION_UNSUPPORTED; SYNC_SCOPE_CHANGED; SYNC_CURSOR_EXPIRED; DATABASE_UNAVAILABLE; SESSION_REVOKED; MAINTENANCE_MODE; STORAGE_FULL","CommandBar; ConnectionStatus; ConnectivityBanner; DialogShell; ErrorMessage; FieldLabel; FileLocationView; FocusTrap; FormLayout; LoadingState; NavigationRail; PageLayout; Pagination; ProfileMenu; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; ValidationMessage","First-run Windows client; reachable approved LAN endpoint; valid employee credentials; empty authorized cache","Configure/verify endpoint when required → authenticate → bootstrap authorized data → land in Shell/Today without stale unauthorized content","Tab/Shift+Tab through endpoint and sign-in; Enter submits; Esc closes non-blocking dialog; focus returns to failing field or first actionable recovery","Interactive prototype + keyboard walkthrough","Focus order/return; UIA names/roles/states; non-color semantics; Narrator/NVDA script; 200% scaling","Scenario contract ready","Pending VIS-001"
"VS-01 Auth & Bootstrap","FLOW-002","Обычный вход","Все роли","Authenticated; Sync.Read","auth/refresh; auth/session; sync/changes/ack","Shell restored without stale unauthorized data","SCR-001; SCR-003; SCR-004","Запуск; refresh failed; После login; cursor expired; cache reset; После bootstrap; deep link; tray","loading; invalid; locked; blocked; unavailable; dataset progress; reconnecting; scope changed; online; offline; syncing; maintenance; storage full","INVALID_CREDENTIALS; ACCOUNT_LOCKED_TEMPORARILY; ACCOUNT_BLOCKED; SYNC_SCOPE_CHANGED; SYNC_CURSOR_EXPIRED; DATABASE_UNAVAILABLE; SESSION_REVOKED; MAINTENANCE_MODE; STORAGE_FULL","CommandBar; ConnectionStatus; ConnectivityBanner; ErrorMessage; FieldLabel; FileLocationView; FormLayout; LoadingState; NavigationRail; PageLayout; Pagination; ProfileMenu; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; ValidationMessage","Previously signed-in employee; valid refresh session; populated authorized cache","Refresh session → restore authorized Shell and cache → land on last safe context without exposing stale unauthorized data","No pointer required; focus restores to safe Shell target after session refresh","Interactive prototype + keyboard walkthrough","Focus order/return; UIA names/roles/states; non-color semantics; Narrator/NVDA script; 200% scaling","Scenario contract ready","Pending VIS-001"
"VS-02 Task Creation","FLOW-004","Создание задачи","Admin/Manager/Employee with capability","Task.Create + related capabilities","POST /tasks + optional related endpoints","Versioned Task created","SCR-023; SCR-024; SCR-028; SCR-029","Create/Edit; List/Today/Calendar/Search/Notification/deep link; Task/Event details; Settings; Task details/editor","dirty; validation; conflict; archived; trashed; field forbidden; loading; stale; partial; unavailable; invalid time; offline; target unavailable; partial directory; inactive user","VERSION_CONFLICT; PRECONDITION_REQUIRED; OBJECT_ARCHIVED; OBJECT_DELETED; OBJECT_NOT_VISIBLE; FORBIDDEN; VALIDATION_FAILED","CommentThread; ConflictNotice; ConnectivityBanner; DataList; DateTimePicker; DialogShell; ErrorMessage; FieldLabel; FileLocationView; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; UrgencyIndicator; ValidationMessage","Authenticated user with Task create capability; populated Today/Tasks data","Open editor → validate required fields → create versioned Task → show authoritative result and return focus deterministically","Tab/Shift+Tab across form; picker navigation with arrows; Enter confirms; Esc preserves draft/returns focus","Interactive prototype + keyboard walkthrough","Focus order/return; UIA names/roles/states; non-color semantics; Narrator/NVDA script; 200% scaling","Scenario contract ready","Pending VIS-001"
"VS-02 Task Creation","FLOW-005","Быстрое создание задачи","Admin/Manager/Employee","Task.Create","POST /tasks","Minimal valid task","SCR-008; SCR-022; SCR-024","Ctrl+N; Ctrl+Shift+N; global button; tray; Today/Calendar slot; Project; List/Today/Calendar/Search/Notification/deep link","validation; offline disabled; forbidden; offline; loading; stale; partial; archived; trashed; unavailable","VALIDATION_FAILED; FORBIDDEN; DATABASE_UNAVAILABLE; OBJECT_NOT_VISIBLE; VERSION_CONFLICT","CommentThread; ConflictNotice; ConnectivityBanner; DataList; DateTimePicker; DialogShell; ErrorMessage; FieldLabel; FileLocationView; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; PopoverSurface; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; UrgencyIndicator; ValidationMessage","Authenticated user with quick-create capability; Shell available","Open quick create → enter minimum valid task → submit → confirm creation and preserve keyboard context","Shortcut opens quick create; Enter submits valid minimum; Esc closes and returns focus to invocation target","Interactive prototype + keyboard walkthrough","Focus order/return; UIA names/roles/states; non-color semantics; Narrator/NVDA script; 200% scaling","Scenario contract ready","Pending VIS-001"
"VS-03 Search & Redaction","FLOW-019","Глобальный поиск","Все роли","Search.Use","GET /search/suggestions; GET /search","Allowed target or explicit zero/partial result","SCR-133; SCR-134; SCR-135; SCR-136","Ctrl+F; shell search; SCR-133; deep link; SCR-133/134; Offline; timeout; scope change","loading; empty; filtered empty; partial permission-safe; cursor invalid/expired; cursor restart; partial access; incompatible type; cursor reset; offline; timeout; scope changed","VALIDATION_FAILED; SEARCH_CURSOR_INVALID; SEARCH_CURSOR_EXPIRED; FORBIDDEN; DATABASE_UNAVAILABLE; TIMEOUT; SYNC_SCOPE_CHANGED","ConnectivityBanner; DataList; EmptyState; ErrorMessage; FieldLabel; FileLocationView; FilterBar; FormLayout; InspectorPanel; LoadingState; PageLayout; Pagination; PermissionState; PopoverSurface; ProgressIndicator; ProjectPicker; ReadOnlyBanner; RedactionMarker; RetryAction; SearchBox; SurfaceTitle; ValidationMessage","Authenticated user; mixed task/project/employee results; at least one redacted or unavailable employee target","Enter query → navigate grouped results by keyboard → show redaction/unavailable semantics → open only authorized target","Shortcut focuses search; Up/Down navigates groups/results; Enter opens; Esc clears/closes in deterministic order","Interactive prototype + keyboard walkthrough","Focus order/return; UIA names/roles/states; non-color semantics; Narrator/NVDA script; 200% scaling","Scenario contract ready","Pending VIS-001"
"VS-04 Resilience & Conflict","FLOW-022","Потеря сервера","Все logged-in","Authenticated","Health/sync/realtime; no business writes","Honest read-only/degraded mode","SCR-004; SCR-160; SCR-206","После bootstrap; deep link; tray; Status bar click; Global status click","online; offline; syncing; maintenance; storage full; reconnecting; pending; scope changed; cursor expired","SESSION_REVOKED; MAINTENANCE_MODE; STORAGE_FULL; SYNC_CURSOR_EXPIRED; SYNC_SCOPE_CHANGED","CommandBar; ConnectionStatus; ConnectivityBanner; DateTimePicker; ErrorMessage; FieldLabel; FileLocationView; FormLayout; InspectorPanel; LoadingState; NavigationRail; Pagination; PopoverSurface; ProfileMenu; ProgressIndicator; ReadOnlyBanner; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; ValidationMessage","Authenticated user with populated cache; server becomes unavailable during normal work","Detect outage → announce connection loss → switch to honest read-only cache mode → expose diagnostics/retry without accepting writes","Banner/status reachable without focus theft; retry/diagnostics keyboard operable","Interactive prototype + keyboard walkthrough","Focus order/return; UIA names/roles/states; non-color semantics; Narrator/NVDA script; 200% scaling","Scenario contract ready","Pending VIS-001"
"VS-04 Resilience & Conflict","FLOW-023","Работа в read-only cache","Все роли","Last-known read only","Local cache; Windows file access","Inspect prior data without freshness claim","SCR-004; SCR-160; SCR-206","После bootstrap; deep link; tray; Status bar click; Global status click","online; offline; syncing; maintenance; storage full; reconnecting; pending; scope changed; cursor expired","SESSION_REVOKED; MAINTENANCE_MODE; STORAGE_FULL; SYNC_CURSOR_EXPIRED; SYNC_SCOPE_CHANGED","CommandBar; ConnectionStatus; ConnectivityBanner; DateTimePicker; ErrorMessage; FieldLabel; FileLocationView; FormLayout; InspectorPanel; LoadingState; NavigationRail; Pagination; PopoverSurface; ProfileMenu; ProgressIndicator; ReadOnlyBanner; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; ValidationMessage","Server unavailable; authorized cache available; business writes must be prevented","Browse authorized cached data → disable prohibited writes with reasons → preserve selection/focus and disclose staleness","Disabled actions expose reason without dead-end focus; list and inspector remain keyboard navigable","Interactive prototype + keyboard walkthrough","Focus order/return; UIA names/roles/states; non-color semantics; Narrator/NVDA script; 200% scaling","Scenario contract ready","Pending VIS-001"
"VS-04 Resilience & Conflict","FLOW-024","Восстановление соединения","Все роли","Sync.Read","auth/session; sync/changes/ack/bootstrap; capabilities","Current authorized cache and online writes","SCR-003; SCR-004; SCR-160; SCR-206","После login; cursor expired; cache reset; После bootstrap; deep link; tray; Status bar click; Global status click","dataset progress; reconnecting; scope changed; online; offline; syncing; maintenance; storage full; pending; cursor expired","SYNC_SCOPE_CHANGED; SYNC_CURSOR_EXPIRED; DATABASE_UNAVAILABLE; SESSION_REVOKED; MAINTENANCE_MODE; STORAGE_FULL","CommandBar; ConnectionStatus; ConnectivityBanner; DateTimePicker; ErrorMessage; FieldLabel; FileLocationView; FormLayout; InspectorPanel; LoadingState; NavigationRail; PageLayout; Pagination; PopoverSurface; ProfileMenu; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; RetryAction; SearchBox; SemanticStatus; SurfaceTitle; ValidationMessage","Client in read-only/reconnecting mode; server returns; cursor and scope require validation","Reconnect → authenticate/synchronize → validate cursor/scope → refresh content → restore write capability only after authoritative readiness","Reconnection announcements do not steal focus; refreshed target remains deterministic","Interactive prototype + keyboard walkthrough","Focus order/return; UIA names/roles/states; non-color semantics; Narrator/NVDA script; 200% scaling","Scenario contract ready","Pending VIS-001"
"VS-04 Resilience & Conflict","FLOW-025","Optimistic conflict","Any editor","Original command permission","Target GET + original command","No silent overwrite","SCR-023; SCR-024; SCR-032","Create/Edit; List/Today/Calendar/Search/Notification/deep link; VERSION_CONFLICT","dirty; validation; conflict; archived; trashed; field forbidden; loading; stale; partial; unavailable; same field; different fields; deleted/completed/archived","VERSION_CONFLICT; PRECONDITION_REQUIRED; OBJECT_ARCHIVED; OBJECT_DELETED; OBJECT_NOT_VISIBLE; FORBIDDEN","CommentThread; ConflictNotice; ConnectivityBanner; DataList; DialogShell; FieldLabel; FileLocationView; FocusTrap; FormLayout; InspectorPanel; LifecycleBanner; LoadingState; PageLayout; PeoplePicker; PermissionState; ProgressIndicator; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SearchBox; SurfaceTitle; TaskRow; TaskStatusControl; TimelineHistory; UrgencyIndicator; ValidationMessage","Editable task with local draft; server version changes before save","Detect version conflict → preserve local draft → explain conflict → allow reload/compare/reapply/discard only where authorized","Conflict actions and compare content are fully keyboard reachable; closing returns to preserved draft","Interactive prototype + keyboard walkthrough","Focus order/return; UIA names/roles/states; non-color semantics; Narrator/NVDA script; 200% scaling","Scenario contract ready","Pending VIS-001"
"VS-02 Task Creation","FLOW-034","Inbox capture и conversion","Admin/Manager/Employee","Inbox.ManageOwn + target create","Inbox create/update/convert","Auditable target conversion","SCR-012; SCR-013; SCR-014; SCR-022; SCR-082","Alt+2; Selection/context action; Right click; Shift+F10; Ctrl+N; Today/Calendar slot; Project; Catalog command bar; file drag metadata intake","empty; filtered; offline read-only; conflict; validation; target forbidden; duplicate; disabled reason; stale selection; offline; forbidden; unsafe path/type","VERSION_CONFLICT; OBJECT_DELETED; FORBIDDEN; VALIDATION_FAILED; DUPLICATE_RESOURCE; DATABASE_UNAVAILABLE; UNSAFE_PATH; UNSAFE_FILE_TYPE","BulkResultSummary; ConflictNotice; ConnectivityBanner; ContextMenu; DataList; DateTimePicker; DialogShell; EmptyState; ErrorMessage; FieldLabel; FileLocationView; FilterBar; FocusTrap; FormLayout; InspectorPanel; PageLayout; PeoplePicker; PermissionState; PopoverSurface; ProjectPicker; ReadOnlyBanner; RecurrenceEditor; ReminderEditor; RetryAction; SurfaceTitle; TaskRow; TaskStatusControl; UrgencyIndicator; ValidationMessage","Authenticated user; Inbox capture exists and can be converted to a full task","Capture Inbox item → open conversion path → add required task fields → create Task and resolve source Inbox item deterministically","Capture and conversion complete with keyboard; validation focuses first invalid field; success returns to source context","Interactive prototype + keyboard walkthrough","Focus order/return; UIA names/roles/states; non-color semantics; Narrator/NVDA script; 200% scaling","Scenario contract ready","Pending VIS-001"
