Operation ID,Method,Path,OpenAPI line,Request,Response,Permission,HTTP codes,Idempotency,Locking,FR IDs,AC IDs,UX IDs,Permission refs valid,Stable error refs valid,Coverage status,Evidence
GET_api_v1_admin_backups,GET,/api/v1/admin/backups,80,"query:type,status,from,to,page",Page<BackupRun>,Backup.Read,"200,401,403",Safe,—,FR-177,AC-1088;AC-1089;AC-1090,STATE-008;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_admin_backups,POST,/api/v1/admin/backups,171,BackupRequest,BackupRun,Backup.Execute,"202,400,401,403,409,429",Idempotency-Key,—,FR-178;FR-179;FR-180,AC-1091;AC-1092;AC-1093;AC-1094;AC-1095;AC-1096;AC-1097;AC-1098;AC-1099;AC-1100;AC-1101;AC-1102;AC-1103;AC-1104;AC-1105;AC-1106;AC-1107;AC-1108;AC-1109,FLOW-028;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_admin_backups_id_restore,POST,/api/v1/admin/backups/{id}/restore,259,RestoreBackupRequest,RestorePlan,Backup.Restore,"202,400,401,403,404,409,422",Idempotency-Key,—,FR-179,AC-1097;AC-1098;AC-1099;AC-1100;AC-1101;AC-1102;AC-1103,FLOW-028;STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_admin_backups_id_verify,POST,/api/v1/admin/backups/{id}/verify,366,BackupVerifyRequest,BackupRun,Backup.RestoreTest,"202,400,401,403,404,409",Idempotency-Key,—,FR-180,AC-1104;AC-1105;AC-1106;AC-1107;AC-1108;AC-1109,STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_admin_change_feed_compact,POST,/api/v1/admin/change-feed/compact,460,CompactionRequest,BackgroundJobRun,System.Configure,"202,400,401,403,409",Idempotency-Key,—,FR-181,AC-1110;AC-1111;AC-1112;AC-1113;AC-1114;AC-1115,STATE-007;STATE-008;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
PUT_api_v1_admin_feature_flags_key,PUT,/api/v1/admin/feature-flags/{key},541,FeatureFlagPatch,FeatureFlag,System.Configure,"200,400,401,403,404,409,412,422,428",Idempotency-Key,If-Match,FR-182,AC-1116;AC-1117;AC-1118;AC-1119;AC-1120;AC-1121;AC-1122,STATE-007;STATE-008;STATE-009;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-025;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_admin_jobs,GET,/api/v1/admin/jobs,663,"query:status,page",Page<BackgroundJob>,System.HealthRead,"200,401,403",Safe,—,FR-183;FR-185,AC-1123;AC-1124;AC-1125;AC-1132;AC-1133;AC-1134,STATE-008;STATE-009;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_admin_jobs_code_run,POST,/api/v1/admin/jobs/{code}/run,730,JobRunRequest,BackgroundJobRun,System.Configure,"202,400,401,403,409,429",Idempotency-Key,—,FR-184,AC-1126;AC-1127;AC-1128;AC-1129;AC-1130;AC-1131,STATE-007;STATE-008;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
GET_api_v1_admin_jobs_code_runs,GET,/api/v1/admin/jobs/{code}/runs,824,"query:from,to,status,page",Page<BackgroundJobRun>,System.HealthRead,"200,401,403,404",Safe,—,FR-185,AC-1132;AC-1133;AC-1134,STATE-008;STATE-009;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
POST_api_v1_admin_maintenance_mode,POST,/api/v1/admin/maintenance-mode,922,MaintenanceModeRequest,MaintenanceMode,System.Configure,"200,400,401,403,409,412,428",Idempotency-Key,If-Match,FR-186,AC-1135;AC-1136;AC-1137;AC-1138;AC-1139;AC-1140,STATE-007;STATE-008;STATE-014;STATE-017;STATE-018;STATE-020;STATE-021;STATE-024;STATE-025;STATE-026;STATE-031;STATE-032;STATE-033;STATE-034;STATE-039,True,True,Trace-mapped,Operation-level: OpenAPI + api_catalog.csv + Stage_4_Requirements_Traceability_4.1.2.csv
