"SCR ID","Module","Surface name","Priority","Inventory status","Evidence status","Evidence source","Evidence scope","Browser status","Remaining acceptance","Gate 5.3"
"SCR-001","Auth","Вход","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-002","Auth","Подключение к серверу","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-006","Auth","Сессия прервана","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-003","Sync","Bootstrap и запуск","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-160","Sync","Sync status","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-206","Sync","Sync status popover","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-004","Shell","Главное окно","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-005","Shell","Command palette","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-007","Shell","Требуется обновление","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-008","Shell","Глобальный quick create","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-211","Shell","System tray menu","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-212","Shell","Toast deep-link activation","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-010","Today","Сегодня","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-011","Today","Фильтр Today","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-012","Inbox","Входящие","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-013","Inbox","Обработка входящего","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-014","Inbox","Контекстное меню Входящих","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-020","Tasks","Задачи: список/дерево","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-021","Tasks","Фильтры задач","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-022","Tasks","Быстрое создание задачи","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
"SCR-023","Tasks","Полный редактор задачи","P0","Mapped","PROTOTYPE_EVIDENCE_MAPPED","work/stage_5_prototype/design-qa-stage5-p0.md | work/stage_5_prototype/design-qa-stage5-edge-states.md | work/stage_5_prototype/design-qa-stage5-surfaces.md | work/stage_5_prototype/design-qa-stage5-component-gaps.md","Direction 2 base prototype, P0/resilience/surface/component-gap browser and semantic evidence.","Representative prototype evidence","Per-SCR annotated-frame acceptance, Windows runtime and formal stakeholder approval remain open.","OPEN"
